Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
494.17,0.16,0.39,9.30,26.15,93.0,20.0,16.41,24.84,2.40,0.26
494.21,0.16,0.38,9.27,26.15,93.0,20.0,16.41,24.84,2.40,1.52
348.02,0.16,-0.15,9.31,26.15,93.0,19.9,16.29,24.51,8.06,-19.08
348.06,0.16,-0.15,9.25,26.15,93.0,19.9,16.29,24.51,11.83,-20.33
348.10,0.19,-0.29,9.29,26.15,93.0,19.9,16.29,24.51,11.83,-19.08
348.14,0.16,-0.26,9.30,26.15,93.0,19.9,16.17,24.67,13.09,-17.82
348.18,0.15,-0.17,9.32,26.15,93.0,19.9,16.17,24.35,13.09,-17.82
348.22,0.17,-0.13,9.27,26.15,93.0,19.9,16.41,24.51,11.83,-17.82
348.26,0.19,-0.15,9.27,26.15,93.0,19.9,16.29,24.35,14.35,-15.31
348.30,0.16,-0.10,9.28,26.15,93.0,19.9,16.41,24.35,13.09,-14.05
348.34,0.16,0.04,9.29,26.15,93.0,19.9,16.29,24.18,13.09,-11.54
348.38,0.15,-0.13,9.25,26.15,93.0,19.9,16.29,24.35,13.09,-10.28
348.42,0.16,-0.06,9.35,26.15,93.0,19.9,16.41,24.51,13.09,-7.77
348.46,0.17,0.08,9.29,26.15,93.0,19.9,16.29,24.35,15.61,-6.51
348.50,0.22,0.27,9.21,26.15,93.0,19.9,16.53,24.51,11.83,-6.51
348.54,0.18,0.38,9.29,26.15,93.0,19.9,16.17,24.67,13.09,-4.00
348.58,0.19,0.43,9.20,26.15,93.0,19.9,16.05,24.51,13.09,-0.23
348.62,0.20,0.50,9.19,26.15,93.0,19.9,16.41,24.51,11.83,-0.23
348.66,0.18,0.50,9.26,26.15,93.0,19.9,16.29,24.35,11.83,2.29
348.70,0.16,0.82,9.19,26.15,93.0,19.9,16.41,24.51,9.31,3.54
348.74,0.16,0.91,9.29,26.15,93.0,19.9,16.29,24.51,9.31,6.06
348.78,0.17,0.89,9.24,26.15,93.0,19.9,15.68,24.51,6.80,7.31
348.82,0.16,1.10,9.22,26.15,93.0,19.9,16.53,24.35,6.80,8.57
348.86,0.14,1.10,9.23,26.15,93.0,19.9,16.41,24.51,4.28,12.34
348.90,0.15,1.47,9.19,26.15,93.0,19.9,16.29,24.35,3.02,11.08
348.94,0.14,1.50,9.22,26.15,93.0,19.9,16.17,24.67,0.50,13.60
348.98,0.15,1.59,9.19,26.15,93.0,19.9,16.41,24.35,-2.01,12.34
349.02,0.13,1.58,9.25,26.15,93.0,19.9,16.53,24.18,-2.01,13.60
349.06,0.16,1.72,9.24,26.15,93.0,19.9,16.29,24.67,-5.79,14.86
349.10,0.12,2.07,9.19,26.15,93.0,19.9,16.53,24.18,-7.05,14.86
349.14,0.15,1.78,9.26,26.15,93.0,19.9,16.17,24.51,-8.31,16.11
349.18,0.17,1.91,9.17,26.15,93.0,19.9,16.29,24.67,-10.82,14.86
349.22,0.13,2.05,9.21,26.15,93.0,19.9,16.41,24.51,-13.34,14.86
349.26,0.15,2.01,9.26,26.15,93.0,19.9,16.29,24.51,-13.34,14.86
349.30,0.18,1.99,9.19,26.15,93.0,19.9,16.29,24.35,-13.34,14.86
