Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
26.57,0.18,-0.20,9.27,0.00,93.0,19.8,16.77,38.23,-1.90,2.01
26.61,0.20,-0.30,9.31,0.00,93.0,19.8,16.89,38.50,0.60,-0.50
26.65,0.22,-0.31,9.18,0.00,93.0,19.8,16.77,37.96,1.85,-3.01
26.69,0.18,-0.18,9.26,0.00,93.0,19.8,17.01,38.50,4.35,-5.52
26.73,0.17,-0.17,9.31,0.00,93.0,19.8,17.01,37.96,6.85,-9.28
26.77,0.17,-0.39,9.39,0.00,93.0,19.8,16.53,38.23,6.85,-10.53
26.81,0.21,-0.39,9.31,0.00,93.0,19.8,16.77,38.23,8.10,-14.29
26.85,0.17,-0.41,9.35,0.00,93.0,19.8,16.65,38.23,10.60,-14.29
26.89,0.18,-0.34,9.32,0.00,93.0,19.8,17.13,38.23,13.10,-19.30
26.93,0.19,-0.16,9.32,0.00,93.0,19.8,16.77,38.23,14.35,-19.30
26.97,0.20,-0.27,9.31,0.00,93.0,19.8,16.89,38.23,15.60,-21.81
27.01,0.20,-0.32,9.29,0.00,93.0,19.8,16.77,37.96,18.09,-21.81
27.05,0.12,-0.06,9.31,0.00,93.0,19.8,16.77,38.50,19.34,-20.56
27.09,0.15,-0.12,9.41,0.00,93.0,19.8,17.01,37.96,19.34,-23.07
27.13,0.22,0.01,9.32,0.00,93.0,19.8,17.01,37.96,18.09,-21.81
27.17,0.17,0.11,9.30,0.00,93.0,19.8,16.89,38.23,16.85,-20.56
27.21,0.18,0.31,9.30,0.00,93.0,19.8,16.89,38.50,15.60,-19.30
27.25,0.17,0.62,9.27,0.00,93.0,19.8,16.89,37.96,16.85,-16.80
27.29,0.19,0.40,9.28,0.00,93.0,19.8,16.77,37.96,14.35,-14.29
27.33,0.20,0.64,9.27,0.00,93.0,19.8,17.01,38.23,13.10,-11.78
27.37,0.14,0.77,9.30,0.00,93.0,19.8,16.53,37.69,11.85,-8.02
27.41,0.14,0.95,9.31,0.00,93.0,19.8,17.01,37.96,10.60,-6.77
27.45,0.12,1.19,9.31,0.00,93.0,19.8,16.65,37.96,6.85,-3.01
27.49,0.15,1.15,9.30,0.00,93.0,19.8,17.01,38.23,4.35,-1.75
27.53,0.16,1.42,9.26,0.00,93.0,19.8,17.13,38.23,1.85,2.01
27.57,0.12,1.78,9.27,0.00,93.0,19.8,16.53,38.23,0.60,7.02
27.61,0.19,1.51,9.26,0.00,93.0,19.8,17.01,37.96,-1.90,8.27
27.65,0.15,1.87,9.28,0.00,93.0,19.8,17.01,38.23,-5.65,10.78
27.69,0.13,2.07,9.21,0.00,93.0,19.8,17.01,37.69,-6.90,12.03
27.73,0.18,2.03,9.25,0.00,93.0,19.8,16.53,38.23,-9.40,17.05
27.77,0.17,2.24,9.24,0.00,93.0,19.8,16.77,38.50,-11.90,20.81
27.81,0.15,2.22,9.24,0.00,93.0,19.8,16.89,37.96,-14.40,20.81
27.85,0.19,2.16,9.21,0.00,93.0,19.8,17.13,37.69,-18.14,23.32
27.89,0.15,2.30,9.19,0.00,93.0,19.8,16.89,37.96,-19.39,23.32
27.93,0.14,2.24,9.22,0.00,93.0,19.8,17.01,38.23,-23.14,24.57
27.97,0.19,2.00,9.26,0.00,93.0,19.8,16.89,38.50,-25.64,24.57
28.01,0.14,1.98,9.27,0.00,93.0,19.8,17.25,37.96,-25.64,24.57
28.05,0.15,1.77,9.27,0.00,93.0,19.8,16.89,37.96,-26.89,23.32
28.09,0.15,1.71,9.27,0.00,93.0,19.8,16.89,38.23,-28.14,24.57
28.13,0.10,1.69,9.23,0.00,93.0,19.8,17.01,37.96,-26.89,22.06
28.17,0.14,1.64,9.27,0.00,93.0,19.8,17.01,38.50,-26.89,22.06
28.21,0.11,1.26,9.37,0.00,93.0,19.8,16.77,38.23,-25.64,20.81
28.25,0.14,0.85,9.46,0.00,93.0,19.8,16.89,37.96,-24.39,18.30
28.29,0.22,0.74,9.26,0.00,93.0,19.8,16.89,37.96,-23.14,17.05
28.33,0.10,0.60,9.44,0.00,93.0,19.8,17.13,38.23,-18.14,14.54
28.37,0.17,0.81,9.40,0.00,93.0,19.8,16.89,37.96,-19.39,13.29
28.41,0.16,0.41,9.34,0.00,93.0,19.8,17.01,37.96,-15.65,10.78
28.45,0.16,0.11,9.32,0.00,93.0,19.8,16.89,37.69,-14.40,10.78
28.49,0.19,0.14,9.24,0.00,93.0,19.8,16.89,38.23,-10.65,7.02
28.53,0.15,0.04,9.43,0.00,93.0,19.8,17.25,37.69,-5.65,4.51
28.57,0.09,0.01,9.50,0.00,93.0,19.8,17.01,38.23,-4.40,2.01
28.61,0.19,-0.04,9.23,0.00,93.0,19.8,16.77,38.23,0.60,-0.50
28.65,0.24,-0.57,9.28,0.00,93.0,19.8,16.77,38.23,1.85,-3.01
28.69,0.21,-0.10,9.21,0.00,93.0,19.8,16.89,38.23,4.35,-5.52
28.73,0.15,-0.34,9.23,0.00,93.0,19.8,16.65,38.23,3.10,-9.28
