Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
586.35,0.18,0.32,9.26,35.89,93.0,23.6,17.73,40.19,1.06,1.28
586.31,0.18,0.32,9.22,35.89,93.0,23.6,17.49,40.19,1.06,1.28
586.35,0.18,0.32,9.26,35.89,93.0,23.6,17.73,40.19,1.06,1.28
586.31,0.18,0.32,9.22,35.89,93.0,23.6,17.49,40.19,1.06,1.28
586.35,0.18,0.32,9.26,35.89,93.0,23.6,17.73,40.19,1.06,1.28
243.68,0.14,2.25,9.16,38.87,93.0,23.5,16.89,37.16,14.54,-41.59
243.72,0.11,2.23,9.15,38.87,93.0,23.5,17.61,37.43,8.29,-40.35
243.76,0.06,2.05,9.07,38.87,93.0,23.5,17.73,36.90,7.04,-35.36
243.80,0.16,1.60,9.26,38.87,93.0,23.5,17.61,36.90,0.79,-32.87
243.84,0.13,1.36,9.14,38.87,93.0,23.5,17.61,36.90,-1.71,-22.90
243.88,0.24,0.85,9.10,38.87,93.0,23.5,17.73,36.14,-9.21,-17.91
243.92,0.23,0.87,9.10,38.87,93.0,23.5,17.49,36.90,-15.46,-7.94
243.96,0.14,0.55,9.28,38.87,93.0,23.5,17.73,36.65,-20.46,2.03
244.00,0.20,0.19,9.11,38.87,93.0,23.5,16.65,36.90,-25.46,8.26
244.04,0.22,-0.25,9.04,38.87,93.0,23.5,17.73,36.90,-29.21,16.99
244.08,0.16,-0.35,9.30,38.87,93.0,23.5,17.61,36.90,-31.71,21.98
244.12,0.18,-0.68,9.16,38.87,93.0,23.5,17.73,36.90,-34.21,28.21
244.16,0.20,-0.54,9.15,38.87,93.0,23.5,17.85,36.39,-36.71,33.19
244.20,0.15,-1.08,9.25,38.87,93.0,23.5,17.49,37.16,-34.21,35.69
244.24,0.17,-0.86,9.24,38.87,93.0,23.5,17.85,37.16,-31.71,38.18
244.28,0.15,-0.68,9.22,38.87,93.0,23.5,17.49,36.90,-27.96,36.93
244.32,0.15,-0.96,9.28,38.87,93.0,23.5,18.80,37.16,-24.21,35.69
244.36,0.16,-0.90,9.22,38.87,93.0,23.5,17.73,37.16,-19.21,34.44
244.40,0.15,-0.60,9.23,38.87,93.0,23.5,17.37,36.90,-10.46,31.95
244.44,0.22,-0.68,9.23,38.87,93.0,23.5,17.61,36.65,-4.21,31.95
244.48,0.14,-0.40,9.22,38.87,93.0,23.5,17.85,37.16,0.79,29.45
244.52,0.16,-0.40,9.19,38.87,93.0,23.5,17.49,36.90,8.29,28.21
244.56,0.22,-0.16,9.15,38.87,93.0,23.5,17.61,37.16,14.54,26.96
244.60,0.20,0.07,9.11,38.87,93.0,23.5,17.49,36.65,18.29,24.47
244.64,0.18,0.47,9.14,38.87,93.0,23.5,17.73,36.90,23.29,21.98
244.68,0.24,0.49,9.08,38.87,93.0,23.5,17.61,36.65,27.04,19.48
244.72,0.17,0.76,9.13,38.87,93.0,23.5,17.25,36.65,25.79,16.99
244.76,0.15,1.10,9.11,38.87,93.0,23.5,17.85,36.90,27.04,13.25
244.80,0.13,1.52,9.20,38.87,93.0,23.5,18.21,36.90,28.29,9.51
244.84,0.12,1.84,9.14,38.87,93.0,23.5,17.61,36.90,27.04,5.77
244.88,0.16,2.15,9.11,38.87,93.0,23.5,17.61,36.90,25.79,2.03
