Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
796.93,0.14,1.31,9.15,47.82,92.0,23.5,17.61,41.38,0.95,0.97
796.89,0.15,1.32,9.17,47.82,92.0,23.5,17.73,41.08,0.95,0.97
796.93,0.14,1.31,9.15,47.82,92.0,23.5,17.61,41.38,0.95,0.97
196.66,0.19,-1.27,9.24,47.83,93.0,23.1,17.85,36.39,3.79,-16.47
196.70,0.19,-1.20,9.32,47.83,93.0,23.1,17.73,36.65,-2.46,-18.96
196.74,0.22,-1.82,9.19,47.83,93.0,23.1,17.73,36.14,-14.96,-25.19
196.78,0.27,-1.28,9.29,47.83,93.0,23.1,17.97,36.14,-29.96,-30.18
196.82,0.18,-1.24,9.17,47.83,93.0,23.1,17.61,36.39,-34.96,-33.92
196.86,0.24,-1.37,9.21,47.83,93.0,23.1,17.73,36.14,-41.21,-35.16
196.90,0.15,-0.75,9.22,47.83,93.0,23.1,17.61,36.65,-44.96,-37.66
196.94,0.15,-0.74,9.16,47.83,93.0,23.1,17.73,36.39,-49.96,-40.15
196.98,0.29,-0.51,9.15,47.83,93.0,23.1,17.61,36.39,-49.96,-37.66
197.02,0.12,0.11,9.12,47.83,93.0,23.1,17.61,36.14,-53.71,-28.93
197.06,0.13,0.45,9.11,47.83,93.0,23.1,17.85,36.39,-49.96,-18.96
197.10,0.24,0.98,9.05,47.83,93.0,23.1,17.61,36.14,-39.96,-11.48
197.14,0.16,1.20,9.13,47.83,93.0,23.1,17.73,36.39,-32.46,-4.00
197.18,0.20,1.75,9.13,47.83,93.0,23.1,17.61,36.14,-21.21,0.98
197.22,0.19,2.78,8.99,47.83,93.0,23.1,17.37,36.39,-11.21,8.46
197.26,0.08,2.65,9.20,47.83,93.0,23.1,17.37,36.39,-1.21,14.70
197.30,0.16,3.43,9.16,47.83,93.0,23.1,17.61,36.39,8.79,20.93
197.34,0.14,3.22,9.10,47.83,93.0,23.1,17.25,36.39,17.54,24.67
197.38,0.15,3.56,9.12,47.83,93.0,23.1,17.61,35.89,27.54,32.15
197.42,0.07,3.87,9.14,47.83,93.0,23.1,17.61,36.39,36.29,35.89
197.46,0.07,2.99,9.22,47.83,93.0,23.1,17.73,35.89,43.79,39.63
197.50,0.21,2.95,9.19,47.83,93.0,23.1,17.49,36.39,50.04,39.63
197.54,0.05,2.83,9.03,47.83,93.0,23.1,17.73,36.39,55.04,40.87
197.58,0.14,2.49,9.13,47.83,93.0,23.1,17.73,37.96,56.29,37.13
197.62,0.19,2.01,9.09,47.83,93.0,23.1,17.73,36.14,56.29,35.89
197.66,0.15,0.87,9.05,47.83,93.0,23.1,17.61,36.39,52.54,34.64
197.70,0.20,0.54,9.12,47.83,93.0,23.1,17.61,36.14,48.79,30.90
197.74,0.15,0.36,9.06,47.83,93.0,23.1,17.73,36.14,46.29,27.16
197.78,0.16,-0.21,9.17,47.83,93.0,23.1,17.61,36.39,41.29,20.93
197.82,0.26,-0.76,9.09,47.83,93.0,23.1,17.49,36.65,33.79,15.94
197.86,0.20,-1.57,9.21,47.83,93.0,23.1,17.85,36.39,25.04,7.22
197.90,0.22,-0.92,9.24,47.83,93.0,23.1,16.77,36.39,17.54,0.98
