Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
70.04,0.26,-1.65,9.20,50.85,93.0,20.1,16.41,30.72,2.45,12.56
70.08,0.21,-1.58,9.25,50.85,93.0,20.1,16.17,30.51,-1.32,8.78
70.12,0.17,-1.74,9.35,50.85,93.0,20.1,16.53,30.51,-11.39,7.53
70.16,0.26,-1.26,9.19,50.85,93.0,20.1,16.53,30.72,-16.42,7.53
70.20,0.05,-0.93,9.21,50.85,93.0,20.1,16.41,30.72,-26.49,7.53
70.25,0.27,-1.05,9.20,50.85,93.0,20.1,16.41,30.51,-30.27,7.53
70.29,0.25,-0.77,9.18,50.85,93.0,20.1,16.29,30.72,-34.04,-26.40
70.32,0.14,0.30,9.16,50.85,93.0,20.1,16.53,30.72,-37.82,-28.92
70.36,0.14,0.71,9.14,50.85,93.0,20.1,16.53,30.51,-36.56,-32.69
70.40,0.19,0.66,9.16,50.85,93.0,20.1,16.53,30.51,-32.79,-32.69
70.44,0.16,1.52,9.12,50.85,93.0,20.1,16.53,30.92,-27.75,-25.15
70.49,0.14,2.08,9.26,50.85,93.0,20.1,16.41,30.51,-17.68,-18.86
70.53,0.12,3.24,9.15,50.85,93.0,20.1,16.41,30.92,-8.87,-13.84
70.57,0.05,3.69,9.18,50.85,93.0,20.1,16.29,30.72,-3.84,-5.04
70.61,0.23,3.02,9.22,50.85,93.0,20.1,16.77,30.51,3.71,-3.78
70.65,0.10,4.05,9.19,50.85,93.0,20.1,16.53,30.51,7.49,2.50
70.69,0.09,4.15,9.21,50.85,93.0,20.1,16.41,30.51,16.30,3.76
70.73,0.20,3.36,9.23,50.85,93.0,20.1,16.53,30.92,21.33,12.56
70.77,0.11,3.35,9.17,50.85,93.0,20.1,16.29,30.92,26.37,18.84
70.81,0.10,2.52,9.25,50.85,93.0,20.1,16.29,30.51,28.88,20.10
70.85,0.11,2.81,9.13,50.85,93.0,20.1,16.53,30.51,30.14,25.12
70.89,-0.02,1.97,9.15,50.85,93.0,20.1,16.29,30.51,32.66,25.12
70.93,0.17,0.66,9.23,50.85,93.0,20.1,16.77,30.51,31.40,26.38
70.97,0.23,0.48,9.04,50.85,93.0,20.1,16.41,30.92,31.40,26.38
71.01,0.16,0.03,9.19,50.85,93.0,20.1,16.29,30.51,28.88,23.87
