Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),noBond_height 2 (mm)
181.27,0.23,-1.84,9.28,52.17,93.0,21.5,18.68,23.86,6.67,15.80
181.31,0.18,-1.32,9.20,52.17,93.0,21.5,18.45,23.86,-12.07,2.01
181.35,0.15,-1.50,9.27,52.17,93.0,21.5,18.80,24.02,-22.07,-6.77
181.39,0.17,-1.15,9.24,52.17,93.0,21.5,18.80,23.86,-40.81,-24.32
181.43,0.25,-0.74,9.19,52.17,93.0,21.5,18.45,24.02,-57.06,-33.09
181.47,0.18,-0.29,9.15,52.17,93.0,21.5,18.56,24.02,-62.06,-48.14
181.51,0.11,0.40,9.17,52.17,93.0,21.5,18.92,23.70,-72.05,-59.42
181.55,0.12,0.95,9.14,52.17,93.0,21.5,18.68,23.86,-74.55,-61.92
181.59,0.19,1.05,9.15,52.17,93.0,21.5,18.56,23.70,-75.80,-64.43
181.63,0.12,1.85,9.15,52.17,93.0,21.5,18.56,23.86,-68.31,-64.43
181.67,0.06,3.11,9.16,52.17,93.0,21.5,18.80,24.18,-60.81,-55.66
181.71,0.07,3.29,9.24,52.17,93.0,21.5,18.68,24.02,-45.81,-41.87
181.75,0.09,3.80,9.20,52.17,93.0,21.5,18.80,23.86,-37.06,-35.60
181.79,0.12,3.95,9.25,52.17,93.0,21.5,18.56,23.86,-17.07,-21.81
181.83,0.22,3.86,9.16,52.17,93.0,21.5,18.68,23.86,0.42,-15.54
181.87,0.12,3.98,9.15,52.17,93.0,21.5,18.92,24.18,10.42,-1.75
181.91,0.13,3.60,9.21,52.17,93.0,21.5,18.80,23.86,25.42,7.02
181.95,0.20,2.42,9.23,52.17,93.0,21.5,18.45,23.86,32.91,14.54
181.99,0.09,2.46,9.19,52.17,93.0,21.5,18.56,23.86,44.16,22.06
182.03,0.01,2.14,9.12,52.17,93.0,21.5,18.56,23.86,51.66,27.08
182.07,0.19,1.12,9.15,52.17,93.0,21.5,18.68,24.02,54.16,35.85
182.11,0.25,0.49,9.08,52.17,93.0,21.5,18.80,23.86,56.66,40.87
182.15,0.16,0.02,9.11,52.17,93.0,21.5,18.45,23.86,54.16,44.63
182.19,0.06,-0.47,9.23,52.17,93.0,21.5,18.92,23.86,52.91,44.63
182.23,0.20,-1.34,9.24,52.17,93.0,21.5,18.56,23.86,50.41,44.63
182.27,0.23,-1.59,9.22,52.17,93.0,21.5,18.80,23.86,44.16,43.37
182.31,0.20,-2.09,9.26,52.17,93.0,21.5,18.92,24.02,35.41,37.11
182.35,0.18,-1.32,9.29,52.17,93.0,21.5,18.56,23.86,27.92,33.34
182.39,0.18,-1.68,9.29,52.17,93.0,21.5,19.04,24.02,12.92,24.57
182.43,0.22,-2.04,9.30,52.17,93.0,21.5,18.68,24.02,2.92,15.80
182.47,0.20,-1.22,9.25,52.17,93.0,21.5,18.45,23.86,-14.57,-0.50
182.51,0.12,-1.22,9.18,52.17,93.0,21.5,18.68,24.02,-33.32,-16.80
182.55,0.23,-1.26,9.25,52.17,93.0,21.5,18.92,23.86,-42.06,-25.57
182.59,0.27,-0.55,9.15,52.17,93.0,21.5,18.80,23.70,-58.31,-40.61
182.63,0.12,-0.00,9.18,52.17,93.0,21.5,18.33,24.02,-63.31,-49.39
182.67,0.18,0.65,9.12,52.17,93.0,21.5,18.33,24.02,-74.55,-59.42
182.71,0.09,0.92,9.14,52.17,93.0,21.5,18.56,23.70,-75.80,-64.43
182.75,0.22,1.47,9.13,52.17,93.0,21.5,18.68,24.02,-74.55,-65.69
182.79,0.23,2.11,9.14,52.17,93.0,21.5,19.04,23.70,-67.06,-60.67
182.83,0.11,3.07,9.17,52.17,93.0,21.5,18.56,23.86,-59.56,-55.66
182.87,0.07,4.02,9.17,52.17,93.0,21.5,19.04,23.86,-43.31,-43.12
182.91,0.11,3.39,9.25,52.17,93.0,21.5,18.21,23.86,-33.32,-28.08
182.95,0.21,4.15,9.19,52.17,93.0,21.5,18.68,23.70,-13.32,-20.56
182.99,0.17,4.08,9.13,52.17,93.0,21.5,18.33,24.02,4.17,-8.02
183.03,0.07,3.59,9.26,52.17,93.0,21.5,18.56,24.02,14.17,-1.75
183.07,0.14,3.57,9.19,52.17,93.0,21.5,18.68,24.02,26.67,10.78
183.11,0.17,2.44,9.15,52.17,93.0,21.5,18.80,24.18,36.66,18.30
183.15,0.17,2.44,9.06,52.17,93.0,21.5,19.04,23.86,46.66,22.06
183.19,-0.05,2.06,9.16,52.17,93.0,21.5,18.56,24.02,55.41,33.34
183.23,0.08,0.90,9.16,52.17,93.0,21.5,18.56,24.02,56.66,33.34
183.27,0.24,0.41,9.10,52.17,93.0,21.5,18.80,24.02,56.66,40.87
183.31,0.14,0.03,9.17,52.17,93.0,21.5,18.45,23.70,56.66,44.63
183.35,0.15,-0.57,9.12,52.17,93.0,21.5,18.56,23.86,52.91,44.63
183.39,0.27,-1.97,9.23,52.17,93.0,21.5,18.56,24.02,51.66,44.63
183.43,0.19,-1.43,9.26,52.17,93.0,21.5,18.80,23.70,42.91,42.12
183.47,0.14,-1.99,9.28,52.17,93.0,21.5,18.68,24.02,31.66,38.36
183.51,0.18,-1.68,9.30,52.17,93.0,21.5,18.45,24.02,25.42,29.58
183.55,0.21,-1.52,9.26,52.17,93.0,21.5,18.80,24.18,7.92,24.57
183.59,0.19,-1.97,9.30,52.17,93.0,21.5,18.80,23.86,-0.83,8.27
183.63,0.21,-1.35,9.23,52.17,93.0,21.5,18.33,23.86,-20.82,0.75
183.67,0.15,-0.98,9.25,52.17,93.0,21.5,18.21,24.02,-38.31,-16.80
183.71,0.28,-1.13,9.18,52.17,93.0,21.5,18.45,24.02,-47.06,-34.35
183.75,0.23,-0.57,9.17,52.17,93.0,21.5,18.80,24.02,-62.06,-43.12
183.79,0.14,0.35,9.17,52.17,93.0,21.5,18.80,23.86,-67.06,-55.66
183.83,0.18,0.61,9.09,52.17,93.0,21.5,18.45,23.70,-77.05,-60.67
183.87,0.14,1.09,9.11,52.17,93.0,21.5,18.80,23.86,-77.05,-65.69
