Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),noBond_height 2 (mm)
171.00,0.18,-0.45,9.18,52.16,94.0,21.5,18.56,25.68,-58.61,-42.66
171.04,0.11,0.40,9.16,52.16,94.0,21.5,18.56,25.85,-69.86,-48.93
171.08,0.17,0.92,9.13,52.16,94.0,21.5,18.33,25.85,-76.10,-61.47
171.12,0.25,1.08,9.13,52.16,94.0,21.5,18.80,25.85,-83.60,-71.49
171.16,0.15,1.72,9.18,52.16,94.0,21.5,18.68,25.51,-82.35,-70.24
171.20,0.05,3.23,9.14,52.16,94.0,21.5,18.45,25.68,-77.35,-65.23
171.24,0.16,2.98,9.17,52.16,94.0,21.5,18.56,25.85,-58.61,-58.96
171.28,0.07,3.99,9.22,52.16,94.0,21.5,18.80,25.51,-48.61,-45.17
171.32,0.18,4.11,9.17,52.16,94.0,21.5,18.56,26.20,-23.62,-32.63
171.36,0.26,3.50,9.19,52.16,94.0,21.5,18.68,25.85,-11.12,-22.61
171.40,0.09,4.24,9.14,52.16,94.0,21.5,18.56,25.85,11.37,-6.31
171.44,0.14,3.64,9.20,52.16,94.0,21.5,18.68,25.68,30.11,-0.04
171.48,0.18,2.79,9.19,52.16,94.0,21.5,18.68,25.85,37.61,9.99
171.52,0.10,2.38,9.13,52.16,94.0,21.5,18.45,25.51,48.86,20.02
171.56,0.12,2.22,9.15,52.16,94.0,21.5,18.56,25.85,52.61,27.54
171.60,0.17,1.10,9.14,52.16,94.0,21.5,18.33,25.68,56.36,36.31
171.64,0.20,0.50,9.17,52.16,94.0,21.5,18.56,25.68,58.86,40.07
171.68,0.20,0.19,9.04,52.16,94.0,21.5,18.68,25.68,58.86,47.59
171.72,0.09,-0.45,9.20,52.16,94.0,21.5,18.68,25.68,55.11,50.10
171.76,0.15,-1.02,9.22,52.16,94.0,21.5,18.33,25.68,52.61,47.59
171.80,0.21,-1.89,9.27,52.16,94.0,21.5,18.68,25.68,46.36,45.09
171.84,0.24,-2.15,9.32,52.16,94.0,21.5,18.56,25.85,37.61,43.83
171.88,0.16,-1.22,9.24,52.16,94.0,21.5,18.56,25.68,30.11,38.82
171.92,0.17,-1.96,9.38,52.16,94.0,21.5,18.68,25.68,15.12,27.54
171.96,0.25,-1.91,9.26,52.16,94.0,21.5,18.21,25.68,6.37,21.27
172.00,0.16,-1.22,9.25,52.16,94.0,21.5,18.92,25.85,-11.12,6.23
172.04,0.09,-1.35,9.23,52.16,94.0,21.5,18.45,25.68,-19.87,-0.04
172.08,0.15,-1.19,9.25,52.16,94.0,21.5,18.80,25.68,-38.62,-17.59
172.12,0.21,-0.73,9.19,52.16,94.0,21.5,18.92,25.68,-56.11,-36.39
172.16,0.14,-0.19,9.10,52.16,94.0,21.5,18.33,25.68,-63.61,-43.92
172.20,0.12,0.55,9.13,52.16,94.0,21.5,18.92,25.51,-74.86,-58.96
172.24,0.08,0.94,9.14,52.16,94.0,21.5,18.68,25.68,-82.35,-62.72
172.28,0.18,1.13,9.15,52.16,94.0,21.5,18.80,25.68,-83.60,-70.24
172.32,0.22,2.03,9.10,52.16,94.0,21.5,18.68,25.34,-81.10,-68.99
172.36,0.08,3.03,9.12,52.16,94.0,21.5,18.45,25.68,-72.36,-65.23
172.40,0.08,3.61,9.17,52.16,94.0,21.5,18.56,25.68,-54.86,-52.69
172.44,0.10,3.59,9.23,52.16,94.0,21.5,17.97,25.68,-43.61,-46.42
172.48,0.15,4.10,9.24,52.16,94.0,21.5,18.56,25.68,-21.12,-31.38
172.52,0.20,3.82,9.14,52.16,94.0,21.5,18.56,25.68,2.62,-13.83
172.56,0.06,3.88,9.24,52.16,94.0,21.5,18.68,25.51,12.62,-6.31
172.60,0.18,3.60,9.18,52.16,94.0,21.5,18.45,25.85,30.11,-0.04
172.64,0.18,2.41,9.19,52.16,94.0,21.5,18.56,25.85,37.61,9.99
172.68,0.11,2.47,9.14,52.16,94.0,21.5,18.56,25.85,50.11,22.52
172.72,-0.01,2.15,9.16,52.16,94.0,21.5,18.68,25.85,52.61,31.30
172.76,0.15,0.94,9.16,52.16,94.0,21.5,18.68,25.85,58.86,37.56
172.80,0.21,0.49,9.13,52.16,94.0,21.5,18.68,25.68,60.11,45.09
172.84,0.16,-0.00,9.14,52.16,94.0,21.5,18.56,25.68,58.86,51.35
172.88,0.12,-0.56,9.17,52.16,94.0,21.5,18.92,25.85,55.11,50.10
172.92,0.25,-1.46,9.15,52.16,94.0,21.5,18.33,25.68,52.61,47.59
172.96,0.19,-1.45,9.17,52.16,94.0,21.5,18.09,25.85,46.36,46.34
173.00,0.19,-1.99,9.26,52.16,94.0,21.5,18.68,25.85,35.11,41.33
173.04,0.19,-1.40,9.31,52.16,94.0,21.5,18.68,25.68,28.86,38.82
173.08,0.18,-1.69,9.28,52.16,94.0,21.5,18.80,25.51,13.87,27.54
173.12,0.20,-2.00,9.24,52.16,94.0,21.5,18.68,25.85,5.12,15.00
173.16,0.15,-1.27,9.30,52.16,94.0,21.5,18.68,25.34,-12.37,7.48
173.20,0.10,-1.19,9.24,52.16,94.0,21.5,18.80,25.85,-33.62,-10.07
173.24,0.26,-1.25,9.20,52.16,94.0,21.5,18.56,25.85,-42.36,-18.84
173.28,0.25,-0.39,9.16,52.16,94.0,21.5,18.56,25.68,-58.61,-35.14
173.32,0.18,0.05,9.18,52.16,94.0,21.5,18.80,25.85,-63.61,-51.44
173.36,0.17,0.79,9.11,52.16,94.0,21.5,18.45,25.68,-74.86,-58.96
173.40,0.06,1.00,9.14,52.16,94.0,21.5,18.56,25.85,-79.85,-67.73
173.44,0.16,1.55,9.15,52.16,94.0,21.5,18.56,25.68,-83.60,-70.24
173.48,0.16,2.00,9.11,52.16,94.0,21.5,18.80,25.68,-78.60,-70.24
173.52,0.12,3.13,9.15,52.16,94.0,21.5,18.68,25.85,-69.86,-58.96
173.56,0.06,4.19,9.13,52.16,94.0,21.5,18.56,25.85,-51.11,-51.44
173.60,0.16,3.37,9.25,52.16,94.0,21.5,18.45,25.68,-41.12,-37.65
173.64,0.12,3.97,9.23,52.16,94.0,21.5,18.45,25.68,-17.37,-31.38
173.68,0.11,4.05,9.17,52.16,94.0,21.5,18.68,25.85,5.12,-13.83
173.72,0.10,3.64,9.27,52.16,94.0,21.5,18.56,26.02,16.37,-3.80
