Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
232.98,0.21,-0.81,9.21,29.09,94.0,21.5,17.49,34.44,15.58,-18.97
233.02,0.19,-0.88,9.40,29.09,94.0,21.5,17.01,34.21,15.58,-21.46
233.06,0.13,-0.64,9.20,29.09,94.0,21.5,17.49,34.21,16.83,-25.20
233.10,0.18,-0.66,9.31,29.09,94.0,21.5,17.25,33.98,19.33,-26.45
233.14,0.18,-0.73,9.27,29.09,94.0,21.5,17.01,34.21,21.83,-27.70
233.18,0.18,-0.61,9.29,29.09,94.0,21.5,17.49,34.44,21.83,-30.19
233.22,0.20,-0.74,9.27,29.09,94.0,21.5,17.13,33.75,24.33,-30.19
233.26,0.18,-0.34,9.20,29.09,94.0,21.5,17.25,34.21,24.33,-30.19
233.30,0.21,-0.34,9.24,29.09,94.0,21.5,17.01,34.44,26.83,-30.19
233.34,0.22,-0.33,9.19,29.09,94.0,21.5,17.13,34.44,25.58,-28.94
233.38,0.15,-0.07,9.24,29.09,94.0,21.5,17.13,34.44,25.58,-23.96
233.42,0.11,-0.03,9.22,29.09,94.0,21.5,17.13,34.21,24.33,-23.96
233.46,0.15,0.19,9.17,29.09,94.0,21.5,17.25,34.44,24.33,-21.46
233.50,0.19,0.14,9.20,29.09,94.0,21.5,17.73,34.44,25.58,-16.48
233.54,0.18,0.53,9.21,29.09,94.0,21.5,17.13,34.21,23.08,-15.23
233.58,0.11,0.78,9.19,29.09,94.0,21.5,17.61,34.21,23.08,-11.49
233.62,0.11,0.76,9.19,29.09,94.0,21.5,17.01,34.44,20.58,-6.51
233.66,0.18,1.01,9.18,29.09,94.0,21.5,17.25,34.21,20.58,-1.52
233.70,0.18,1.22,9.10,29.09,94.0,21.5,17.25,34.21,15.58,-0.27
233.74,0.17,1.53,9.16,29.09,94.0,21.5,16.29,34.21,13.08,3.47
233.78,0.16,1.76,9.18,29.09,94.0,21.5,17.25,33.98,10.58,4.71
233.82,0.15,1.91,9.16,29.09,94.0,21.5,17.01,33.98,8.08,10.94
233.86,0.14,2.24,9.13,29.09,94.0,21.5,17.13,34.44,4.33,15.93
233.90,0.14,2.09,9.16,29.09,94.0,21.5,17.25,34.21,1.83,18.42
233.94,0.16,2.69,9.16,29.09,94.0,21.5,17.13,33.98,-3.17,19.67
233.98,0.12,2.63,9.18,29.09,94.0,21.5,17.13,34.21,-8.17,22.16
234.02,0.20,2.48,9.15,29.09,94.0,21.5,16.89,34.44,-9.42,25.90
234.06,0.13,2.84,9.16,29.09,94.0,21.5,17.25,33.98,-14.42,24.66
234.10,0.13,2.78,9.14,29.09,94.0,21.5,17.13,34.21,-18.17,25.90
234.14,0.16,2.69,9.12,29.09,94.0,21.5,17.13,33.75,-20.67,25.90
234.18,0.14,2.58,9.16,29.09,94.0,21.5,17.25,34.44,-21.92,28.39
234.22,0.17,2.45,9.16,29.09,94.0,21.5,17.13,34.21,-25.67,24.66
234.26,0.15,2.18,9.14,29.09,94.0,21.5,17.01,34.44,-26.92,25.90
234.30,0.11,2.21,9.16,29.09,94.0,21.5,17.13,34.21,-26.92,24.66
234.34,0.12,2.02,9.22,29.09,94.0,21.5,16.89,34.44,-28.17,27.15
234.38,0.11,1.95,9.15,29.09,94.0,21.5,16.89,34.21,-26.92,24.66
234.42,0.10,1.60,9.24,29.09,94.0,21.5,17.13,34.21,-26.92,23.41
234.46,0.23,1.36,9.09,29.09,94.0,21.5,17.73,33.98,-23.17,23.41
234.50,0.15,1.56,9.11,29.09,94.0,21.5,17.25,33.98,-21.92,22.16
234.54,0.17,0.93,9.12,29.09,94.0,21.5,17.01,33.98,-18.17,19.67
234.58,0.19,0.69,9.18,29.09,94.0,21.5,17.37,34.68,-18.17,17.18
234.62,0.14,0.59,9.13,29.09,94.0,21.5,17.01,33.98,-15.67,14.68
234.66,0.18,0.46,9.14,29.09,94.0,21.5,17.49,34.21,-11.92,12.19
234.70,0.16,0.16,9.28,29.09,94.0,21.5,17.13,33.98,-9.42,9.70
234.74,0.16,-0.06,9.14,29.09,94.0,21.5,17.01,34.44,-6.92,8.45
234.78,0.17,-0.09,9.10,29.09,94.0,21.5,17.37,33.75,-3.17,5.96
234.82,0.15,-0.28,9.26,29.09,94.0,21.5,16.89,34.21,1.83,5.96
234.86,0.19,-0.71,9.21,29.09,94.0,21.5,17.25,33.98,4.33,-0.27
234.90,0.20,-0.57,9.27,29.09,94.0,21.5,17.13,33.98,6.83,-4.01
234.94,0.17,-0.57,9.21,29.09,94.0,21.5,19.51,33.98,8.08,-5.26
234.98,0.15,-0.90,9.32,29.09,94.0,21.5,17.01,34.44,10.58,-11.49
235.02,0.19,-0.62,9.27,29.09,94.0,21.5,17.01,34.21,11.83,-13.99
235.06,0.16,-0.81,9.22,29.09,94.0,21.5,17.25,34.21,14.33,-15.23
235.10,0.17,-0.89,9.35,29.09,94.0,21.5,17.13,34.44,16.83,-17.72
235.14,0.17,-0.62,9.23,29.09,94.0,21.5,17.01,34.21,16.83,-22.71
235.18,0.17,-0.73,9.28,29.09,94.0,21.5,17.25,34.21,23.08,-23.96
235.22,0.23,-0.67,9.23,29.09,94.0,21.5,17.01,34.44,21.83,-27.70
235.26,0.20,-0.69,9.21,29.09,94.0,21.5,17.13,34.44,24.33,-27.70
235.30,0.18,-0.56,9.28,29.09,94.0,21.5,17.25,34.21,24.33,-30.19
235.34,0.17,-0.38,9.27,29.09,94.0,21.5,17.25,34.21,25.58,-31.44
235.38,0.18,-0.49,9.26,29.09,94.0,21.5,17.13,34.21,25.58,-28.94
235.42,0.22,-0.12,9.21,29.09,94.0,21.5,17.13,33.98,24.33,-28.94
235.46,0.21,-0.06,9.22,29.09,94.0,21.5,17.25,34.68,25.58,-26.45
235.50,0.13,0.17,9.21,29.09,94.0,21.5,17.25,34.21,26.83,-23.96
235.54,0.19,0.09,9.22,29.09,94.0,21.5,18.21,34.21,24.33,-20.22
235.58,0.13,0.29,9.21,29.09,94.0,21.5,17.13,34.21,23.08,-18.97
235.62,0.15,0.65,9.16,29.09,94.0,21.5,17.01,33.98,23.08,-15.23
235.66,0.21,0.61,9.15,29.09,94.0,21.5,17.13,34.44,23.08,-11.49
235.70,0.17,0.96,9.18,29.09,94.0,21.5,17.01,34.21,20.58,-5.26
