Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
405.27,0.18,2.43,9.20,31.26,94.0,21.2,17.25,34.21,-26.59,33.85
405.31,0.08,2.49,9.17,31.26,94.0,21.2,17.01,33.52,-26.59,35.10
405.35,0.18,2.30,9.18,31.26,94.0,21.2,17.37,33.98,-31.59,36.35
405.39,0.13,2.32,9.11,31.26,94.0,21.2,17.13,33.75,-36.59,36.35
405.43,0.16,1.96,9.07,31.26,94.0,21.2,17.37,33.75,-37.84,36.35
405.47,0.11,1.47,9.21,31.26,94.0,21.2,17.25,33.52,-40.34,37.59
405.51,0.22,1.35,9.08,31.26,94.0,21.2,17.01,34.21,-39.09,37.59
405.55,0.11,0.93,9.19,31.26,94.0,21.2,18.45,33.98,-37.84,36.35
405.59,0.15,1.06,9.15,31.26,94.0,21.2,17.01,33.75,-37.84,36.35
405.63,0.12,0.50,9.20,31.26,94.0,21.2,17.13,33.98,-34.09,35.10
405.67,0.18,0.31,9.14,31.26,94.0,21.2,17.01,33.98,-30.34,32.61
405.72,0.13,0.09,9.19,31.26,94.0,21.2,17.01,33.98,-27.84,30.11
405.76,0.17,0.03,9.05,31.26,94.0,21.2,17.25,33.75,-25.34,28.87
405.80,0.18,-0.16,9.23,31.26,94.0,21.2,17.13,33.52,-21.59,26.38
405.83,0.15,-0.63,9.26,31.26,94.0,21.2,17.37,33.52,-17.84,21.39
405.88,0.21,-0.68,9.17,31.26,94.0,21.2,16.89,33.98,-14.09,18.90
405.92,0.18,-0.71,9.22,31.26,94.0,21.2,17.13,33.98,-9.09,15.16
405.95,0.13,-0.71,9.27,31.26,94.0,21.2,17.25,33.75,-6.59,10.17
406.00,0.22,-1.09,9.30,31.26,94.0,21.2,16.05,33.75,-1.59,6.43
406.04,0.24,-0.89,9.22,31.26,94.0,21.2,17.13,33.98,3.41,2.69
406.08,0.12,-0.82,9.30,31.26,94.0,21.2,15.44,33.75,8.41,0.20
406.11,0.16,-0.94,9.33,31.26,94.0,21.2,17.25,33.98,10.91,-4.79
406.16,0.18,-0.82,9.30,31.26,94.0,21.2,17.49,33.75,14.66,-8.53
406.20,0.16,-0.83,9.28,31.26,94.0,21.2,17.13,33.75,18.41,-13.51
406.23,0.24,-0.80,9.21,31.26,94.0,21.2,17.25,33.75,20.91,-16.00
406.27,0.17,-0.60,9.24,31.26,94.0,21.2,17.61,33.98,24.66,-18.50
406.32,0.13,-0.55,9.23,31.26,94.0,21.2,18.56,33.98,27.16,-20.99
406.36,0.20,-0.53,9.22,31.26,94.0,21.2,17.13,33.98,29.66,-23.48
406.39,0.19,-0.19,9.21,31.26,94.0,21.2,17.01,33.52,30.91,-28.47
406.44,0.20,0.06,9.21,31.26,94.0,21.2,17.37,33.75,30.91,-30.96
406.48,0.24,-0.11,9.22,31.26,94.0,21.2,17.13,33.98,34.66,-32.21
406.52,0.18,0.08,9.18,31.26,94.0,21.2,17.25,33.75,35.91,-34.70
406.55,0.17,0.40,9.16,31.26,94.0,21.2,17.25,33.75,35.91,-34.70
406.60,0.18,0.75,9.13,31.26,94.0,21.2,17.13,33.75,37.16,-37.19
406.64,0.14,0.95,9.14,31.26,94.0,21.2,17.25,33.75,39.66,-37.19
406.67,0.17,1.09,9.16,31.26,94.0,21.2,17.01,33.75,37.16,-34.70
