Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
170.57,0.15,0.07,9.18,35.80,94.0,21.0,17.37,36.14,26.94,-7.29
170.61,0.17,0.64,9.13,35.80,94.0,21.0,17.13,35.89,25.69,-14.77
170.65,0.12,0.96,9.11,35.80,94.0,21.0,17.13,36.14,25.69,-18.51
170.69,0.12,1.21,9.14,35.80,94.0,21.0,16.89,36.14,25.69,-21.00
170.73,0.14,1.50,9.13,35.80,94.0,21.0,13.95,35.65,25.69,-25.99
170.77,0.09,1.97,9.13,35.80,94.0,21.0,17.13,35.65,21.94,-28.48
170.81,0.16,2.39,9.11,35.80,94.0,21.0,17.01,36.39,21.94,-27.24
170.85,0.11,2.74,9.14,35.80,94.0,21.0,17.13,35.40,19.44,-30.97
170.89,0.14,2.74,9.17,35.80,94.0,21.0,17.13,35.40,16.94,-32.22
170.93,0.22,3.15,9.12,35.80,94.0,21.0,17.25,35.40,14.44,-30.97
170.97,0.08,3.34,9.22,35.80,94.0,21.0,17.13,35.89,8.19,-27.24
171.01,0.16,3.13,9.15,35.80,94.0,21.0,17.01,35.40,6.94,-23.50
171.05,0.17,3.48,9.12,35.80,94.0,21.0,17.13,35.65,4.44,-19.76
171.09,0.09,3.22,9.14,35.80,94.0,21.0,17.13,35.40,3.19,-16.02
171.13,0.27,2.72,9.17,35.80,94.0,21.0,14.57,35.65,-1.81,-14.77
171.17,0.11,2.74,9.15,35.80,94.0,21.0,17.25,35.40,-3.06,-9.78
171.21,0.11,2.67,9.10,35.80,94.0,21.0,17.01,35.65,-6.81,-6.05
171.25,0.16,2.38,9.19,35.80,94.0,21.0,17.49,35.16,-8.06,-1.06
171.29,0.12,2.01,9.10,35.80,94.0,21.0,17.25,35.40,-11.81,3.93
171.33,0.23,1.38,9.11,35.80,94.0,21.0,17.13,35.40,-13.06,7.67
171.37,0.12,1.21,9.15,35.80,94.0,21.0,17.01,35.65,-16.81,11.41
171.41,0.12,0.93,9.15,35.80,94.0,21.0,17.25,35.16,-19.31,16.39
171.45,0.19,0.48,9.11,35.80,94.0,21.0,17.37,34.92,-21.81,21.38
171.49,0.22,-0.06,9.12,35.80,94.0,21.0,17.13,35.40,-23.06,23.87
171.53,0.18,-0.22,9.13,35.80,94.0,21.0,17.37,35.40,-26.81,26.36
171.57,0.23,-0.43,9.17,35.80,94.0,21.0,17.13,35.16,-26.81,26.36
171.61,0.23,-0.48,9.07,35.80,94.0,21.0,17.01,35.40,-29.31,26.36
171.65,0.20,-1.40,9.31,35.80,94.0,21.0,17.37,35.65,-29.31,23.87
171.69,0.24,-1.13,9.20,35.80,94.0,21.0,17.01,35.40,-26.81,23.87
171.73,0.14,-1.06,9.26,35.80,94.0,21.0,17.61,35.65,-20.56,25.12
171.77,0.20,-1.47,9.30,35.80,94.0,21.0,17.13,35.16,-15.56,23.87
171.81,0.17,-0.98,9.22,35.80,94.0,21.0,17.13,36.14,-10.56,23.87
171.85,0.12,-1.24,9.35,35.80,94.0,21.0,17.25,35.40,-6.81,22.62
171.89,0.22,-1.11,9.24,35.80,94.0,21.0,16.89,36.14,-0.56,22.62
171.93,0.18,-1.03,9.28,35.80,94.0,21.0,17.49,35.40,3.19,20.13
171.97,0.22,-1.12,9.23,35.80,94.0,21.0,17.25,35.40,6.94,17.64
172.01,0.23,-0.93,9.23,35.80,94.0,21.0,17.01,35.65,10.69,17.64
172.05,0.17,-0.76,9.24,35.80,94.0,21.0,17.13,35.89,14.44,15.14
172.09,0.20,-0.57,9.17,35.80,94.0,21.0,16.89,35.40,16.94,11.41
172.13,0.18,-0.34,9.17,35.80,94.0,21.0,17.25,35.40,21.94,10.16
172.17,0.16,-0.12,9.17,35.80,94.0,21.0,17.25,35.16,23.19,5.17
172.21,0.20,0.02,9.17,35.80,94.0,21.0,16.89,35.65,24.44,1.43
172.25,0.15,0.19,9.13,35.80,94.0,21.0,17.13,35.65,26.94,-3.55
172.29,0.14,0.63,9.13,35.80,94.0,21.0,17.13,35.65,25.69,-8.54
172.33,0.13,0.95,9.15,35.80,94.0,21.0,17.25,35.40,28.19,-12.28
172.37,0.14,1.34,9.14,35.80,94.0,21.0,17.01,35.40,26.94,-17.26
172.41,0.16,1.42,9.13,35.80,94.0,21.0,17.13,35.16,24.44,-23.50
172.45,0.12,2.10,9.07,35.80,94.0,21.0,17.01,35.65,24.44,-25.99
172.49,0.17,2.24,9.09,35.80,94.0,21.0,17.01,35.16,23.19,-29.73
172.53,0.12,2.80,9.16,35.80,94.0,21.0,17.37,35.65,20.69,-32.22
172.57,0.08,2.76,9.17,35.80,94.0,21.0,16.89,35.89,18.19,-33.47
172.61,0.23,3.06,9.11,35.80,94.0,21.0,17.13,35.65,14.44,-30.97
172.65,0.13,3.38,9.13,35.80,94.0,21.0,17.13,35.40,14.44,-25.99
172.69,0.15,3.14,9.16,35.80,94.0,21.0,17.01,34.21,10.69,-22.25
172.73,0.16,3.39,9.21,35.80,94.0,21.0,17.37,35.40,6.94,-19.76
172.77,0.07,3.24,9.18,35.80,94.0,21.0,16.53,35.40,3.19,-16.02
172.81,0.22,2.67,9.18,35.80,94.0,21.0,17.13,35.89,0.69,-12.28
172.85,0.11,2.73,9.18,35.80,94.0,21.0,17.13,35.40,-3.06,-9.78
172.89,0.11,2.62,9.20,35.80,94.0,21.0,17.13,35.65,-5.56,-6.05
172.93,0.15,2.38,9.11,35.80,94.0,21.0,17.37,35.65,-9.31,-1.06
172.97,0.08,1.98,9.11,35.80,94.0,21.0,17.01,35.40,-10.56,3.93
173.01,0.20,1.35,9.14,35.80,94.0,21.0,17.25,35.40,-14.31,8.91
173.05,0.14,1.10,9.14,35.80,94.0,21.0,17.01,36.14,-15.56,13.90
173.09,0.11,0.97,9.08,35.80,94.0,21.0,17.49,35.16,-19.31,16.39
173.13,0.17,0.38,9.20,35.80,94.0,21.0,17.25,35.89,-20.56,22.62
173.17,0.21,-0.16,9.12,35.80,94.0,21.0,17.13,35.16,-23.06,23.87
173.21,0.20,-0.29,9.21,35.80,94.0,21.0,17.13,35.65,-26.81,25.12
173.25,0.17,-0.44,9.13,35.80,94.0,21.0,17.13,35.65,-28.06,26.36
173.29,0.21,-0.60,9.27,35.80,94.0,21.0,17.01,35.40,-28.06,27.61
173.33,0.23,-1.16,9.20,35.80,94.0,21.0,17.25,35.40,-28.06,25.12
173.37,0.25,-1.28,9.25,35.80,94.0,21.0,17.13,35.40,-25.56,23.87
173.41,0.18,-0.92,9.22,35.80,94.0,21.0,17.13,35.65,-20.56,23.87
173.45,0.23,-1.45,9.33,35.80,94.0,21.0,17.49,35.65,-15.56,23.87
173.49,0.25,-1.11,9.26,35.80,94.0,21.0,17.01,35.40,-8.06,23.87
173.53,0.16,-1.06,9.21,35.80,94.0,21.0,17.25,35.65,-5.56,22.62
173.57,0.24,-1.24,9.34,35.80,94.0,21.0,17.13,35.65,-1.81,20.13
173.61,0.24,-1.05,9.21,35.80,94.0,21.0,17.25,35.40,3.19,20.13
173.65,0.21,-1.10,9.28,35.80,94.0,21.0,17.37,35.16,6.94,18.88
173.69,0.21,-0.96,9.24,35.80,94.0,21.0,17.01,35.65,11.94,17.64
173.73,0.18,-0.75,9.17,35.80,94.0,21.0,17.25,35.40,15.69,13.90
173.77,0.17,-0.57,9.25,35.80,94.0,21.0,17.13,35.65,18.19,11.41
173.81,0.19,-0.21,9.19,35.80,94.0,21.0,17.37,35.65,21.94,7.67
173.85,0.18,-0.06,9.18,35.80,94.0,21.0,17.25,34.92,23.19,3.93
173.89,0.20,0.02,9.17,35.80,94.0,21.0,17.13,33.75,24.44,0.19
173.93,0.17,0.39,9.12,35.80,94.0,21.0,17.25,35.65,25.69,-3.55
173.97,0.17,0.68,9.14,35.80,94.0,21.0,17.73,35.40,26.94,-8.54
174.01,0.16,1.08,9.08,35.80,94.0,21.0,18.68,35.40,28.19,-12.28
174.05,0.13,1.39,9.13,35.80,94.0,21.0,17.01,35.65,25.69,-19.76
174.09,0.14,1.54,9.15,35.80,94.0,21.0,16.89,35.65,24.44,-23.50
174.13,0.11,2.12,9.08,35.80,94.0,21.0,17.13,35.65,23.19,-28.48
174.17,0.12,2.07,9.16,35.80,94.0,21.0,17.13,35.65,23.19,-30.97
174.21,0.11,2.88,9.11,35.80,94.0,21.0,17.01,35.40,21.94,-32.22
174.25,0.06,2.75,9.19,35.80,94.0,21.0,17.61,35.65,18.19,-32.22
174.29,0.23,2.98,9.15,35.80,94.0,21.0,17.01,35.65,15.69,-30.97
174.33,0.11,3.39,9.16,35.80,94.0,21.0,18.92,35.16,11.94,-28.48
174.37,0.13,3.20,9.16,35.80,94.0,21.0,17.49,35.40,8.19,-23.50
174.41,0.14,3.34,9.15,35.80,94.0,21.0,17.37,35.16,4.44,-19.76
174.45,0.06,3.23,9.16,35.80,94.0,21.0,17.25,35.40,3.19,-14.77
174.49,0.22,2.67,9.14,35.80,94.0,21.0,17.01,35.16,-0.56,-11.03
174.53,0.14,2.68,9.16,35.80,94.0,21.0,17.13,35.40,-3.06,-7.29
174.57,0.09,2.60,9.15,35.80,94.0,21.0,17.13,35.65,-5.56,-4.80
174.61,0.19,2.31,9.19,35.80,94.0,21.0,16.89,35.65,-9.31,1.43
174.65,0.12,1.83,9.09,35.80,94.0,21.0,17.13,35.40,-10.56,3.93
174.69,0.22,1.42,9.05,35.80,94.0,21.0,17.01,35.40,-15.56,7.67
174.73,0.14,1.11,9.18,35.80,94.0,21.0,17.13,35.40,-14.31,12.65
174.77,0.10,0.96,9.13,35.80,94.0,21.0,17.01,35.40,-18.06,17.64
174.81,0.17,0.38,9.06,35.80,94.0,21.0,17.13,35.65,-21.81,21.38
174.85,0.18,-0.11,9.21,35.80,94.0,21.0,17.13,40.19,-24.31,25.12
174.89,0.20,-0.25,9.14,35.80,94.0,21.0,17.01,35.40,-26.81,26.36
174.93,0.16,-0.44,9.12,35.80,94.0,21.0,17.13,35.65,-28.06,25.12
174.97,0.19,-0.62,9.22,35.80,94.0,21.0,17.01,35.40,-29.31,25.12
175.01,0.21,-1.10,9.26,35.80,94.0,21.0,17.13,35.65,-29.31,25.12
175.05,0.22,-1.47,9.24,35.80,94.0,21.0,17.13,35.16,-23.06,22.62
175.09,0.20,-0.85,9.26,35.80,94.0,21.0,17.01,35.65,-20.56,23.87
175.13,0.17,-1.29,9.28,35.80,94.0,21.0,17.37,35.65,-14.31,25.12
175.17,0.25,-1.23,9.24,35.80,94.0,21.0,18.92,35.65,-10.56,22.62
175.21,0.18,-1.03,9.26,35.80,94.0,21.0,17.73,33.07,-4.31,21.38
175.25,0.19,-1.17,9.29,35.80,94.0,21.0,17.25,35.16,-1.81,21.38
175.29,0.22,-1.07,9.25,35.80,94.0,21.0,16.89,35.65,3.19,18.88
175.33,0.18,-1.03,9.22,35.80,94.0,21.0,17.25,35.40,6.94,20.13
175.37,0.19,-0.89,9.25,35.80,94.0,21.0,17.01,35.40,13.19,16.39
175.41,0.26,-0.69,9.25,35.80,94.0,21.0,17.25,35.65,15.69,12.65
175.45,0.15,-0.57,9.24,35.80,94.0,21.0,17.25,35.65,20.69,11.41
