Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
192.95,0.18,0.67,9.05,43.22,82.0,24.0,17.37,31.34,9.06,-64.45
192.99,0.12,0.32,9.08,43.22,82.0,24.0,17.25,30.92,-4.69,-75.67
193.03,0.23,-0.50,9.08,43.22,82.0,24.0,17.13,31.13,-10.94,-80.66
193.07,0.19,-0.93,9.07,43.22,82.0,24.0,17.61,31.13,-24.69,-85.64
193.11,0.15,-1.18,9.27,43.22,82.0,24.0,16.77,31.34,-34.69,-81.91
193.15,0.17,-1.37,9.26,43.22,82.0,24.0,17.73,31.55,-38.44,-69.44
193.19,0.18,-2.20,9.15,43.22,82.0,24.0,16.89,31.13,-45.94,-50.74
193.23,0.23,-1.61,9.24,43.22,82.0,24.0,17.37,31.13,-49.69,-40.77
193.27,0.16,-1.77,9.22,43.22,82.0,24.0,17.01,31.34,-47.19,-39.53
193.31,0.21,-1.79,9.28,43.22,82.0,24.0,17.01,31.13,-47.19,-39.53
193.35,0.17,-1.38,9.25,43.22,82.0,24.0,17.13,31.34,-44.69,-39.53
193.39,0.19,-1.64,9.23,43.22,82.0,24.0,17.13,31.34,-37.19,-39.53
193.43,0.22,-1.57,9.23,43.22,82.0,24.0,17.25,31.13,-32.19,-39.53
193.47,0.18,-1.02,9.20,43.22,82.0,24.0,17.25,31.34,-27.19,36.51
193.51,0.19,-0.87,9.16,43.22,82.0,24.0,17.61,31.34,-18.44,43.99
193.55,0.22,-0.64,9.11,43.22,82.0,24.0,17.25,31.34,-13.44,47.73
193.59,0.13,-0.17,9.10,43.22,82.0,24.0,17.37,31.13,-5.94,51.47
193.63,0.18,0.14,9.08,43.22,82.0,24.0,17.97,30.92,1.56,55.21
193.67,0.11,0.56,9.09,43.22,82.0,24.0,17.61,31.34,6.56,57.70
193.71,0.11,1.21,9.06,43.22,82.0,24.0,17.13,31.34,12.81,56.45
193.75,0.15,1.80,9.10,43.22,82.0,24.0,17.61,31.34,15.31,53.96
193.79,0.12,2.08,8.96,43.22,82.0,24.0,17.37,31.34,24.06,52.71
193.83,0.24,2.92,9.00,43.22,82.0,24.0,17.13,31.55,34.06,52.71
193.87,-0.00,3.64,9.17,43.22,82.0,24.0,17.13,30.92,37.81,48.97
193.91,0.16,3.60,9.10,43.22,82.0,24.0,17.25,30.92,41.56,45.23
193.95,0.16,4.26,9.15,43.22,82.0,24.0,17.49,31.34,45.31,43.99
193.99,0.00,4.25,9.17,43.22,82.0,24.0,17.25,31.34,49.06,39.00
194.03,0.19,3.85,9.14,43.22,82.0,24.0,17.37,31.34,51.56,32.77
194.07,0.11,3.82,9.16,43.22,82.0,24.0,17.13,31.55,50.31,26.54
