Time (s),Accel_x (m2/s),Accel_y (m2/s),Accel_z (m2/s),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
121.11,0.14,4.17,8.90,47.83,95.0,22.0,18.68,36.65,34.61,61.59
121.15,0.29,2.82,8.95,47.83,95.0,22.0,18.68,38.50,28.33,58.99
121.19,0.28,2.29,8.89,47.83,95.0,22.0,18.45,38.77,22.05,57.69
121.23,0.16,1.88,8.99,47.83,95.0,22.0,18.45,38.50,17.02,52.50
121.27,0.23,1.51,9.06,47.83,95.0,22.0,18.56,38.50,8.23,43.41
121.31,0.39,0.39,9.03,47.83,95.0,22.0,18.80,38.23,9.49,35.62
121.35,0.30,-0.55,9.08,47.83,95.0,22.0,18.45,38.50,3.21,27.82
121.39,0.30,-0.94,9.13,47.83,95.0,22.0,18.45,38.50,3.21,14.84
121.43,0.43,-1.95,9.31,47.83,95.0,22.0,18.80,38.50,3.21,-3.35
121.47,0.40,-1.09,9.26,47.83,95.0,22.0,18.33,37.69,-19.40,-12.44
121.51,0.33,-2.18,9.45,47.83,95.0,22.0,18.68,38.50,-23.17,-31.92
121.55,0.49,-2.03,9.40,47.83,95.0,22.0,18.68,38.23,-30.70,-38.41
121.59,0.31,-1.16,9.35,47.83,95.0,22.0,18.68,38.77,-40.75,-55.29
121.63,0.33,-1.73,9.36,47.83,95.0,22.0,18.45,38.50,-48.28,-69.58
121.67,0.48,-1.29,9.30,47.83,95.0,22.0,18.56,38.77,-58.33,-72.18
121.71,0.27,-1.16,9.30,47.83,95.0,22.0,18.68,38.50,-60.84,-79.97
121.75,0.43,-1.21,9.23,47.83,95.0,22.0,18.56,38.77,-62.10,-79.97
121.79,0.34,-0.14,9.15,47.83,95.0,22.0,17.97,38.23,-58.33,-76.07
121.83,0.23,0.07,9.14,47.83,95.0,22.0,18.56,38.50,-55.82,-66.98
121.87,0.45,-0.03,9.09,47.83,95.0,22.0,18.56,38.23,-55.82,-61.79
121.91,0.27,0.59,9.03,47.83,95.0,22.0,18.80,38.50,-55.82,-46.20
121.95,0.25,1.43,8.91,47.83,95.0,22.0,18.92,39.05,-55.82,-38.41
121.99,0.29,2.55,8.91,47.83,95.0,22.0,18.56,38.23,3.21,-18.93
122.03,0.09,3.24,8.92,47.83,95.0,22.0,19.39,38.23,15.77,-0.75
122.07,0.26,3.30,8.89,47.83,95.0,22.0,18.56,38.50,30.84,9.64
122.11,0.11,4.72,8.92,47.83,95.0,22.0,18.80,38.50,37.12,22.63
122.15,0.14,5.12,8.96,47.83,95.0,22.0,19.51,38.50,39.63,22.63
122.19,0.24,5.35,8.84,47.83,95.0,22.0,18.56,38.23,45.91,22.63
122.23,0.01,5.18,8.84,47.83,95.0,22.0,18.80,38.23,43.40,64.19
122.27,0.20,4.28,8.99,47.83,95.0,22.0,18.45,38.50,40.89,53.80
122.31,0.19,4.98,8.92,47.83,95.0,22.0,18.80,38.23,39.63,58.99
122.35,0.09,4.29,8.94,47.83,95.0,22.0,15.44,38.23,35.86,57.69
122.39,0.30,3.51,8.86,47.83,95.0,22.0,18.33,38.23,30.84,58.99
122.43,0.17,2.44,8.91,47.83,95.0,22.0,18.92,38.50,24.56,55.10
122.47,0.28,2.13,8.92,47.83,95.0,22.0,18.56,37.96,22.05,55.10
122.51,0.30,1.68,8.94,47.83,95.0,22.0,18.68,38.23,13.26,47.30
122.55,0.28,0.58,9.06,47.83,95.0,22.0,18.56,38.23,8.23,43.41
122.59,0.33,-0.13,9.11,47.83,95.0,22.0,18.68,38.23,4.46,29.12
122.63,0.37,-0.97,9.09,47.83,95.0,22.0,18.68,38.50,-0.56,22.63
122.67,0.48,-1.38,9.23,47.83,95.0,22.0,18.56,38.50,-4.33,10.94
122.71,0.32,-1.11,9.30,47.83,95.0,22.0,18.56,38.50,-14.37,-8.54
122.75,0.46,-2.48,9.44,47.83,95.0,22.0,18.68,38.50,-25.68,-18.93
122.79,0.43,-1.30,9.30,47.83,95.0,22.0,18.56,38.50,-29.45,-38.41
122.83,0.31,-1.92,9.40,47.83,95.0,22.0,18.56,38.50,-44.52,-53.99
122.87,0.41,-1.56,9.36,47.83,95.0,22.0,18.45,38.50,-47.03,-64.38
122.91,0.33,-0.76,9.28,47.83,95.0,22.0,18.80,38.50,-57.07,-73.47
122.95,0.41,-2.02,9.33,47.83,95.0,22.0,18.33,38.50,-62.10,-77.37
122.99,0.42,-0.79,9.23,47.83,95.0,22.0,18.45,38.77,-63.35,-79.97
123.03,0.19,-0.61,9.29,47.83,95.0,22.0,18.56,38.50,-58.33,-78.67
123.07,0.37,-0.42,9.17,47.83,95.0,22.0,18.45,38.50,-54.56,-72.18
123.11,0.33,0.35,9.05,47.83,95.0,22.0,18.68,38.50,-53.31,-65.68
123.15,0.31,0.34,9.10,47.83,95.0,22.0,18.68,38.50,-54.56,-56.59
123.19,0.36,1.02,9.04,47.83,95.0,22.0,19.04,38.50,-53.31,-39.71
123.23,0.11,2.22,8.90,47.83,95.0,22.0,18.92,38.50,0.70,-29.32
123.27,0.17,2.95,8.93,47.83,95.0,22.0,18.56,38.50,10.74,-29.32
123.31,0.29,3.72,8.94,47.83,95.0,22.0,18.68,38.50,23.30,-29.32
