Time (s),Accel_x (m2/s),Accel_y (m2/s),Accel_z (m2/s),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
170.00,0.51,-0.38,9.24,29.76,95.0,23.2,18.21,35.65,-37.36,24.42
170.04,0.52,-1.02,9.44,29.76,95.0,23.2,17.85,35.89,-41.13,25.72
170.08,0.57,-0.43,9.34,29.76,95.0,23.2,18.09,35.89,-43.64,29.61
170.12,0.51,-0.75,9.32,29.76,95.0,23.2,17.97,35.65,-44.89,30.91
170.16,0.57,-1.04,9.35,29.76,95.0,23.2,18.45,35.89,-48.66,32.21
170.20,0.46,-0.35,9.33,29.76,95.0,23.2,18.56,35.65,-51.17,30.91
170.24,0.51,-0.56,9.33,29.76,95.0,23.2,17.85,35.65,-49.92,30.91
170.28,0.60,0.00,9.25,29.76,95.0,23.2,18.09,35.89,-49.92,29.61
170.32,0.41,-0.45,9.33,29.76,95.0,23.2,18.09,35.65,-49.92,28.31
170.36,0.48,-0.23,9.34,29.76,95.0,23.2,17.97,35.65,-47.40,28.31
170.40,0.59,-0.47,9.27,29.76,95.0,23.2,18.09,35.89,-42.38,27.02
170.44,0.47,0.07,9.24,29.76,95.0,23.2,18.21,35.65,-38.61,24.42
170.48,0.51,0.37,9.14,29.76,95.0,23.2,18.21,35.89,-32.33,23.12
170.52,0.50,-0.07,9.26,29.76,95.0,23.2,17.97,35.89,-28.57,24.42
170.56,0.47,0.25,9.17,29.76,95.0,23.2,17.85,35.89,-21.03,24.42
170.60,0.48,0.54,9.15,29.76,95.0,23.2,18.33,35.65,-13.50,23.12
170.64,0.45,0.86,9.10,29.76,95.0,23.2,17.97,36.14,-12.24,21.82
170.68,0.50,1.01,9.10,29.76,95.0,23.2,18.45,35.65,-5.96,21.82
170.72,0.41,1.15,9.06,29.76,95.0,23.2,18.09,35.89,-3.45,20.52
170.76,0.48,1.26,9.03,29.76,95.0,23.2,18.56,35.89,4.09,17.92
170.80,0.45,1.77,9.04,29.76,95.0,23.2,18.21,35.40,7.86,10.13
170.84,0.38,1.98,8.94,29.76,95.0,23.2,17.85,35.89,10.37,3.64
170.88,0.41,2.57,8.84,29.76,95.0,23.2,18.45,36.14,16.65,-0.26
170.92,0.40,2.77,8.96,29.76,95.0,23.2,17.85,35.65,21.67,-10.65
170.96,0.33,3.16,8.98,29.76,95.0,23.2,18.21,35.89,22.93,-11.95
171.00,0.39,3.24,8.94,29.76,95.0,23.2,18.21,35.40,26.69,-24.93
171.04,0.41,3.56,8.87,29.76,95.0,23.2,18.33,35.89,27.95,-34.02
171.08,0.25,3.90,8.96,29.76,95.0,23.2,18.45,35.65,31.72,-36.62
171.12,0.37,3.81,8.95,29.76,95.0,23.2,18.33,35.89,31.72,-41.82
171.16,0.35,4.01,8.91,29.76,95.0,23.2,18.45,35.89,34.23,-43.11
171.20,0.31,3.93,8.92,29.76,95.0,23.2,17.85,35.89,35.49,-49.61
171.24,0.44,3.59,8.93,29.76,95.0,23.2,17.97,35.89,35.49,-52.20
171.28,0.25,3.78,8.99,29.76,95.0,23.2,18.21,35.89,34.23,-54.80
171.32,0.33,3.65,8.95,29.76,95.0,23.2,17.97,35.89,34.23,-53.50
171.36,0.44,3.41,8.90,29.76,95.0,23.2,17.61,35.89,32.97,-54.80
171.40,0.31,3.15,8.95,29.76,95.0,23.2,18.33,35.65,31.72,-52.20
