Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
165.24,0.19,-1.28,9.24,34.27,94.0,21.8,17.85,33.29,8.76,27.20
165.28,0.20,-0.94,9.18,34.27,94.0,21.8,17.61,33.07,10.01,24.71
165.32,0.27,-1.73,9.23,34.27,94.0,21.8,17.85,33.29,15.01,17.23
165.36,0.21,-1.24,9.21,34.27,94.0,21.8,17.73,32.85,16.26,14.73
165.40,0.17,-0.69,9.16,34.27,94.0,21.8,17.61,33.07,20.01,7.25
165.44,0.16,-0.62,9.17,34.27,94.0,21.8,17.61,32.85,20.01,-1.47
165.48,0.19,-0.42,9.15,34.27,94.0,21.8,17.73,32.85,22.51,-7.70
165.52,0.25,-0.23,9.07,34.27,94.0,21.8,17.73,32.85,22.51,-10.20
165.56,0.13,-0.30,9.08,34.27,94.0,21.8,17.85,33.07,26.26,-11.44
165.60,0.15,0.15,9.06,34.27,94.0,21.8,17.61,32.85,23.76,-20.17
165.64,0.13,0.64,9.05,34.27,94.0,21.8,17.97,32.85,22.51,-25.15
165.68,0.10,0.79,9.01,34.27,94.0,21.8,17.73,32.85,22.51,-27.65
165.72,0.15,1.18,9.01,34.27,94.0,21.8,17.73,32.85,23.76,-32.63
165.76,0.20,1.53,9.06,34.27,94.0,21.8,17.61,33.07,25.01,-36.37
165.80,0.17,2.45,8.94,34.27,94.0,21.8,17.73,32.85,28.76,-40.11
165.84,0.14,2.50,9.03,34.27,94.0,21.8,17.85,32.85,27.51,-40.11
165.88,0.17,3.10,9.03,34.27,94.0,21.8,17.61,32.85,28.76,-36.37
165.92,0.07,3.36,9.07,34.27,94.0,21.8,17.73,32.85,27.51,-32.63
165.96,0.17,3.76,9.09,34.27,94.0,21.8,17.73,32.85,25.01,-27.65
166.00,0.11,4.32,8.99,34.27,94.0,21.8,17.49,33.07,25.01,-25.15
166.04,0.14,3.72,9.11,34.27,94.0,21.8,17.85,32.85,22.51,-21.41
166.08,0.25,3.79,9.06,34.27,94.0,21.8,17.73,33.07,18.76,-18.92
166.12,0.05,4.11,9.06,34.27,94.0,21.8,17.73,32.85,13.76,-17.67
166.16,0.20,3.43,9.08,34.27,94.0,21.8,17.73,33.07,12.51,-12.69
166.20,0.09,3.22,9.10,34.27,94.0,21.8,17.49,32.85,7.51,-6.46
166.24,0.03,3.02,9.12,34.27,94.0,21.8,17.85,32.85,1.26,-0.22
166.28,0.19,2.90,9.02,34.27,94.0,21.8,17.61,32.85,-1.24,8.50
166.32,0.07,2.33,9.02,34.27,94.0,21.8,17.85,32.63,-6.24,17.23
166.36,0.21,1.51,9.05,34.27,94.0,21.8,17.73,32.85,-11.24,18.47
166.40,0.17,1.50,9.02,34.27,94.0,21.8,17.61,32.85,-16.24,20.97
166.44,0.08,1.52,9.03,34.27,94.0,21.8,17.85,32.85,-19.99,24.71
166.48,0.17,0.92,9.05,34.27,94.0,21.8,16.77,32.85,-24.99,25.95
166.52,0.11,-0.02,9.08,34.27,94.0,21.8,17.73,32.85,-28.74,27.20
