Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
570.53,0.18,0.37,9.23,38.68,94.0,21.8,17.73,39.62,2.95,3.65
570.57,0.16,0.37,9.25,38.68,94.0,21.8,17.73,39.62,1.70,3.65
570.53,0.18,0.37,9.23,38.68,94.0,21.8,17.73,39.62,2.95,3.65
570.57,0.16,0.37,9.25,38.68,94.0,21.8,17.73,39.62,1.70,3.65
256.85,0.21,1.10,8.98,38.69,94.0,21.9,17.61,36.14,-9.71,-27.12
256.89,0.07,1.30,9.01,38.69,94.0,21.9,17.61,36.39,-22.21,-17.15
256.93,0.10,1.62,8.91,38.69,94.0,21.9,17.85,35.89,-25.96,-15.90
256.97,0.11,0.32,8.83,38.69,94.0,21.9,17.61,37.69,-33.46,-17.15
257.01,0.20,-0.40,9.34,38.69,94.0,21.9,17.97,36.14,-37.21,-15.90
257.05,0.21,0.03,8.73,38.69,94.0,21.9,17.73,35.89,-40.96,-17.15
257.09,0.09,-1.10,9.24,38.69,94.0,21.9,18.09,36.14,-47.21,36.45
257.13,0.09,-2.21,9.25,38.69,94.0,21.9,17.85,35.89,-49.71,40.19
257.17,0.30,-2.74,9.22,38.69,94.0,21.9,17.61,35.65,-50.96,45.17
257.21,0.25,-1.98,9.27,38.69,94.0,21.9,17.85,35.65,-52.21,50.16
257.25,0.23,-2.32,9.33,38.69,94.0,21.9,17.61,35.40,-48.46,53.90
257.29,0.24,-1.91,9.14,38.69,94.0,21.9,17.73,35.89,-43.46,56.39
257.33,0.13,-1.81,9.26,38.69,94.0,21.9,18.92,35.65,-34.71,58.88
257.37,0.18,-2.01,9.21,38.69,94.0,21.9,17.61,35.89,-27.21,55.14
257.41,0.24,-1.74,9.20,38.69,94.0,21.9,17.73,35.89,-18.46,53.90
257.45,0.16,-1.57,9.19,38.69,94.0,21.9,17.73,35.65,-9.71,51.40
257.49,0.28,-1.31,9.17,38.69,94.0,21.9,17.37,35.65,-3.46,50.16
257.53,0.07,-1.10,9.21,38.69,94.0,21.9,17.61,35.89,2.79,48.91
257.57,0.16,-0.82,9.15,38.69,94.0,21.9,17.49,36.39,10.29,43.93
257.61,0.19,-0.63,9.11,38.69,94.0,21.9,18.45,35.89,16.54,38.94
257.65,0.14,-0.46,9.13,38.69,94.0,21.9,17.61,35.89,22.79,35.20
257.69,0.21,-0.09,8.97,38.69,94.0,21.9,17.61,36.90,26.54,32.71
257.73,0.17,0.29,9.02,38.69,94.0,21.9,17.85,34.68,32.79,25.23
257.77,0.11,1.11,9.05,38.69,94.0,21.9,17.61,35.65,37.79,19.00
257.81,0.11,1.50,9.05,38.69,94.0,21.9,17.01,36.14,42.79,12.76
257.85,0.10,2.17,9.01,38.69,94.0,21.9,18.68,35.65,46.54,5.29
257.89,0.13,3.01,9.00,38.69,94.0,21.9,19.39,35.89,47.79,-3.44
257.93,0.19,3.35,9.03,38.69,94.0,21.9,17.97,35.65,49.04,-12.17
257.97,0.18,3.86,9.02,38.69,94.0,21.9,17.73,35.89,44.04,-22.14
258.01,0.06,4.85,9.08,38.69,94.0,21.9,17.73,35.65,45.29,-30.86
258.05,0.03,4.46,9.09,38.69,94.0,21.9,17.85,35.65,44.04,-38.34
258.09,0.29,4.15,9.07,38.69,94.0,21.9,17.61,35.89,40.29,-48.31
258.13,0.10,4.89,9.05,38.69,94.0,21.9,17.61,35.89,36.54,-57.04
258.17,0.14,3.99,9.14,38.69,94.0,21.9,17.73,35.40,37.79,-62.02
258.21,0.15,3.52,9.06,38.69,94.0,21.9,17.85,35.89,30.29,-67.01
258.25,0.02,3.42,9.06,38.69,94.0,21.9,17.85,35.65,25.29,-70.75
258.29,0.18,3.32,9.02,38.69,94.0,21.9,17.73,35.89,21.54,-68.26
258.33,0.10,2.52,8.94,38.69,94.0,21.9,17.97,35.16,11.54,-55.79
258.37,0.18,1.44,8.97,38.69,94.0,21.9,17.73,35.65,6.54,-43.33
258.41,0.23,1.18,8.97,38.69,94.0,21.9,17.97,36.14,1.54,-42.08
258.45,0.04,1.44,9.00,38.69,94.0,21.9,17.73,35.65,-10.96,-43.33
258.49,0.29,-0.34,8.95,38.69,94.0,21.9,17.61,35.65,-17.21,-45.82
258.53,0.15,-0.21,8.78,38.69,94.0,21.9,17.61,35.65,-25.96,-42.08
258.57,0.25,-1.56,9.20,38.69,94.0,21.9,17.61,36.14,-34.71,-43.33
258.61,0.21,-0.12,8.94,38.69,94.0,21.9,17.73,35.65,-42.21,28.97
258.65,0.21,-0.78,9.07,38.69,94.0,21.9,17.85,36.39,-47.21,35.20
258.69,0.10,-1.56,9.25,38.69,94.0,21.9,20.90,36.14,-52.21,41.43
258.73,0.10,-2.26,9.03,38.69,94.0,21.9,17.85,36.14,-53.46,48.91
258.77,0.23,-1.58,9.23,38.69,94.0,21.9,17.61,35.65,-52.21,55.14
258.81,0.17,-1.78,9.13,38.69,94.0,21.9,13.57,35.89,-45.96,58.88
258.85,0.23,-2.11,9.27,38.69,94.0,21.9,17.37,35.65,-40.96,62.62
258.89,0.22,-1.65,9.23,38.69,94.0,21.9,17.73,35.89,-30.96,57.64
258.93,0.19,-1.93,9.25,38.69,94.0,21.9,17.73,35.89,-23.46,55.14
258.97,0.26,-1.89,9.19,38.69,94.0,21.9,17.61,36.39,-17.21,52.65
259.01,0.10,-1.50,9.21,38.69,94.0,21.9,17.73,36.14,-9.71,51.40
259.05,0.31,-1.40,9.16,38.69,94.0,21.9,17.85,35.89,0.29,48.91
259.09,0.17,-1.11,9.14,38.69,94.0,21.9,17.61,36.14,6.54,47.66
259.13,0.19,-0.90,9.14,38.69,94.0,21.9,17.97,35.89,15.29,42.68
259.17,0.25,-0.56,9.01,38.69,94.0,21.9,14.08,36.14,15.29,38.94
259.21,0.20,-0.32,9.03,38.69,94.0,21.9,17.61,36.14,24.04,33.95
259.25,0.17,0.01,9.01,38.69,94.0,21.9,17.73,35.65,29.04,32.71
259.29,0.24,0.68,9.00,38.69,94.0,21.9,17.73,35.89,34.04,25.23
259.33,0.16,1.24,9.02,38.69,94.0,21.9,17.85,35.89,40.29,20.24
259.37,0.17,1.76,8.95,38.69,94.0,21.9,17.73,35.89,42.79,11.52
259.41,0.13,2.42,9.04,38.69,94.0,21.9,18.21,35.65,46.54,2.79
259.45,0.11,2.88,9.06,38.69,94.0,21.9,17.73,35.40,47.79,-4.69
259.49,0.22,3.68,8.98,38.69,94.0,21.9,17.61,35.89,46.54,-13.41
259.53,0.13,3.88,9.09,38.69,94.0,21.9,17.73,35.40,42.79,-12.17
259.57,0.18,4.70,9.03,38.69,94.0,21.9,17.61,35.89,44.04,-13.41
259.61,0.05,4.55,9.11,38.69,94.0,21.9,17.73,36.14,41.54,-12.17
259.65,0.19,4.16,9.08,38.69,94.0,21.9,17.73,35.89,39.04,-13.41
259.69,0.05,4.86,9.04,38.69,94.0,21.9,17.61,36.14,36.54,-59.53
259.73,0.10,3.95,9.07,38.69,94.0,21.9,17.85,36.14,34.04,-64.52
259.77,0.14,3.48,9.10,38.69,94.0,21.9,17.49,36.14,29.04,-68.26
259.81,0.02,3.59,9.08,38.69,94.0,21.9,17.61,35.65,24.04,-72.00
259.85,0.12,3.43,8.95,38.69,94.0,21.9,17.73,35.89,17.79,-64.52
259.89,0.17,2.24,8.95,38.69,94.0,21.9,17.49,35.65,15.29,-64.52
259.93,0.16,1.29,8.99,38.69,94.0,21.9,17.01,35.65,5.29,-64.52
259.97,0.26,1.30,8.97,38.69,94.0,21.9,17.61,35.65,-4.71,-64.52
260.01,0.07,1.26,8.97,38.69,94.0,21.9,16.65,35.40,-10.96,-65.76
260.05,0.25,-0.73,9.08,38.69,94.0,21.9,17.73,35.89,-20.96,-62.02
260.09,0.34,-1.08,8.82,38.69,94.0,21.9,17.61,35.89,-30.96,7.78
260.13,0.12,-1.82,9.35,38.69,94.0,21.9,17.85,36.14,-39.71,19.00
260.17,0.21,-0.99,8.84,38.69,94.0,21.9,17.73,36.14,-44.71,27.72
260.21,0.28,-1.77,9.13,38.69,94.0,21.9,17.85,35.65,-48.46,36.45
260.25,0.31,-1.60,9.17,38.69,94.0,21.9,17.85,35.65,-53.46,45.17
260.29,0.17,-2.53,9.14,38.69,94.0,21.9,13.32,35.65,-50.96,51.40
260.33,0.20,-1.70,9.19,38.69,94.0,21.9,17.73,35.89,-50.96,55.14
260.37,0.15,-1.63,9.24,38.69,94.0,21.9,17.49,35.40,-43.46,58.88
260.41,0.17,-2.04,9.21,38.69,94.0,21.9,17.61,35.65,-39.71,57.64
260.45,0.22,-1.72,9.29,38.69,94.0,21.9,17.85,35.89,-29.71,56.39
260.49,0.22,-1.72,9.16,38.69,94.0,21.9,17.61,35.89,-20.96,55.14
260.53,0.26,-1.90,9.17,38.69,94.0,21.9,17.85,35.89,-14.71,53.90
260.57,0.14,-1.42,9.23,38.69,94.0,21.9,17.97,35.65,-8.46,51.40
260.61,0.23,-1.20,9.16,38.69,94.0,21.9,17.61,35.89,-2.21,47.66
260.65,0.27,-0.93,9.15,38.69,94.0,21.9,15.19,36.14,6.54,43.93
260.69,0.21,-0.55,9.12,38.69,94.0,21.9,17.49,36.14,12.79,41.43
260.73,0.17,-0.30,9.02,38.69,94.0,21.9,17.85,35.89,19.04,37.69
260.77,0.18,-0.27,9.08,38.69,94.0,21.9,17.37,35.89,25.29,32.71
260.81,0.15,0.15,9.10,38.69,94.0,21.9,17.73,35.65,32.79,30.21
260.85,0.17,0.78,8.96,38.69,94.0,21.9,17.61,36.14,35.29,23.98
