Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
235.80,0.09,1.24,9.08,26.69,93.0,22.0,17.61,39.05,10.20,22.36
235.85,0.10,1.28,9.13,26.69,93.0,22.0,17.85,38.77,8.95,23.61
235.88,0.15,2.39,9.02,26.69,93.0,22.0,17.85,39.05,3.95,26.10
235.93,0.15,2.24,9.11,26.69,93.0,22.0,17.73,38.77,0.20,23.61
235.97,0.25,2.36,9.01,26.69,93.0,22.0,17.85,39.05,-6.05,22.36
236.01,0.18,2.91,8.99,26.69,93.0,22.0,17.73,39.05,-11.05,23.61
236.05,0.04,3.07,9.02,26.69,93.0,22.0,17.61,39.33,-16.05,22.36
236.09,0.05,3.69,9.11,26.69,93.0,22.0,17.73,39.05,-16.05,23.61
236.13,0.12,3.88,9.04,26.69,93.0,22.0,17.73,39.05,-18.55,24.85
236.16,0.17,3.28,9.06,26.69,93.0,22.0,17.73,39.05,-22.30,26.10
236.21,0.14,3.32,9.06,26.69,93.0,22.0,16.89,38.77,-22.30,23.61
236.25,0.06,4.02,9.06,26.69,93.0,22.0,17.61,39.05,-26.05,24.85
236.29,0.09,3.52,9.08,26.69,93.0,22.0,17.61,39.33,-28.55,26.10
236.33,0.23,2.86,9.06,26.69,93.0,22.0,17.61,39.33,-31.05,24.85
236.37,0.12,2.77,9.07,26.69,93.0,22.0,18.56,39.33,-31.05,26.10
236.41,0.10,3.12,9.06,26.69,93.0,22.0,17.73,39.05,-32.30,23.61
236.45,0.11,3.22,9.03,26.69,93.0,22.0,17.61,39.33,-32.30,22.36
236.49,0.12,2.43,9.04,26.69,93.0,22.0,17.97,39.05,-32.30,22.36
236.53,0.22,1.71,9.00,26.69,93.0,22.0,17.49,39.05,-28.55,21.12
236.57,0.13,1.73,9.03,26.69,93.0,22.0,17.85,39.33,-24.80,21.12
236.61,0.11,2.21,9.00,26.69,93.0,22.0,17.73,39.05,-21.05,18.62
236.65,0.14,1.44,8.97,26.69,93.0,22.0,17.73,39.33,-17.30,16.13
236.69,0.22,0.74,9.05,26.69,93.0,22.0,17.73,38.77,-11.05,14.88
236.73,0.20,0.24,9.04,26.69,93.0,22.0,17.49,38.77,-8.55,9.90
236.77,0.10,1.16,9.06,26.69,93.0,22.0,17.85,38.77,-6.05,9.90
236.81,0.16,-0.39,9.19,26.69,93.0,22.0,17.73,39.33,-3.55,3.66
236.85,0.25,0.09,8.94,26.69,93.0,22.0,17.49,39.05,-3.55,2.42
236.89,0.24,-0.71,9.13,26.69,93.0,22.0,17.73,38.23,-2.30,-2.57
236.93,0.28,-0.54,9.11,26.69,93.0,22.0,17.73,38.77,-2.30,-5.06
236.97,0.25,-0.73,9.04,26.69,93.0,22.0,17.85,38.77,-2.30,-8.80
237.01,0.24,-0.83,9.21,26.69,93.0,22.0,17.37,39.05,-1.05,-7.55
237.05,0.12,-1.21,9.16,26.69,93.0,22.0,17.73,38.77,-1.05,-13.79
237.09,0.17,-1.44,9.15,26.69,93.0,22.0,18.33,39.33,1.45,-18.77
237.13,0.13,-1.23,9.26,26.69,93.0,22.0,17.01,38.77,3.95,-20.02
237.17,0.17,-1.32,9.17,26.69,93.0,22.0,17.73,39.05,5.20,-22.51
237.21,0.25,-1.25,9.28,26.69,93.0,22.0,17.13,38.77,6.45,-31.24
237.25,0.23,-1.39,9.25,26.69,93.0,22.0,17.73,39.05,10.20,-28.74
237.29,0.22,-1.56,9.20,26.69,93.0,22.0,17.85,38.77,13.95,-36.22
237.33,0.17,-1.24,9.28,26.69,93.0,22.0,17.61,39.33,13.95,-41.21
237.37,0.15,-1.04,9.26,26.69,93.0,22.0,17.85,38.77,18.95,-42.45
237.41,0.24,-1.49,9.23,26.69,93.0,22.0,17.73,39.05,20.20,-43.70
237.45,0.27,-1.26,9.27,26.69,93.0,22.0,17.73,38.77,25.20,-42.45
237.49,0.13,-1.18,9.22,26.69,93.0,22.0,17.85,38.77,23.95,-42.45
237.53,0.27,-1.14,9.19,26.69,93.0,22.0,17.61,39.05,27.70,-41.21
237.57,0.15,-0.59,9.18,26.69,93.0,22.0,17.13,39.05,30.20,-34.98
237.61,0.16,-0.55,9.26,26.69,93.0,22.0,17.61,38.50,28.95,-31.24
237.65,0.29,-0.54,9.17,26.69,93.0,22.0,17.73,38.77,28.95,-23.76
237.69,0.12,-2.52,9.17,26.69,93.0,22.0,17.85,38.77,28.95,-17.53
