Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
188.24,0.13,2.51,8.96,29.54,93.0,21.6,17.85,38.77,23.84,13.86
188.28,0.20,2.49,8.93,29.54,93.0,21.6,17.61,38.50,16.34,21.34
188.32,0.10,3.23,8.86,29.54,93.0,21.6,17.73,38.50,3.84,27.57
188.36,0.07,4.50,8.93,29.54,93.0,21.6,17.97,38.77,-1.16,31.31
188.40,0.01,4.76,9.04,29.54,93.0,21.6,17.61,37.96,-11.16,38.79
188.44,0.29,4.35,8.96,29.54,93.0,21.6,17.85,38.23,-13.66,40.04
188.48,0.24,4.39,9.04,29.54,93.0,21.6,17.73,38.50,-22.41,46.27
188.52,0.21,4.68,8.96,29.54,93.0,21.6,17.73,38.50,-27.41,50.01
188.56,0.12,5.06,8.98,29.54,93.0,21.6,17.85,38.23,-36.16,52.50
188.60,0.09,4.15,9.05,29.54,93.0,21.6,17.61,38.23,-41.16,52.50
188.64,0.20,3.28,8.99,29.54,93.0,21.6,17.73,38.23,-44.91,54.99
188.68,0.09,3.49,9.02,29.54,93.0,21.6,17.73,38.23,-49.91,54.99
188.72,0.12,4.38,8.95,29.54,93.0,21.6,17.61,38.23,-53.66,53.75
188.76,0.08,3.53,8.96,29.54,93.0,21.6,17.85,38.23,-58.66,51.25
188.80,0.17,2.20,8.90,29.54,93.0,21.6,17.73,37.96,-58.66,52.50
188.84,0.22,1.80,8.93,29.54,93.0,21.6,17.73,38.23,-63.66,48.76
188.88,0.11,2.47,8.98,29.54,93.0,21.6,17.61,38.23,-63.66,46.27
188.92,0.08,2.12,8.86,29.54,93.0,21.6,17.61,38.50,-61.16,45.02
188.96,0.17,0.99,8.92,29.54,93.0,21.6,17.85,37.96,-52.41,36.30
189.00,0.46,-1.06,8.97,29.54,93.0,21.6,17.37,38.50,-44.91,38.79
189.04,0.18,-0.02,9.18,29.54,93.0,21.6,17.73,38.50,-37.41,31.31
189.08,0.29,0.17,8.82,29.54,93.0,21.6,17.73,38.50,-31.16,28.82
189.12,0.23,-0.78,9.05,29.54,93.0,21.6,17.61,38.50,-23.66,23.83
189.16,0.17,-1.53,8.95,29.54,93.0,21.6,17.49,38.23,-17.41,21.34
189.20,0.12,-1.42,9.13,29.54,93.0,21.6,17.73,38.23,-11.16,17.60
189.24,0.19,-1.23,9.08,29.54,93.0,21.6,17.49,38.50,-3.66,11.37
189.28,0.27,-2.09,9.07,29.54,93.0,21.6,17.85,37.96,3.84,8.88
189.32,0.41,-2.83,9.13,29.54,93.0,21.6,17.73,38.23,12.59,3.89
189.36,0.27,-2.00,9.18,29.54,93.0,21.6,17.85,38.23,20.09,-1.10
189.40,0.16,-1.97,9.16,29.54,93.0,21.6,17.61,38.23,23.84,-4.84
189.44,0.21,-1.75,9.23,29.54,93.0,21.6,17.61,38.50,25.09,-12.31
189.48,0.13,-1.87,9.27,29.54,93.0,21.6,17.85,38.23,25.09,-18.55
189.52,0.23,-2.28,9.23,29.54,93.0,21.6,17.61,38.50,25.09,-24.78
189.56,0.17,-1.81,9.26,29.54,93.0,21.6,17.85,38.50,25.09,-31.01
189.60,0.19,-1.45,9.16,29.54,93.0,21.6,17.61,38.23,26.34,-37.24
189.64,0.28,-1.46,9.17,29.54,93.0,21.6,17.73,37.96,28.84,-44.72
189.68,0.13,-1.80,9.25,29.54,93.0,21.6,17.73,38.23,32.59,-48.46
189.72,0.26,-1.44,9.16,29.54,93.0,21.6,17.61,38.50,41.34,-54.69
189.76,0.19,-1.24,9.14,29.54,93.0,21.6,17.85,38.23,45.09,-57.19
189.80,0.13,-1.14,9.17,29.54,93.0,21.6,17.61,38.23,50.09,-59.68
189.84,0.23,-0.92,9.15,29.54,93.0,21.6,17.61,38.23,53.84,-57.19
189.88,0.22,-0.81,9.10,29.54,93.0,21.6,17.73,38.50,56.34,-57.19
189.92,0.19,-0.84,9.11,29.54,93.0,21.6,17.73,37.96,53.84,-54.69
189.96,0.23,-0.38,9.06,29.54,93.0,21.6,17.73,38.50,52.59,-48.46
190.00,0.13,-0.26,9.06,29.54,93.0,21.6,17.61,37.69,52.59,-44.72
190.04,0.16,-0.15,9.04,29.54,93.0,21.6,17.61,38.50,48.84,-40.98
190.08,0.22,0.29,8.97,29.54,93.0,21.6,17.73,37.96,46.34,-33.50
190.12,0.18,0.64,8.96,29.54,93.0,21.6,17.49,38.50,42.59,-22.29
190.16,0.13,0.93,8.94,29.54,93.0,21.6,17.73,38.23,41.34,-14.81
190.20,0.06,1.76,8.91,29.54,93.0,21.6,17.61,38.23,35.09,-7.33
190.24,0.11,1.95,8.94,29.54,93.0,21.6,17.61,38.50,31.34,0.15
190.28,0.20,2.42,8.90,29.54,93.0,21.6,17.73,37.96,26.34,7.63
190.32,0.29,2.53,8.84,29.54,93.0,21.6,17.73,37.96,22.59,17.60
190.36,0.09,3.51,8.89,29.54,93.0,21.6,17.85,38.50,12.59,23.83
190.40,0.05,4.70,9.00,29.54,93.0,21.6,17.61,38.23,8.84,31.31
190.44,0.00,4.93,9.05,29.54,93.0,21.6,17.73,38.23,-2.41,36.30
190.48,0.15,4.11,9.04,29.54,93.0,21.6,17.97,38.23,-7.41,42.53
190.52,0.17,4.61,8.96,29.54,93.0,21.6,17.13,38.23,-16.16,43.78
190.56,0.15,5.00,8.94,29.54,93.0,21.6,17.85,38.23,-23.66,47.52
190.60,0.13,4.88,8.98,29.54,93.0,21.6,17.49,37.96,-28.66,50.01
190.64,0.19,3.94,9.05,29.54,93.0,21.6,17.61,38.50,-34.91,52.50
190.68,0.16,3.24,9.02,29.54,93.0,21.6,17.97,37.96,-41.16,52.50
190.72,0.07,3.77,9.00,29.54,93.0,21.6,17.61,38.23,-46.16,56.24
190.76,0.13,4.18,8.94,29.54,93.0,21.6,17.73,38.23,-51.16,53.75
190.80,0.14,3.27,8.87,29.54,93.0,21.6,17.49,38.50,-54.91,53.75
190.84,0.28,1.79,8.88,29.54,93.0,21.6,17.61,38.50,-59.91,50.01
190.88,0.16,1.81,8.96,29.54,93.0,21.6,17.61,38.50,-62.41,48.76
190.92,0.05,2.71,8.93,29.54,93.0,21.6,17.61,37.96,-62.41,46.27
190.96,0.15,1.69,8.87,29.54,93.0,21.6,17.73,37.96,-54.91,42.53
191.00,0.20,0.39,8.92,29.54,93.0,21.6,17.61,38.23,-47.41,37.54
191.04,0.34,-0.62,8.99,29.54,93.0,21.6,17.49,38.23,-41.16,33.80
191.08,0.23,0.07,9.01,29.54,93.0,21.6,17.61,37.96,-37.41,31.31
191.12,0.32,-0.47,9.02,29.54,93.0,21.6,17.61,38.23,-31.16,26.33
191.16,0.34,-0.95,9.04,29.54,93.0,21.6,17.85,38.23,-24.91,23.83
191.20,0.27,-1.62,9.04,29.54,93.0,21.6,17.97,37.96,-18.66,17.60
191.24,0.14,-1.19,9.02,29.54,93.0,21.6,17.73,37.96,-11.16,13.86
191.28,0.07,-1.48,9.21,29.54,93.0,21.6,17.85,38.23,0.09,11.37
191.32,0.11,-1.99,9.18,29.54,93.0,21.6,17.49,38.50,8.84,7.63
191.36,0.27,-3.26,9.18,29.54,93.0,21.6,17.97,37.96,16.34,2.64
191.40,0.30,-1.80,9.21,29.54,93.0,21.6,17.73,37.96,20.09,-1.10
191.44,0.15,-1.76,9.22,29.54,93.0,21.6,17.61,38.50,23.84,-3.59
191.48,0.19,-2.01,9.31,29.54,93.0,21.6,17.73,38.50,25.09,-11.07
191.52,0.23,-1.94,9.16,29.54,93.0,21.6,17.73,38.23,23.84,-18.55
191.56,0.16,-1.98,9.27,29.54,93.0,21.6,17.73,37.96,22.59,-27.27
191.60,0.22,-1.89,9.23,29.54,93.0,21.6,17.61,38.50,23.84,-32.26
191.64,0.21,-1.48,9.18,29.54,93.0,21.6,17.73,38.50,27.59,-40.98
191.68,0.23,-1.52,9.19,29.54,93.0,21.6,17.73,38.50,32.59,-43.48
191.72,0.17,-1.67,9.25,29.54,93.0,21.6,17.61,38.23,37.59,-50.96
191.76,0.24,-1.57,9.14,29.54,93.0,21.6,17.37,38.23,42.59,-55.94
191.80,0.24,-1.18,9.16,29.54,93.0,21.6,17.73,38.23,47.59,-57.19
191.84,0.16,-1.01,9.13,29.54,93.0,21.6,17.61,38.50,51.34,-58.43
191.88,0.18,-0.82,9.13,29.54,93.0,21.6,17.61,38.50,55.09,-57.19
191.92,0.23,-0.83,9.13,29.54,93.0,21.6,17.61,37.96,55.09,-58.43
191.96,0.15,-0.60,9.07,29.54,93.0,21.6,17.73,38.23,53.84,-57.19
192.00,0.25,-0.27,9.03,29.54,93.0,21.6,17.73,38.23,48.84,-53.45
192.04,0.18,-0.07,9.04,29.54,93.0,21.6,17.73,37.96,50.09,-48.46
192.08,0.13,0.12,8.96,29.54,93.0,21.6,17.97,38.23,47.59,-38.49
192.12,0.24,0.17,8.99,29.54,93.0,21.6,17.61,38.23,42.59,-29.77
192.16,0.16,0.74,8.96,29.54,93.0,21.6,17.85,38.23,41.34,-18.55
192.20,0.19,1.15,8.94,29.54,93.0,21.6,17.73,38.23,38.84,-9.82
192.24,0.06,1.81,8.99,29.54,93.0,21.6,17.61,38.50,35.09,-1.10
192.28,0.11,1.92,8.91,29.54,93.0,21.6,17.49,38.50,28.84,10.12
192.32,0.20,2.21,8.95,29.54,93.0,21.6,17.73,38.23,27.59,8.88
192.36,0.30,2.54,8.88,29.54,93.0,21.6,17.85,37.96,18.84,17.60
192.40,0.18,3.89,8.94,29.54,93.0,21.6,17.73,37.69,13.84,26.33
192.44,0.08,4.94,9.06,29.54,93.0,21.6,17.73,38.23,5.09,32.56
192.48,0.04,4.70,9.00,29.54,93.0,21.6,20.44,38.23,-1.16,37.54
192.52,0.03,4.18,9.03,29.54,93.0,21.6,17.61,38.23,-11.16,41.28
192.56,0.09,4.68,8.98,29.54,93.0,21.6,17.85,38.23,-16.16,45.02
192.60,0.08,5.17,9.02,29.54,93.0,21.6,17.61,37.96,-22.41,47.52
192.64,0.08,4.78,9.02,29.54,93.0,21.6,17.73,38.23,-31.16,48.76
192.68,0.34,3.70,8.96,29.54,93.0,21.6,17.97,37.96,-36.16,53.75
192.72,0.09,3.61,9.01,29.54,93.0,21.6,17.61,37.96,-42.41,56.24
192.76,0.02,3.75,9.04,29.54,93.0,21.6,17.73,38.23,-48.66,56.24
192.80,0.10,4.19,8.95,29.54,93.0,21.6,17.73,38.23,-53.66,54.99
192.84,0.13,2.76,8.92,29.54,93.0,21.6,17.49,37.96,-57.41,52.50
192.88,0.27,1.51,8.92,29.54,93.0,21.6,17.85,38.50,-61.16,50.01
192.92,0.17,2.01,8.92,29.54,93.0,21.6,17.61,37.96,-63.66,48.76
192.96,0.07,2.66,8.94,29.54,93.0,21.6,17.73,38.50,-57.41,47.52
193.00,0.17,1.17,8.96,29.54,93.0,21.6,17.61,38.23,-52.41,41.28
193.04,0.21,0.57,8.97,29.54,93.0,21.6,17.73,38.50,-47.41,37.54
