Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
212.02,0.22,-0.15,9.07,21.42,95.0,23.3,19.74,43.61,,
212.07,0.18,-0.48,8.94,21.42,95.0,23.3,19.15,43.61,,
212.11,0.02,0.36,8.84,21.42,95.0,23.3,19.27,41.38,-7.61,-42.82333333333333
212.15,-0.36,-0.31,8.99,21.42,95.0,23.3,18.45,43.94,-7.2,-41.21333333333334
212.19,0.49,0.38,8.87,21.42,95.0,23.3,19.62,43.94,-4.756666666666667,-38.79666666666667
212.23,0.29,0.54,9.0,21.42,95.0,23.3,19.74,42.0,-3.126666666666667,-38.79666666666667
212.27,0.2,0.86,9.15,21.42,95.0,23.3,19.62,43.94,-0.6833333333333332,-36.38
212.3,-0.54,1.64,8.82,21.42,95.0,23.3,18.33,42.96,4.206666666666666,-36.78333333333333
212.35,-0.17,1.83,9.61,21.42,95.0,23.3,18.92,43.94,9.909999999999998,-36.38
212.38,0.61,2.11,9.38,21.42,95.0,23.3,18.45,43.94,15.206666666666665,-35.98
212.43,-0.26,2.66,9.46,21.42,95.0,23.3,19.74,40.78,19.28,-34.77
212.47,0.64,2.93,9.05,21.42,95.0,23.3,20.09,42.0,21.723333333333333,-31.546666666666663
212.51,0.15,3.25,8.88,21.42,95.0,23.3,19.51,42.0,27.02,-30.33666666666667
212.55,0.14,2.87,8.82,21.42,95.0,23.3,19.62,43.61,30.686666666666667,-26.313333333333333
212.59,0.41,2.72,9.02,21.42,95.0,23.3,19.86,43.94,35.983333333333334,-22.290000000000003
212.63,0.21,2.63,9.18,21.42,95.0,23.3,19.04,43.94,38.02,-17.05666666666667
212.66,0.25,2.74,9.14,21.42,95.0,23.3,19.86,40.78,41.27666666666667,-14.64
212.71,0.17,1.84,9.75,21.42,95.0,23.3,19.39,43.61,42.49666666666667,-13.03
212.75,0.3,2.44,9.42,21.42,95.0,23.3,19.39,42.32,44.94,-9.406666666666666
212.79,0.43,2.77,8.85,21.42,95.0,23.3,19.39,41.08,45.349999999999994,-6.186666666666667
212.83,0.16,2.66,9.31,21.42,95.0,23.3,21.36,40.78,47.38666666666666,-1.3533333333333335
212.87,0.08,1.69,9.41,21.42,95.0,23.3,18.92,42.32,49.830000000000005,0.2566666666666664
212.91,0.25,0.8,9.1,21.42,95.0,23.3,18.68,42.96,52.27333333333334,2.6733333333333333
212.95,0.21,1.07,9.38,21.42,95.0,23.3,18.92,43.94,51.86666666666667,4.6866666666666665
212.99,0.36,1.78,9.43,21.42,95.0,23.3,19.27,42.32,51.86666666666667,9.516666666666667
213.02,0.42,1.56,9.24,21.42,95.0,23.3,19.51,42.96,52.27333333333333,15.96
213.07,0.45,0.93,8.98,21.42,95.0,23.3,19.74,40.78,53.903333333333336,19.18
213.11,0.03,0.38,9.19,21.42,95.0,23.3,19.27,41.69,51.866666666666674,22.80666666666667
213.15,0.02,0.16,9.34,21.42,95.0,23.3,19.15,43.94,49.830000000000005,24.820000000000004
213.19,0.05,0.9,9.16,21.42,95.0,23.3,19.39,43.61,47.38666666666668,29.25
213.23,0.3,0.42,9.14,21.42,95.0,23.3,18.92,42.32,43.72,32.873333333333335
213.27,0.28,0.07,9.07,21.42,95.0,23.3,19.39,42.96,36.79333333333334,37.300000000000004
213.3,0.15,-0.17,8.8,21.42,95.0,23.3,19.27,42.0,28.236666666666668,41.32333333333333
213.35,0.22,-0.82,9.23,21.42,95.0,23.3,19.39,42.0,22.939999999999998,42.93333333333334
213.38,0.25,-0.29,8.99,21.42,95.0,23.3,18.92,42.63,17.646666666666665,43.74
213.43,0.29,-0.55,9.08,21.42,95.0,23.3,19.51,41.69,13.166666666666664,43.74
213.47,0.27,-0.72,9.06,21.42,95.0,23.3,19.51,40.78,5.02,43.74
213.51,0.2,-1.2,9.0,21.42,95.0,23.3,20.09,42.0,-3.1300000000000003,43.74
213.55,0.23,-1.4,8.96,21.42,95.0,23.3,19.97,40.78,-10.87,44.546666666666674
213.59,0.08,-1.56,9.01,21.42,95.0,23.3,18.92,42.63,-16.166666666666668,43.74000000000001
213.63,0.28,-1.57,8.95,21.42,95.0,23.3,19.51,40.49,-21.053333333333335,42.53
213.66,0.3,-1.52,8.86,21.42,95.0,23.3,19.15,42.0,-27.163333333333338,40.51666666666667
213.71,0.32,-2.49,9.45,21.42,95.0,23.3,19.27,42.32,-31.236666666666665,40.92
213.75,0.24,-2.23,8.94,21.42,95.0,23.3,19.04,41.69,-35.72,40.52
213.79,0.16,-2.58,9.0,21.42,95.0,23.3,19.86,43.94,-38.57333333333333,41.32666666666666
213.83,0.39,-2.51,8.66,21.42,95.0,23.3,19.39,42.63,-40.61000000000001,38.910000000000004
213.87,0.37,-2.61,8.92,21.42,95.0,23.3,19.39,41.69,-41.42333333333334,36.089999999999996
213.91,0.26,-2.66,9.05,21.42,95.0,23.3,19.74,40.49,-41.83,30.453333333333337
