Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
126.59,0.36,-1.74,8.97,22.23,95.0,23.7,19.74,44.97,,
160.2,0.19,1.13,9.42,22.24,95.0,23.7,20.09,46.04,,
160.24,0.37,0.99,9.46,22.24,95.0,23.7,20.44,43.28,,
160.28,0.15,1.24,9.09,22.24,95.0,23.7,20.56,44.62,,
160.32,-0.16,0.68,9.31,22.24,95.0,23.7,20.79,45.68,-12.652000000000001,-2.572
160.36,0.15,0.64,9.4,22.24,95.0,23.7,20.9,44.28,-23.162,-8.37
160.4,0.5,0.42,9.55,22.24,95.0,23.7,20.67,44.97,-20.716,-11.026
160.44,0.13,0.98,9.18,22.24,95.0,23.7,20.9,44.28,-19.982,-12.475999999999999
160.48,0.02,0.98,8.49,22.24,95.0,23.7,19.39,42.96,-18.759999999999998,-15.133999999999997
160.52,0.15,0.2,9.26,22.24,95.0,23.7,20.56,43.28,-17.782,-18.276
160.56,0.23,0.24,9.06,22.24,95.0,23.7,19.62,45.32,-16.07,-19.726
160.6,0.13,-0.6,9.3,22.24,95.0,23.7,19.62,44.97,-15.581999999999999,-20.21
160.64,0.02,-0.76,8.99,22.24,95.0,23.7,20.21,44.28,-14.36,-21.658
160.68,0.29,-0.69,9.2,22.24,95.0,23.7,19.39,44.97,-13.626,-23.589999999999996
160.72,0.21,-0.9,9.05,22.24,95.0,23.7,20.09,45.32,-11.426,-25.522
160.76,0.24,-0.69,9.07,22.24,95.0,23.7,20.56,44.62,-8.494,-27.453999999999997
160.8,0.17,-1.04,9.09,22.24,95.0,23.7,19.86,45.32,-7.0280000000000005,-30.110000000000003
160.84,0.53,-1.19,9.31,22.24,95.0,23.7,19.97,42.96,-5.316000000000001,-32.284
160.88,0.72,-1.87,9.76,22.24,95.0,23.7,19.86,45.32,-3.6059999999999994,-32.284
160.92,0.63,-1.99,9.09,22.24,95.0,23.7,19.86,44.62,-1.652,-32.766
160.96,0.38,-1.96,9.24,22.24,95.0,23.7,20.44,44.97,-1.162,-31.8
161.0,0.28,-1.85,9.12,22.24,95.0,23.7,20.44,44.28,2.5040000000000004,-31.318
