Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
152.58,0.38,-1.75,9.05,22.42,95.0,24.0,20.90,24.84,19.77,-4.66
152.62,0.37,-1.68,9.18,22.42,95.0,24.0,19.62,24.84,18.55,-1.04
152.66,0.35,-1.81,9.13,22.42,95.0,24.0,20.32,24.84,18.55,0.17
152.70,0.20,-1.79,9.22,22.42,95.0,24.0,19.86,25.34,18.55,1.38
152.74,0.19,-1.63,9.10,22.42,95.0,24.0,20.32,24.84,19.77,2.58
152.78,0.30,-1.53,9.31,22.42,95.0,24.0,19.51,25.17,18.55,5.00
152.82,0.64,-1.61,9.12,22.42,95.0,24.0,19.39,25.34,17.33,8.62
152.86,0.46,-1.63,9.33,22.42,95.0,24.0,20.44,25.17,14.89,9.83
152.90,0.51,-1.66,9.39,22.42,95.0,24.0,19.62,25.34,13.66,13.45
152.94,0.67,-1.24,9.04,22.42,95.0,24.0,19.86,24.84,13.66,15.87
152.98,0.57,-1.54,9.38,22.42,95.0,24.0,20.32,25.34,12.44,15.87
153.02,0.43,-1.39,9.19,22.42,95.0,24.0,18.45,24.84,12.44,19.49
153.06,0.26,-1.24,9.20,22.42,95.0,24.0,20.56,25.17,12.44,18.29
153.10,0.25,-1.02,9.11,22.42,95.0,24.0,19.62,25.01,10.00,21.91
153.14,0.35,-0.71,9.22,22.42,95.0,24.0,20.79,25.01,7.55,21.91
153.18,0.30,-0.88,9.30,22.42,95.0,24.0,20.21,25.34,8.77,21.91
153.22,0.35,-0.67,9.24,22.42,95.0,24.0,20.21,25.17,7.55,23.12
153.26,0.10,-0.58,9.12,22.42,95.0,24.0,19.51,25.34,6.33,21.91
153.30,0.08,-0.50,9.11,22.42,95.0,24.0,19.74,25.01,3.89,21.91
153.34,0.25,-0.20,9.12,22.42,95.0,24.0,20.09,25.34,5.11,20.70
153.38,0.14,-0.01,9.17,22.42,95.0,24.0,19.04,25.01,2.66,21.91
153.42,0.17,-0.00,9.25,22.42,95.0,24.0,20.67,24.84,1.44,21.91
153.46,0.19,-0.03,9.10,22.42,95.0,24.0,19.51,25.01,1.44,20.70
153.50,0.07,0.02,9.13,22.42,95.0,24.0,20.32,25.01,0.22,19.49
153.54,-0.11,0.13,9.20,22.42,95.0,24.0,20.32,24.51,-2.22,20.70
153.58,-0.53,0.48,8.97,22.42,95.0,24.0,19.74,25.17,-3.45,18.29
153.62,-0.06,0.14,9.28,22.42,95.0,24.0,20.56,25.17,-3.45,17.08
153.66,-0.00,0.58,8.94,22.42,95.0,24.0,20.09,25.17,-5.89,14.66
153.70,-0.17,0.43,9.17,22.42,95.0,24.0,19.74,25.01,-5.89,13.45
153.74,-0.29,0.35,9.02,22.42,95.0,24.0,19.86,25.01,-9.56,13.45
153.78,-0.14,0.52,8.96,22.42,95.0,24.0,20.32,25.34,-12.00,11.04
153.82,0.19,0.47,9.39,22.42,95.0,24.0,20.32,25.17,-12.00,9.83
153.86,0.27,0.45,9.37,22.42,95.0,24.0,19.97,25.01,-14.45,7.42
153.90,0.15,0.55,9.22,22.42,95.0,24.0,19.74,25.01,-14.45,7.42
153.94,0.30,0.41,9.30,22.42,95.0,24.0,20.21,25.01,-15.67,3.79
153.98,0.41,0.15,9.35,22.42,95.0,24.0,20.21,25.01,-15.67,1.38
154.02,0.47,0.25,9.42,22.42,95.0,24.0,20.79,24.84,-16.89,1.38
154.06,0.36,0.75,9.16,22.42,95.0,24.0,20.44,24.84,-19.33,-2.25
154.10,0.22,0.72,9.14,22.42,95.0,24.0,19.62,24.35,-20.56,-2.25
154.14,0.29,0.07,9.39,22.42,95.0,24.0,20.21,24.84,-18.11,-3.45
154.18,0.24,0.34,9.16,22.42,95.0,24.0,19.86,24.67,-18.11,-7.08
154.22,0.36,-0.20,9.55,22.42,95.0,24.0,20.21,24.84,-19.33,-7.08
154.26,0.27,0.42,9.12,22.42,95.0,24.0,19.74,24.84,-18.11,-7.08
154.30,0.30,-0.03,9.45,22.42,95.0,24.0,19.27,24.51,-18.11,-10.70
154.34,0.39,-0.48,9.59,22.42,95.0,24.0,20.56,25.01,-15.67,-11.91
