Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
91.25,0.29,-0.77,9.17,29.88,95.0,24.0,20.44,28.18,-29.65,25.05
91.29,0.25,-0.73,9.15,29.88,95.0,24.0,19.86,28.18,-29.65,25.05
91.33,0.32,-0.79,9.20,29.88,95.0,24.0,20.21,28.18,-27.20,23.84
91.37,0.34,-1.09,9.16,29.88,95.0,24.0,20.67,27.99,-23.54,22.63
91.41,0.40,-1.34,9.40,29.88,95.0,24.0,19.97,28.18,-21.09,23.84
91.45,0.24,-1.34,8.96,29.88,95.0,24.0,20.09,28.18,-17.43,19.01
91.49,0.34,-1.69,9.34,29.88,95.0,24.0,19.86,28.18,-11.32,14.18
91.53,0.21,-1.28,9.08,29.88,95.0,24.0,19.74,27.99,-8.87,10.56
91.57,0.15,-1.68,9.10,29.88,95.0,24.0,19.86,27.81,-3.98,5.72
91.61,0.14,-1.94,9.10,29.88,95.0,24.0,19.86,27.99,-2.76,2.10
91.65,0.13,-2.43,9.12,29.88,95.0,24.0,20.44,27.99,3.35,-1.52
91.69,0.18,-2.33,9.14,29.88,95.0,24.0,19.97,27.62,5.79,-3.94
91.73,0.26,-1.92,9.27,29.88,95.0,24.0,19.62,27.81,9.46,-9.98
91.77,0.40,-1.99,9.22,29.88,95.0,24.0,20.44,27.81,11.90,-18.43
91.81,0.35,-2.00,9.24,29.88,95.0,24.0,20.21,27.81,16.79,-20.85
91.85,0.08,-1.76,9.11,29.88,95.0,24.0,20.21,27.81,18.01,-25.68
91.89,0.16,-2.21,9.35,29.88,95.0,24.0,20.67,27.81,26.57,-28.09
91.93,-0.07,-2.33,8.88,29.88,95.0,24.0,19.86,27.99,31.46,-34.13
91.97,0.29,-1.78,9.09,29.88,95.0,24.0,19.62,27.62,33.90,-35.34
92.01,0.69,-1.21,9.18,29.88,95.0,24.0,19.39,28.18,38.79,-38.96
92.05,0.43,-1.81,9.62,29.88,95.0,24.0,20.09,27.62,42.46,-38.96
92.09,0.49,-1.17,9.52,29.88,95.0,24.0,20.56,27.81,41.24,-40.17
92.13,0.25,-1.42,9.07,29.88,95.0,24.0,19.62,27.81,42.46,-36.55
92.17,0.78,-1.31,9.20,29.88,95.0,24.0,20.09,27.81,41.24,-34.13
92.21,0.56,-0.34,9.37,29.88,95.0,24.0,19.97,27.81,41.24,-31.72
92.25,0.33,0.10,9.11,29.88,95.0,24.0,20.56,27.26,37.57,-26.89
92.29,0.46,-0.07,9.28,29.88,95.0,24.0,19.97,27.81,37.57,-19.64
92.33,0.26,-0.23,9.16,29.88,95.0,24.0,19.97,27.81,32.68,-16.02
92.37,0.49,-0.25,9.25,29.88,95.0,24.0,20.56,27.44,29.01,-11.18
92.41,0.29,0.26,9.19,29.88,95.0,24.0,19.51,27.62,25.35,-9.98
92.45,0.02,0.55,9.05,29.88,95.0,24.0,20.21,27.62,22.90,-3.94
92.49,0.24,0.98,9.11,29.88,95.0,24.0,20.44,27.81,18.01,-0.31
92.53,0.22,0.94,9.28,29.88,95.0,24.0,20.32,27.62,14.35,2.10
92.57,0.36,0.63,9.32,29.88,95.0,24.0,20.67,27.62,11.90,4.52
92.61,0.34,0.99,9.11,29.88,95.0,24.0,19.39,27.44,5.79,9.35
92.65,0.23,0.88,9.28,29.88,95.0,24.0,19.97,27.62,0.90,11.76
92.69,0.23,0.63,9.48,29.88,95.0,24.0,19.27,27.62,-0.32,14.18
92.73,0.20,1.30,9.15,29.88,95.0,24.0,19.04,27.62,-5.21,16.60
92.77,0.29,0.72,9.32,29.88,95.0,24.0,19.74,27.81,-11.32,19.01
92.81,0.23,0.87,9.14,29.88,95.0,24.0,20.09,27.26,-16.21,21.43
92.85,0.29,0.57,9.28,29.88,95.0,24.0,20.09,27.81,-19.87,23.84
92.89,0.30,0.94,9.38,29.88,95.0,24.0,20.21,27.26,-24.76,26.26
92.93,0.20,0.82,9.03,29.88,95.0,24.0,19.62,27.62,-25.98,27.47
92.97,0.15,0.72,9.02,29.88,95.0,24.0,20.09,27.44,-28.43,28.67
93.01,0.40,0.19,9.32,29.88,95.0,24.0,19.74,27.81,-28.43,28.67
