Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
235.48,-69.87,4.92,4.24,0.00,95.0,23.4,-273.15,-88.75,3.43,-0.22
235.52,0.00,1.35,-35.42,0.00,95.0,23.4,-72.30,-273.15,-0.34,-2.67
235.56,81.52,0.13,20.92,0.00,95.0,23.4,-273.15,-88.75,-1.60,2.23
235.60,0.00,0.12,-35.42,0.00,95.0,23.4,-72.30,-273.15,0.92,2.23
235.64,0.92,0.01,-145.87,0.00,95.0,23.4,-72.30,-273.15,-0.34,-1.45
235.68,0.00,0.02,78.53,0.00,95.0,23.4,-72.30,-273.15,-0.34,-1.45
235.72,81.52,0.13,33.17,0.00,95.0,23.4,-72.30,-273.15,-2.85,-0.22
235.76,0.00,2.58,-35.47,0.00,95.0,23.4,-273.15,-273.15,0.92,1.01
235.80,0.56,-126.26,2.53,0.00,95.0,23.4,-273.15,-88.75,-1.60,2.23
235.84,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-88.75,-1.60,1.01
235.88,0.56,-126.26,3.23,0.00,95.0,23.4,-273.15,-88.75,2.17,-0.22
235.92,0.00,2.58,-35.47,0.00,95.0,23.4,-72.30,-273.15,-1.60,-0.22
235.96,0.00,1.35,-35.42,0.00,95.0,23.4,-273.15,-88.75,2.17,-1.45
236.00,0.00,1.35,-35.47,0.00,95.0,23.4,-273.15,-88.75,3.43,-0.22
236.04,0.00,2.58,-35.47,0.00,95.0,23.4,-72.30,-273.15,3.43,2.23
236.08,0.00,0.01,-145.80,0.00,95.0,23.4,-273.15,-273.15,3.43,-0.22
236.12,0.00,1.35,-35.47,0.00,95.0,23.4,-72.30,-88.75,3.43,2.23
236.16,0.00,0.12,-35.47,0.00,95.0,23.4,-72.30,-273.15,3.43,1.01
236.20,4.29,0.12,-35.47,0.00,95.0,23.4,-273.15,-94.76,-1.60,-0.22
236.24,0.00,93.78,0.08,0.00,95.0,23.4,-273.15,-88.75,-1.60,-2.67
236.28,0.00,39.35,-35.42,0.00,95.0,23.4,-273.15,-88.75,-1.60,3.46
236.32,0.00,0.12,20.57,0.00,95.0,23.4,-72.30,-273.15,2.17,-1.45
236.36,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,-0.34,-1.45
236.40,79.07,0.13,62.59,0.00,95.0,23.4,-80.14,-273.15,3.43,1.01
236.44,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-88.75,-1.60,1.01
236.48,0.00,2.58,-35.42,0.00,95.0,23.4,-273.15,-88.75,-2.85,-0.22
236.52,0.13,125.16,-35.42,0.00,95.0,23.4,-273.15,-88.75,-0.34,-0.22
236.56,0.47,-126.26,2.53,0.00,95.0,23.4,-273.15,-88.75,3.43,2.23
236.60,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,3.43,2.23
236.64,-147.09,12.26,2.53,0.00,95.0,23.4,-273.15,-273.15,3.43,3.46
236.68,0.00,0.12,-35.42,0.00,95.0,23.4,-273.15,-273.15,0.92,2.23
236.72,-145.87,1.23,16.01,0.00,95.0,23.4,-80.14,-273.15,-0.34,-0.22
236.76,0.56,-126.26,3.23,0.00,95.0,23.4,-273.15,-273.15,0.92,-1.45
236.80,1.27,0.01,0.08,0.00,95.0,23.4,-273.15,-88.75,3.43,2.23
236.84,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,-0.34,-2.67
236.88,0.00,1.35,-35.47,0.00,95.0,23.4,-72.30,-273.15,3.43,-0.22
236.92,0.00,1.35,-35.47,0.00,95.0,23.4,-72.30,-273.15,-1.60,1.01
236.96,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,-1.60,1.01
237.00,0.56,-126.26,3.21,0.00,95.0,23.4,-72.30,-273.15,-0.34,-2.67
237.04,0.13,141.10,-35.47,0.00,95.0,23.4,-273.15,-273.15,0.92,3.46
237.08,0.00,0.12,-35.47,0.00,95.0,23.4,-72.30,-273.15,0.92,-1.45
237.12,79.07,0.13,34.40,0.00,95.0,23.4,-273.15,-88.75,-2.85,-0.22
237.16,0.13,131.29,-35.47,0.00,95.0,23.4,-72.30,-273.15,-0.34,-2.67
237.20,0.46,-126.26,3.33,0.00,95.0,23.4,-72.30,-273.15,-0.34,-2.67
237.24,0.00,39.35,-35.42,0.00,95.0,23.4,-273.15,-88.75,2.17,-0.22
237.28,0.00,1.35,-35.47,0.00,95.0,23.4,-273.15,-88.75,3.43,2.23
237.32,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,3.43,-0.22
237.36,0.01,-147.09,115.30,0.00,95.0,23.4,-72.30,-273.15,3.43,1.01
237.40,0.00,0.08,-69.87,0.00,95.0,23.4,-273.15,-273.15,3.43,-1.45
237.44,0.56,-126.26,3.38,0.00,95.0,23.4,-273.15,-273.15,3.43,-0.22
237.48,0.46,-126.26,2.53,0.00,95.0,23.4,-273.15,-273.15,-0.34,-2.67
237.52,15.94,2.45,0.08,0.00,95.0,23.4,-273.15,-273.15,2.17,-1.45
237.56,0.00,39.35,-35.47,0.00,95.0,23.4,-273.15,-88.75,-1.60,1.01
237.60,0.00,4.33,1.30,0.00,95.0,23.4,-72.30,-273.15,-0.34,-1.45
237.64,0.00,1.35,-35.47,0.00,95.0,23.4,-273.15,-88.75,0.92,2.23
237.68,0.56,-126.26,2.53,0.00,95.0,23.4,-72.30,-273.15,-0.34,-2.67
237.72,0.00,1.35,-35.42,0.00,95.0,23.4,-273.15,-88.75,-1.60,-0.22
237.76,0.00,1.35,-35.47,0.00,95.0,23.4,-273.15,-88.75,2.17,2.23
237.80,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,-0.34,-2.67
237.84,0.00,144.15,0.01,0.00,95.0,23.4,-273.15,-88.75,-1.60,1.01
237.88,0.00,0.02,0.08,0.00,95.0,23.4,-72.30,-273.15,-0.34,-0.22
237.92,0.00,1.35,-35.42,0.00,95.0,23.4,-72.30,-273.15,2.17,-0.22
237.96,0.00,1.35,-35.42,0.00,95.0,23.4,-273.15,-88.75,2.17,-0.22
238.00,0.00,1.35,-35.47,0.00,95.0,23.4,-273.15,-273.15,2.17,-1.45
238.04,-145.86,-147.09,15.94,0.00,95.0,23.4,-273.15,-273.15,3.43,1.01
238.08,0.00,0.12,-35.47,0.00,95.0,23.4,-273.15,-273.15,0.92,2.23
238.12,1.27,0.01,0.00,0.00,95.0,23.4,-273.15,-273.15,-0.34,-2.67
238.16,0.00,1.35,-35.47,0.00,95.0,23.4,-80.14,-94.76,3.43,1.01
238.20,0.00,0.12,-35.42,0.00,95.0,23.4,-273.15,-94.76,2.17,-1.45
238.24,0.00,1.35,-35.42,0.00,95.0,23.4,-72.30,-273.15,-0.34,-2.67
238.28,0.00,1.35,-35.47,0.00,95.0,23.4,-72.30,-273.15,-0.34,-1.45
238.32,0.00,1.35,-35.47,0.00,95.0,23.4,-273.15,-88.75,3.43,1.01
238.36,0.00,0.12,-35.42,0.00,95.0,23.4,-273.15,-273.15,0.92,-2.67
238.40,0.01,-147.09,115.30,0.00,95.0,23.4,-273.15,-273.15,0.92,1.01
238.44,0.00,0.12,-35.42,0.00,95.0,23.4,-80.14,-273.15,3.43,1.01
