Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
137.19,0.49,-4.82,8.94,52.34,95.0,24.5,20.21,46.41,,
137.23,0.15,-5.4,9.42,52.34,95.0,24.5,19.62,45.68,,
137.27,0.55,-5.22,8.83,52.34,95.0,24.5,18.92,47.92,,
137.31,-0.13,-4.63,9.18,52.34,95.0,24.5,19.86,47.92,39.0225,47.010000000000005
137.35,0.35,-5.18,9.59,52.34,95.0,24.5,20.21,45.68,36.58,38.8575
137.39,0.77,-2.68,9.11,52.34,95.0,24.5,19.74,45.68,35.3575,25.57
137.43,1.11,-2.67,9.1,52.34,95.0,24.5,19.39,46.04,35.3575,14.095
137.47,0.28,-1.35,8.83,52.34,95.0,24.5,20.44,44.28,35.6625,0.8075000000000001
137.51,0.23,-0.0,8.96,52.34,95.0,24.5,20.09,46.78,35.6625,-11.27
137.55,0.54,2.68,9.37,52.34,95.0,24.5,20.09,46.04,13.3575,-21.235
137.59,-0.1,2.39,8.88,52.34,95.0,24.5,19.86,46.04,-8.945,-29.9925
137.63,-0.21,3.35,8.9,52.34,95.0,24.5,19.51,45.32,-33.3875,-39.3525
137.67,0.34,4.17,9.41,52.34,95.0,24.5,20.9,45.68,-58.442499999999995,-46.2975
137.71,0.0,4.45,8.86,52.34,95.0,24.5,20.21,44.97,-60.275,-53.5425
137.75,0.28,4.61,9.38,52.34,95.0,24.5,20.44,45.68,-61.192499999999995,-60.185
137.79,0.19,2.74,9.42,52.34,95.0,24.5,20.67,46.04,-59.66499999999999,-64.4125
137.83,0.06,2.6,9.17,52.34,95.0,24.5,19.62,44.97,-57.832499999999996,-67.13
137.87,0.43,1.81,9.54,52.34,95.0,24.5,20.9,44.62,-57.832499999999996,-68.0375
137.91,0.24,3.05,8.62,52.34,95.0,24.5,21.02,46.04,-44.69499999999999,-68.34
137.95,0.23,2.29,8.64,52.34,95.0,24.5,20.09,46.04,-29.1125,-68.34
137.99,0.23,2.0,8.61,52.34,95.0,24.5,19.62,45.68,-10.1675,-68.34
138.03,-0.08,-0.88,8.8,52.34,95.0,24.5,19.86,46.04,11.829999999999998,-68.0375
138.07,-0.01,-1.99,8.77,52.34,95.0,24.5,20.44,44.28,24.6625,-69.245
138.11,0.26,-1.27,8.79,52.34,95.0,24.5,20.21,44.97,35.660000000000004,-68.94250000000001
138.15,0.51,-1.43,8.83,52.34,95.0,24.5,19.74,45.68,46.352500000000006,-35.1225
138.19,0.44,-2.72,8.96,52.34,95.0,24.5,20.09,45.32,56.4375,-0.7000000000000028
138.23,0.4,-3.29,8.77,52.34,95.0,24.5,19.97,44.28,60.715,34.9325
138.27,0.09,-4.91,9.0,52.34,95.0,24.5,20.21,46.41,63.160000000000004,69.6575
138.31,0.4,-5.31,8.62,52.34,95.0,24.5,19.86,45.32,61.022499999999994,69.35499999999999
138.35,-0.05,-5.16,9.61,52.34,95.0,24.5,20.44,45.68,58.8825,66.94
138.39,0.24,-4.96,8.77,52.34,95.0,24.5,19.86,46.04,57.355,63.0125
138.43,0.3,-4.66,9.58,52.34,95.0,24.5,20.67,45.68,55.8275,57.877500000000005
138.47,-0.33,-4.13,9.46,52.34,95.0,24.5,20.21,44.28,55.8275,51.235
138.51,0.3,-4.64,8.97,52.34,95.0,24.5,20.09,45.32,55.8275,43.0825
138.55,1.01,-2.27,8.29,52.34,95.0,24.5,20.56,45.32,57.355,33.42
138.59,0.07,-2.14,8.36,52.34,95.0,24.5,19.62,48.32,57.050000000000004,22.55
138.63,0.26,-0.92,9.0,52.34,95.0,24.5,20.44,45.32,58.8825,9.8675
138.67,0.88,1.27,8.89,52.34,95.0,24.5,20.56,44.28,31.994999999999997,-1.3050000000000006
138.71,0.79,2.28,8.77,52.34,95.0,24.5,20.09,46.04,2.9700000000000006,-13.080000000000002
138.75,0.06,3.56,8.91,52.34,95.0,24.5,20.79,46.04,-24.53,-25.762500000000003
138.79,0.28,3.29,9.35,52.34,95.0,24.5,19.86,47.92,-56.0,-35.727500000000006
138.83,0.26,4.17,9.18,52.34,95.0,24.5,19.97,44.62,-59.36,-46.295
138.87,0.25,3.95,9.6,52.34,95.0,24.5,20.09,46.04,-58.75,-53.845
138.91,0.21,3.99,9.3,52.34,95.0,24.5,20.67,46.04,-56.0,-59.58
138.95,0.31,2.9,9.18,52.34,95.0,24.5,19.86,45.68,-48.667500000000004,-65.015
138.99,0.02,2.78,9.1,52.34,95.0,24.5,20.21,45.32,-38.89,-68.33749999999999
139.03,0.38,0.67,10.79,52.34,95.0,24.5,19.74,44.62,-30.335,-69.8475
139.07,0.62,2.13,9.17,52.34,95.0,24.5,19.86,45.68,-18.4175,-71.0575
139.11,0.08,1.35,9.01,52.34,95.0,24.5,20.21,44.97,-6.194999999999999,-71.36
139.15,0.2,0.2,8.56,52.34,95.0,24.5,20.09,44.62,4.8025,-70.1525
139.19,0.22,-1.29,9.19,52.34,95.0,24.5,20.9,44.28,18.857499999999998,-71.6625
139.23,0.28,-1.51,8.97,52.34,95.0,24.5,20.44,44.28,31.0775,-71.6625
139.27,0.42,-1.63,8.89,52.34,95.0,24.5,20.09,46.04,41.769999999999996,-71.6625
139.31,0.38,-2.29,8.88,52.34,95.0,24.5,19.86,46.04,51.852500000000006,-38.144999999999996
139.35,0.38,-3.3,9.03,52.34,95.0,24.5,17.97,45.32,59.184999999999995,-2.5124999999999993
139.39,0.09,-4.74,9.62,52.34,95.0,24.5,20.44,46.04,62.85249999999999,33.120000000000005
139.43,0.28,-5.0,9.25,52.34,95.0,24.5,19.86,45.68,64.38,67.5425
139.47,0.36,-5.57,9.37,52.34,95.0,24.5,20.56,44.62,63.16,66.6375
139.51,0.61,-5.51,9.11,52.34,95.0,24.5,19.97,44.28,60.41,63.6175
139.55,0.34,-5.05,9.73,52.34,95.0,24.5,19.97,44.62,57.964999999999996,60.89999999999999
139.59,1.31,-4.91,8.86,52.34,95.0,24.5,20.44,44.62,57.05,55.7675
139.63,0.69,-4.33,8.2,52.34,95.0,24.5,19.86,44.28,55.5225,48.822500000000005
139.67,0.02,-2.39,9.4,52.34,95.0,24.5,20.44,44.62,56.440000000000005,40.67
139.71,-0.46,-3.3,9.33,52.34,95.0,24.5,20.21,46.04,56.135,30.402500000000003
139.75,0.41,-0.94,8.86,52.34,95.0,24.5,19.97,45.32,54.6075,18.927500000000002
139.79,0.39,-0.92,9.05,52.34,95.0,24.5,19.86,46.04,54.607499999999995,7.452500000000001
139.83,0.15,1.73,9.29,52.34,95.0,24.5,20.21,44.28,27.11,-3.7199999999999998
139.87,0.14,2.76,9.08,52.34,95.0,24.5,20.21,44.97,-1.0,-17.3075
139.91,0.34,3.77,9.23,52.34,95.0,24.5,17.49,46.04,-30.0275,-28.177500000000002
139.95,-0.34,4.48,9.71,52.34,95.0,24.5,20.9,42.96,-57.5275,-39.6525
139.99,0.43,3.76,10.73,52.34,95.0,24.5,20.09,46.04,-59.972500000000004,-50.522499999999994
140.03,0.01,4.81,8.82,52.34,95.0,24.5,20.09,44.62,-57.5275,-56.865
140.07,-0.04,3.44,9.68,52.34,95.0,24.5,20.32,46.04,-51.417500000000004,-64.1125
140.11,0.28,2.96,9.52,52.34,95.0,24.5,20.09,46.04,-45.0,-67.13250000000001
140.15,0.23,2.74,8.99,52.34,95.0,24.5,20.67,44.62,-36.445,-67.7375
140.19,0.12,2.28,9.1,52.34,95.0,24.5,19.15,45.32,-26.0575,-68.6425
140.23,0.58,1.78,9.13,52.34,95.0,24.5,19.39,45.68,-14.7525,-66.5275
140.27,-0.07,1.35,8.69,52.34,95.0,24.5,20.21,45.68,-1.3099999999999996,-66.82749999999999
140.31,0.45,-0.26,9.0,52.34,95.0,24.5,20.32,44.62,13.05,-67.7325
140.35,0.32,-0.86,9.0,52.34,95.0,24.5,20.44,45.32,24.05,-67.7325
140.39,0.29,-1.48,8.73,52.34,95.0,24.5,20.09,45.68,36.2725,-68.64
140.43,0.63,-1.67,9.19,52.34,95.0,24.5,19.62,46.04,45.44,-68.64
140.47,0.3,-2.2,8.89,52.34,95.0,24.5,19.86,46.04,52.772499999999994,-33.612500000000004
140.51,0.69,-3.64,9.65,52.34,95.0,24.5,19.62,45.32,58.88249999999999,1.7174999999999976
140.55,0.17,-4.61,8.31,52.34,95.0,24.5,19.62,44.97,61.02,37.349999999999994
140.59,0.26,-5.29,9.23,52.34,95.0,24.5,20.56,44.62,61.63,72.375
140.63,0.1,-5.0,9.36,52.34,95.0,24.5,20.44,44.62,60.4075,70.865
140.67,0.63,-5.64,8.2,52.34,95.0,24.5,20.32,46.04,57.657500000000006,67.5425
140.71,-0.68,-4.89,10.17,52.34,95.0,24.5,21.02,46.04,56.4375,61.5025
140.75,0.06,-4.72,9.42,52.34,95.0,24.5,19.86,46.04,53.9925,54.86
140.79,-0.03,-4.41,8.98,52.34,95.0,24.5,20.56,44.62,53.99250000000001,47.915
140.83,0.29,-2.78,9.29,52.34,95.0,24.5,20.79,46.04,54.3,36.7425
