Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
177.68,0.28,-2.56,9.0,16.44,95.0,22.1,19.39,37.96,,
177.72,0.11,-2.61,8.83,16.44,95.0,22.1,19.74,36.65,,
177.76,0.32,-3.16,8.84,16.44,95.0,22.1,19.39,37.69,,
177.8,0.28,-2.95,8.81,16.44,95.0,22.1,19.74,37.43,-29.61,-7.09
177.84,0.3,-2.86,8.81,16.44,95.0,22.1,19.86,36.65,-30.5275,-7.3925
177.88,0.18,-3.47,8.97,16.44,95.0,22.1,19.97,36.65,-29.9175,-8.6
177.92,0.17,-3.38,8.86,16.44,95.0,22.1,20.79,37.16,-28.695,-7.695
177.96,0.23,-3.77,8.92,16.44,95.0,22.1,19.62,37.43,-27.4725,-9.205
178.0,0.34,-4.12,9.1,16.44,95.0,22.1,19.39,37.69,-24.4175,-11.620000000000001
178.04,0.31,-3.62,9.16,16.44,95.0,22.1,19.86,36.9,-20.445,-12.827499999999999
178.08,0.21,-3.08,8.87,16.44,95.0,22.1,19.15,37.96,-18.0025,-13.43
178.12,0.35,-3.45,8.96,16.44,95.0,22.1,19.74,36.65,-15.2525,-14.032499999999999
178.16,0.29,-3.06,8.96,16.44,95.0,22.1,19.39,36.9,-12.5025,-13.427499999999998
178.2,0.44,-3.01,8.83,16.44,95.0,22.1,19.74,37.16,-11.584999999999999,-14.335
178.24,0.38,-3.2,9.01,16.44,95.0,22.1,20.09,36.65,-8.834999999999999,-15.5425
178.28,0.05,-2.43,9.44,16.44,95.0,22.1,19.97,36.65,-8.225,-15.240000000000002
178.32,0.0,-1.57,8.83,16.44,95.0,22.1,19.27,36.65,-5.78,-17.6575
178.36,0.19,-2.55,9.3,16.44,95.0,22.1,19.86,37.43,-3.0324999999999998,-17.0525
178.4,0.25,-2.31,9.33,16.44,95.0,22.1,19.39,37.96,-0.2825,-18.865
178.44,0.86,-2.15,8.94,16.44,95.0,22.1,20.09,37.43,1.8575,-19.7725
178.48,0.52,-1.58,9.03,16.44,95.0,22.1,19.51,37.69,2.1625,-18.865000000000002
178.52,-0.03,-1.3,8.85,16.44,95.0,22.1,20.21,37.16,3.3850000000000002,-21.28
178.56,0.11,-0.81,8.83,16.44,95.0,22.1,20.32,36.39,3.9975000000000005,-20.9775
178.6,-0.38,-1.76,8.97,16.44,95.0,22.1,18.68,35.65,5.220000000000001,-23.09
178.64,0.15,-1.06,9.06,16.44,95.0,22.1,19.74,36.65,6.7475000000000005,-24.299999999999997
178.68,0.67,-0.4,9.26,16.44,95.0,22.1,19.27,36.65,6.7475,-24.3
178.72,0.48,-0.88,9.27,16.44,95.0,22.1,19.74,36.14,5.83,-24.3
178.76,0.56,-0.24,9.23,16.44,95.0,22.1,18.45,37.69,7.0525,-24.0
178.8,0.08,-0.59,9.17,16.44,95.0,22.1,19.39,37.69,8.58,-23.395
178.84,0.23,-0.46,9.16,16.44,95.0,22.1,20.44,35.4,10.415,-23.095
178.88,0.37,0.36,9.21,16.44,95.0,22.1,20.09,36.9,14.08,-22.794999999999998
178.92,-0.05,0.15,9.02,16.44,95.0,22.1,19.97,36.65,14.385,-21.585
178.96,0.2,-0.27,9.22,16.44,95.0,22.1,20.79,37.96,14.690000000000001,-19.470000000000002
179.0,0.0,0.59,9.12,16.44,95.0,22.1,23.2,35.4,17.745,-17.355
179.04,-0.26,0.22,8.97,16.44,95.0,22.1,18.92,37.69,19.58,-17.655
179.08,0.3,0.12,9.11,16.44,95.0,22.1,19.74,36.65,23.245,-15.240000000000002
179.12,-0.17,0.57,9.08,16.44,95.0,22.1,19.27,36.65,25.385,-14.940000000000001
179.16,0.09,0.6,9.54,16.44,95.0,22.1,19.74,35.4,26.607499999999998,-13.7325
179.2,-0.2,1.02,8.97,16.44,95.0,22.1,19.62,36.9,27.2175,-11.9225
179.24,0.32,1.29,9.42,16.44,95.0,22.1,19.15,36.9,28.744999999999997,-11.32
179.28,0.35,1.18,9.24,16.44,95.0,22.1,19.15,36.9,30.5775,-9.205
179.32,0.28,1.66,9.49,16.44,95.0,22.1,19.39,37.69,32.105000000000004,-8.9025
179.36,-0.07,1.99,9.45,16.44,95.0,22.1,19.97,35.4,33.0225,-6.1850000000000005
179.4,0.69,1.73,8.95,16.44,95.0,22.1,19.97,36.65,31.8025,-4.3725000000000005
179.44,0.39,2.16,8.91,16.44,95.0,22.1,18.92,37.69,32.4125,-4.675
179.48,0.18,2.03,8.96,16.44,95.0,22.1,18.92,37.69,31.8,-1.355
179.52,0.1,2.17,9.59,16.44,95.0,22.1,19.39,38.77,31.8,0.4575
179.56,0.16,1.74,9.43,16.44,95.0,22.1,19.27,36.65,33.02,0.4575
179.6,0.28,1.96,9.32,16.44,95.0,22.1,19.74,36.65,32.715,3.7800000000000002
179.64,0.07,2.35,8.9,16.44,95.0,22.1,19.15,37.43,32.410000000000004,5.592499999999999
