Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
102.16,0.27,0.56,9.23,0.00,95.0,22.6,19.97,28.74,-0.84,-2.16
102.20,0.24,0.55,9.22,0.00,95.0,22.6,19.74,28.55,0.38,-0.95
102.24,0.25,0.55,9.23,0.00,95.0,22.6,20.32,29.52,-2.07,0.25
102.28,0.24,0.56,9.23,0.00,95.0,22.6,19.51,29.13,-0.84,1.46
102.32,0.23,0.55,9.24,0.00,95.0,22.6,19.86,28.93,2.82,-0.95
102.36,0.25,0.57,9.24,0.00,95.0,22.6,20.32,28.93,-2.07,1.46
102.40,0.25,0.56,9.22,0.00,95.0,22.6,19.39,29.13,0.38,1.46
102.44,0.25,0.57,9.22,0.00,95.0,22.6,20.32,28.55,1.60,-0.95
102.48,0.25,0.56,9.20,0.00,95.0,22.6,19.86,29.32,-0.84,1.46
102.52,0.25,0.56,9.22,0.00,95.0,22.6,19.86,28.93,0.38,1.46
102.56,0.25,0.55,9.24,0.00,95.0,22.6,20.09,29.32,-0.84,-0.95
102.60,0.25,0.57,9.24,0.00,95.0,22.6,19.74,29.32,2.82,1.46
102.64,0.25,0.58,9.25,0.00,95.0,22.6,19.74,28.74,0.38,-2.16
102.68,0.26,0.57,9.24,0.00,95.0,22.6,19.86,29.32,-0.84,0.25
102.72,0.24,0.57,9.25,0.00,95.0,22.6,19.86,28.93,-3.29,0.25
102.76,0.26,0.55,9.22,0.00,95.0,22.6,19.86,29.71,-0.84,-2.16
102.80,0.25,0.54,9.21,0.00,95.0,22.6,19.74,28.93,-0.84,1.46
102.84,0.25,0.56,9.23,0.00,95.0,22.6,20.09,28.74,-0.84,-0.95
102.88,0.25,0.57,9.23,0.00,95.0,22.6,20.21,28.37,0.38,-0.95
102.92,0.27,0.55,9.24,0.00,95.0,22.6,19.74,28.37,-2.07,0.25
102.96,0.27,0.57,9.25,0.00,95.0,22.6,20.09,29.13,-0.84,-2.16
103.00,0.26,0.57,9.23,0.00,95.0,22.6,19.62,28.93,1.60,-0.95
103.04,0.24,0.55,9.24,0.00,95.0,22.6,20.32,28.74,-0.84,0.25
103.08,0.25,0.56,9.22,0.00,95.0,22.6,19.51,28.74,-2.07,-0.95
103.12,0.25,0.57,9.21,0.00,95.0,22.6,19.51,28.55,-2.07,0.25
103.16,0.24,0.56,9.21,0.00,95.0,22.6,19.97,28.74,-2.07,-0.95
103.20,0.24,0.58,9.21,0.00,95.0,22.6,19.74,28.93,1.60,-0.95
103.24,0.25,0.55,9.25,0.00,95.0,22.6,19.39,28.93,0.38,1.46
103.28,0.24,0.56,9.23,0.00,95.0,22.6,19.74,29.32,-2.07,1.46
103.32,0.24,0.55,9.21,0.00,95.0,22.6,19.86,28.93,-0.84,1.46
103.36,0.26,0.57,9.24,0.00,95.0,22.6,19.74,28.55,2.82,-0.95
103.40,0.26,0.57,9.22,0.00,95.0,22.6,19.51,28.37,-2.07,0.25
103.44,0.26,0.57,9.21,0.00,95.0,22.6,19.86,28.55,1.60,0.25
103.48,0.24,0.56,9.21,0.00,95.0,22.6,19.74,28.93,-0.84,1.46
103.52,0.26,0.58,9.20,0.00,95.0,22.6,19.86,28.55,1.60,-0.95
103.56,0.24,0.57,9.25,0.00,95.0,22.6,19.62,28.37,1.60,-0.95
103.60,0.26,0.56,9.22,0.00,95.0,22.6,19.74,28.93,1.60,1.46
103.64,0.23,0.55,9.23,0.00,95.0,22.6,20.32,28.93,1.60,2.67
103.68,0.25,0.58,9.25,0.00,95.0,22.6,19.74,28.37,-0.84,1.46
103.72,0.25,0.57,9.22,0.00,95.0,22.6,19.74,28.74,1.60,0.25
103.76,0.26,0.55,9.23,0.00,95.0,22.6,19.97,28.55,-0.84,1.46
103.80,0.25,0.57,9.24,0.00,95.0,22.6,19.74,28.74,-2.07,0.25
103.84,0.26,0.56,9.22,0.00,95.0,22.6,20.44,28.74,-2.07,-0.95
103.88,0.24,0.57,9.24,0.00,95.0,22.6,19.97,28.93,2.82,-2.16
103.92,0.26,0.56,9.25,0.00,95.0,22.6,19.74,28.93,1.60,-3.37
103.96,0.25,0.56,9.22,0.00,95.0,22.6,20.09,29.32,1.60,0.25
104.00,0.26,0.56,9.23,0.00,95.0,22.6,19.39,28.93,0.38,-2.16
104.04,0.26,0.58,9.24,0.00,95.0,22.6,19.62,28.55,0.38,0.25
104.08,0.25,0.58,9.26,0.00,95.0,22.6,19.74,28.55,-0.84,1.46
104.12,0.25,0.57,9.24,0.00,95.0,22.6,19.15,28.55,-0.84,0.25
104.16,0.26,0.56,9.23,0.00,95.0,22.6,20.44,28.55,-0.84,-0.95
104.20,0.24,0.56,9.24,0.00,95.0,22.6,19.74,28.37,0.38,-0.95
104.24,0.24,0.56,9.23,0.00,95.0,22.6,20.44,28.93,1.60,-0.95
104.28,0.25,0.58,9.20,0.00,95.0,22.6,19.39,28.93,-0.84,0.25
104.32,0.26,0.57,9.22,0.00,95.0,22.6,20.21,28.93,0.38,-2.16
104.36,0.25,0.56,9.23,0.00,95.0,22.6,19.86,28.93,0.38,-2.16
104.40,0.26,0.57,9.26,0.00,95.0,22.6,19.51,28.74,0.38,1.46
104.44,0.25,0.57,9.23,0.00,95.0,22.6,19.74,28.93,-0.84,1.46
104.48,0.25,0.55,9.22,0.00,95.0,22.6,19.74,28.37,-2.07,0.25
104.52,0.25,0.55,9.23,0.00,95.0,22.6,20.21,28.93,0.38,-2.16
104.56,0.24,0.56,9.22,0.00,95.0,22.6,19.39,28.93,-0.84,-0.95
104.60,0.26,0.57,9.24,0.00,95.0,22.6,19.51,28.74,1.60,1.46
104.64,0.25,0.57,9.25,0.00,95.0,22.6,20.44,28.37,0.38,-2.16
104.68,0.23,0.56,9.25,0.00,95.0,22.6,19.62,28.37,-0.84,1.46
104.72,0.24,0.56,9.24,0.00,95.0,22.6,19.74,28.37,1.60,-0.95
104.76,0.25,0.57,9.24,0.00,95.0,22.6,19.97,28.74,-0.84,0.25
104.80,0.24,0.57,9.23,0.00,95.0,22.6,19.62,28.74,-0.84,-0.95
104.84,0.26,0.56,9.25,0.00,95.0,22.6,19.97,28.55,0.38,2.67
104.88,0.26,0.57,9.23,0.00,95.0,22.6,20.09,29.13,1.60,-0.95
104.92,0.25,0.56,9.23,0.00,95.0,22.6,19.86,28.55,0.38,-0.95
104.96,0.27,0.56,9.22,0.00,95.0,22.6,20.44,28.74,1.60,-0.95
105.00,0.23,0.56,9.21,0.00,95.0,22.6,19.39,28.55,1.60,-0.95
105.04,0.27,0.57,9.21,0.00,95.0,22.6,19.74,28.93,-2.07,0.25
105.08,0.25,0.58,9.23,0.00,95.0,22.6,19.86,28.93,-0.84,0.25
105.12,0.24,0.57,9.23,0.00,95.0,22.6,20.21,28.74,1.60,1.46
105.16,0.24,0.57,9.22,0.00,95.0,22.6,19.74,28.93,-2.07,1.46
105.20,0.25,0.58,9.22,0.00,95.0,22.6,19.62,28.74,0.38,-2.16
105.24,0.26,0.56,9.21,0.00,95.0,22.6,19.74,28.74,0.38,1.46
105.28,0.24,0.57,9.23,0.00,95.0,22.6,19.86,28.93,0.38,0.25
