Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (%),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height (mm),Bond_height (mm)
49.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,-7.59,4.77
49.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-19.81,21.68
50.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-28.37,26.51
50.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-36.92,37.38
50.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.67,-44.25,43.42
50.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-56.48,51.88
50.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,-68.70,57.92
50.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-68.70,61.54
50.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,21.71,-73.59,68.79
50.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-76.03,68.79
50.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-76.03,79.66
50.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-80.92,73.62
50.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,-71.14,67.58
50.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-67.47,59.12
50.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-72.36,53.08
50.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-62.59,41.01
50.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.67,-54.03,32.55
50.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-49.14,16.85
50.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-41.81,10.81
50.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-32.03,3.56
50.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-30.81,-6.10
50.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-19.81,-14.55
50.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.99,-13.70,-20.59
50.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.51,-6.37,-18.18
50.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.34,2.19,-26.63
50.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,28.18,11.96,-32.67
50.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,30.31,20.52,-29.05
51.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.26,21.74,-27.84
51.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,33.96,-31.46
51.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,37.63,-36.30
51.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,43.74,-38.71
51.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,42.52,-39.92
51.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,48.63,-47.17
51.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,49.85,-47.17
51.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,49.85,-50.79
51.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,51.07,-48.37
51.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.84,48.63,-49.58
51.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,49.85,-49.58
51.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,48.63,-48.37
51.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.51,48.63,-44.75
51.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.17,44.96,-42.33
51.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,47.41,-47.17
51.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.08,43.74,-41.13
51.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,42.52,-39.92
