Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
212.02,0.22,-0.15,9.07,21.42,95.0,23.3,19.74,43.61,-6.80,-46.04
212.07,0.18,-0.48,8.94,21.42,95.0,23.3,19.15,43.61,-10.46,-43.63
212.11,0.02,0.36,8.84,21.42,95.0,23.3,19.27,41.38,-5.57,-38.80
212.15,-0.36,-0.31,8.99,21.42,95.0,23.3,18.45,43.94,-5.57,-41.21
212.19,0.49,0.38,8.87,21.42,95.0,23.3,19.62,43.94,-3.13,-36.38
212.23,0.29,0.54,9.00,21.42,95.0,23.3,19.74,42.00,-0.68,-38.80
212.27,0.20,0.86,9.15,21.42,95.0,23.3,19.62,43.94,1.76,-33.96
212.30,-0.54,1.64,8.82,21.42,95.0,23.3,18.33,42.96,11.54,-37.59
212.35,-0.17,1.83,9.61,21.42,95.0,23.3,18.92,43.94,16.43,-37.59
212.38,0.61,2.11,9.38,21.42,95.0,23.3,18.45,43.94,17.65,-32.76
212.43,-0.26,2.66,9.46,21.42,95.0,23.3,19.74,40.78,23.76,-33.96
212.47,0.64,2.93,9.05,21.42,95.0,23.3,20.09,42.00,23.76,-27.92
212.51,0.15,3.25,8.88,21.42,95.0,23.3,19.51,42.00,33.54,-29.13
212.55,0.14,2.87,8.82,21.42,95.0,23.3,19.62,43.61,34.76,-21.89
212.59,0.41,2.72,9.02,21.42,95.0,23.3,19.86,43.94,39.65,-15.85
212.63,0.21,2.63,9.18,21.42,95.0,23.3,19.04,43.94,39.65,-13.43
212.66,0.25,2.74,9.14,21.42,95.0,23.3,19.86,40.78,44.53,-14.64
212.71,0.17,1.84,9.75,21.42,95.0,23.3,19.39,43.61,43.31,-11.02
212.75,0.30,2.44,9.42,21.42,95.0,23.3,19.39,42.32,46.98,-2.56
212.79,0.43,2.77,8.85,21.42,95.0,23.3,19.39,41.08,45.76,-4.98
212.83,0.16,2.66,9.31,21.42,95.0,23.3,21.36,40.78,49.42,3.48
212.87,0.08,1.69,9.41,21.42,95.0,23.3,18.92,42.32,54.31,2.27
212.91,0.25,0.80,9.10,21.42,95.0,23.3,18.68,42.96,53.09,2.27
212.95,0.21,1.07,9.38,21.42,95.0,23.3,18.92,43.94,48.20,9.52
212.99,0.36,1.78,9.43,21.42,95.0,23.3,19.27,42.32,54.31,16.76
213.02,0.42,1.56,9.24,21.42,95.0,23.3,19.51,42.96,54.31,21.60
213.07,0.45,0.93,8.98,21.42,95.0,23.3,19.74,40.78,53.09,19.18
213.11,0.03,0.38,9.19,21.42,95.0,23.3,19.27,41.69,48.20,27.64
213.15,0.02,0.16,9.34,21.42,95.0,23.3,19.15,43.94,48.20,27.64
213.19,0.05,0.90,9.16,21.42,95.0,23.3,19.39,43.61,45.76,32.47
213.23,0.30,0.42,9.14,21.42,95.0,23.3,18.92,42.32,37.20,38.51
213.27,0.28,0.07,9.07,21.42,95.0,23.3,19.39,42.96,27.42,40.92
213.30,0.15,-0.17,8.80,21.42,95.0,23.3,19.27,42.00,20.09,44.54
213.35,0.22,-0.82,9.23,21.42,95.0,23.3,19.39,42.00,21.31,43.34
213.38,0.25,-0.29,8.99,21.42,95.0,23.3,18.92,42.63,11.54,43.34
213.43,0.29,-0.55,9.08,21.42,95.0,23.3,19.51,41.69,6.65,44.54
213.47,0.27,-0.72,9.06,21.42,95.0,23.3,19.51,40.78,-3.13,43.34
213.51,0.20,-1.20,9.00,21.42,95.0,23.3,20.09,42.00,-12.91,43.34
213.55,0.23,-1.40,8.96,21.42,95.0,23.3,19.97,40.78,-16.57,46.96
213.59,0.08,-1.56,9.01,21.42,95.0,23.3,18.92,42.63,-19.02,40.92
213.63,0.28,-1.57,8.95,21.42,95.0,23.3,19.51,40.49,-27.57,39.71
213.66,0.30,-1.52,8.86,21.42,95.0,23.3,19.15,42.00,-34.90,40.92
213.71,0.32,-2.49,9.45,21.42,95.0,23.3,19.27,42.32,-31.24,42.13
213.75,0.24,-2.23,8.94,21.42,95.0,23.3,19.04,41.69,-41.02,38.51
213.79,0.16,-2.58,9.00,21.42,95.0,23.3,19.86,43.94,-43.46,43.34
213.83,0.39,-2.51,8.66,21.42,95.0,23.3,19.39,42.63,-37.35,34.88
213.87,0.37,-2.61,8.92,21.42,95.0,23.3,19.39,41.69,-43.46,30.05
213.91,0.26,-2.66,9.05,21.42,95.0,23.3,19.74,40.49,-44.68,26.43
