Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
148.19,0.03,-3.91,8.20,59.68,95.0,23.6,20.21,42.96,-96.83,33.73
148.23,1.36,-4.34,8.42,59.68,95.0,23.6,20.21,44.97,-98.05,-112.41
148.27,0.78,-6.31,9.97,59.68,95.0,23.6,20.56,42.96,-93.16,-113.62
148.31,0.24,-7.52,8.91,59.68,95.0,23.6,19.74,44.97,-98.05,-110.00
148.35,0.67,-8.09,9.11,59.68,95.0,23.6,20.09,43.94,62.05,-107.58
148.39,0.29,-7.01,8.73,59.68,95.0,23.6,20.09,45.32,82.82,-112.41
148.43,0.82,-5.21,9.22,59.68,95.0,23.6,19.27,44.97,84.05,-113.62
148.47,0.36,-4.42,8.92,59.68,95.0,23.6,20.44,43.61,79.16,-110.00
148.51,0.12,-3.82,9.58,59.68,95.0,23.6,20.09,44.62,76.71,-111.20
148.55,0.41,-3.81,7.95,59.68,95.0,23.6,20.32,42.96,76.71,-111.20
148.59,0.03,-2.52,8.49,59.68,95.0,23.6,20.56,42.00,74.27,-107.58
148.63,0.13,-1.42,8.52,59.68,95.0,23.6,20.44,44.28,69.38,-110.00
148.67,-0.15,0.28,8.31,59.68,95.0,23.6,19.39,44.62,73.05,73.59
148.71,-0.08,2.16,8.74,59.68,95.0,23.6,20.21,42.96,75.49,79.63
148.75,0.11,3.03,8.99,59.68,95.0,23.6,19.62,44.97,71.83,69.97
148.79,0.59,4.05,8.70,59.68,95.0,23.6,20.90,43.94,70.60,69.97
148.83,0.08,4.66,10.01,59.68,95.0,23.6,19.62,45.32,70.60,65.14
148.87,-0.01,5.01,10.13,59.68,95.0,23.6,19.39,44.97,71.83,62.72
148.91,0.31,6.31,9.26,59.68,95.0,23.6,20.44,42.96,77.94,62.72
148.95,0.41,4.76,9.57,59.68,95.0,23.6,19.39,44.97,70.60,65.14
148.99,0.09,6.75,8.44,59.68,95.0,23.6,20.90,43.94,70.60,66.35
149.03,1.25,3.83,9.38,59.68,95.0,23.6,20.56,42.96,70.60,65.14
149.07,1.20,3.14,9.48,59.68,95.0,23.6,20.09,43.94,69.38,69.97
149.11,0.29,0.57,8.71,59.68,95.0,23.6,19.97,43.28,77.94,62.72
149.15,-0.16,-1.69,7.78,59.68,95.0,23.6,20.44,42.96,73.05,62.72
