Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
97.52,0.03,0.34,9.09,26.16,94.0,21.1,19.51,39.62,1.97,-15.57
97.56,-0.18,0.92,8.91,26.16,94.0,21.1,19.86,40.19,10.52,-21.61
97.60,-0.11,1.17,9.02,26.16,94.0,21.1,19.27,38.23,15.41,-17.98
97.64,0.06,1.04,9.17,26.16,94.0,21.1,16.29,40.19,16.63,-15.57
97.68,0.02,0.79,9.16,26.16,94.0,21.1,19.39,39.90,16.63,-20.40
97.72,0.03,0.82,9.10,26.16,94.0,21.1,19.15,39.62,19.08,-26.44
97.76,0.07,1.04,9.18,26.16,94.0,21.1,18.68,39.62,12.97,-21.61
97.80,0.17,1.26,9.22,26.16,94.0,21.1,19.27,39.62,23.97,-26.44
97.84,0.22,1.27,9.22,26.16,94.0,21.1,19.04,39.33,25.19,-27.65
97.88,0.20,0.86,9.24,26.16,94.0,21.1,20.21,41.08,17.86,-27.65
97.92,0.19,0.71,9.31,26.16,94.0,21.1,19.74,39.33,25.19,-30.06
97.96,0.25,0.88,9.24,26.16,94.0,21.1,19.15,39.62,23.97,-31.27
98.00,0.17,1.07,9.25,26.16,94.0,21.1,18.68,39.90,16.63,-22.82
98.04,0.20,0.88,9.19,26.16,94.0,21.1,18.68,38.50,20.30,-28.85
98.08,0.20,0.67,9.21,26.16,94.0,21.1,19.27,39.90,17.86,-20.40
98.12,0.18,0.41,9.45,26.16,94.0,21.1,18.45,41.38,14.19,-26.44
98.16,0.17,0.44,9.23,26.16,94.0,21.1,19.27,41.08,11.74,-24.02
98.20,0.30,0.31,9.36,26.16,94.0,21.1,19.51,39.33,16.63,-24.02
98.24,0.31,0.02,9.36,26.16,94.0,21.1,19.04,39.33,16.63,-15.57
98.28,0.26,-0.12,9.13,26.16,94.0,21.1,19.39,40.19,12.97,-11.95
98.32,0.42,0.06,9.21,26.16,94.0,21.1,19.62,39.90,15.41,-10.74
98.36,0.39,-0.27,9.27,26.16,94.0,21.1,19.27,39.33,14.19,-5.91
98.40,0.38,-0.54,9.22,26.16,94.0,21.1,18.68,40.19,8.08,-2.28
98.44,0.28,-0.71,9.20,26.16,94.0,21.1,19.51,39.90,11.74,-2.28
98.48,0.31,-0.78,9.11,26.16,94.0,21.1,19.15,41.08,14.19,1.34
98.52,0.31,-0.83,9.17,26.16,94.0,21.1,18.56,38.23,10.52,6.17
98.56,0.32,-0.87,9.18,26.16,94.0,21.1,19.51,39.62,0.75,11.00
98.60,0.30,-1.07,9.15,26.16,94.0,21.1,19.51,38.50,-2.92,17.04
98.64,0.26,-1.32,9.14,26.16,94.0,21.1,19.51,38.50,-5.37,23.08
98.68,0.14,-1.33,9.18,26.16,94.0,21.1,19.15,40.19,-1.70,19.46
98.72,0.28,-1.72,9.33,26.16,94.0,21.1,18.80,39.90,-9.03,31.54
98.76,0.23,-1.74,9.15,26.16,94.0,21.1,19.74,39.62,-10.25,25.50
98.80,0.29,-1.64,9.07,26.16,94.0,21.1,17.85,41.08,-12.70,27.91
98.84,0.24,-1.89,9.20,26.16,94.0,21.1,19.51,38.23,-15.14,29.12
98.88,0.24,-2.10,9.23,26.16,94.0,21.1,18.80,41.08,-11.48,27.91
98.92,0.23,-2.01,9.00,26.16,94.0,21.1,18.92,39.90,-16.36,35.16
98.96,0.28,-2.56,9.20,26.16,94.0,21.1,19.86,40.19,-18.81,29.12
99.00,0.24,-2.23,9.00,26.16,94.0,21.1,19.27,39.90,-18.81,32.74
99.04,0.19,-2.21,9.15,26.16,94.0,21.1,20.09,38.23,-26.14,31.54
99.08,0.28,-2.45,9.16,26.16,94.0,21.1,19.15,39.62,-22.48,24.29
99.12,0.26,-2.19,9.30,26.16,94.0,21.1,18.33,39.33,-28.59,27.91
99.16,0.21,-2.12,9.04,26.16,94.0,21.1,19.51,39.62,-28.59,20.67
99.20,0.45,-2.18,9.14,26.16,94.0,21.1,18.45,41.08,-31.03,18.25
99.24,0.11,-1.97,9.08,26.16,94.0,21.1,19.04,38.23,-24.92,14.63
99.28,0.36,-1.94,9.09,26.16,94.0,21.1,18.80,41.08,-23.70,11.00
99.32,0.17,-1.45,9.04,26.16,94.0,21.1,18.45,39.90,-31.03,13.42
99.36,0.35,-1.45,9.21,26.16,94.0,21.1,19.39,40.19,-29.81,11.00
99.40,-0.01,-0.76,8.99,26.16,94.0,21.1,19.51,39.33,-27.36,3.76
99.44,-0.20,-1.35,9.15,26.16,94.0,21.1,18.45,41.38,-26.14,1.34
99.48,0.20,-0.88,8.95,26.16,94.0,21.1,19.86,39.62,-23.70,0.13
99.52,0.76,-1.63,9.46,26.16,94.0,21.1,19.04,38.50,-15.14,-2.28
99.56,0.79,-0.92,9.41,26.16,94.0,21.1,18.92,41.08,-20.03,-1.07
99.60,0.46,-0.15,9.26,26.16,94.0,21.1,19.27,39.33,-13.92,-1.07
99.64,0.58,0.09,9.34,26.16,94.0,21.1,19.15,38.50,-13.92,-9.53
99.68,0.49,0.17,9.23,26.16,94.0,21.1,19.39,39.90,-4.14,-7.11
99.72,0.48,0.49,9.19,26.16,94.0,21.1,16.77,39.90,-2.92,-14.36
99.76,0.46,0.65,9.29,26.16,94.0,21.1,18.68,39.05,-5.37,-10.74
99.80,0.63,0.40,9.35,26.16,94.0,21.1,19.74,38.23,1.97,-16.78
99.84,0.63,0.81,9.46,26.16,94.0,21.1,19.51,39.33,3.19,-17.98
99.88,0.79,0.82,9.53,26.16,94.0,21.1,19.27,38.50,5.63,-19.19
99.92,0.69,1.07,9.50,26.16,94.0,21.1,19.27,38.23,14.19,-21.61
99.96,0.53,1.27,9.34,26.16,94.0,21.1,19.27,38.23,15.41,-22.82
100.00,0.59,1.05,9.44,26.16,94.0,21.1,20.09,39.62,11.74,-20.40
100.04,0.46,0.98,9.24,26.16,94.0,21.1,18.68,39.90,12.97,-20.40
100.08,0.47,1.25,9.31,26.16,94.0,21.1,18.45,39.90,15.41,-20.40
100.12,0.41,1.29,9.34,26.16,94.0,21.1,18.92,41.38,19.08,-27.65
100.16,0.33,0.93,9.20,26.16,94.0,21.1,19.74,39.62,19.08,-26.44
100.20,0.27,0.85,9.19,26.16,94.0,21.1,19.97,39.62,17.86,-28.85
100.24,0.26,0.67,9.38,26.16,94.0,21.1,19.04,38.23,22.74,-30.06
100.28,0.24,0.91,9.22,26.16,94.0,21.1,19.62,39.62,26.41,-22.82
100.32,0.24,1.17,9.18,26.16,94.0,21.1,18.92,39.90,17.86,-25.23
100.36,0.23,0.94,9.14,26.16,94.0,21.1,19.04,39.90,21.52,-26.44
100.40,0.25,0.61,9.27,26.16,94.0,21.1,20.09,39.62,12.97,-22.82
100.44,0.24,0.35,9.33,26.16,94.0,21.1,19.97,38.77,15.41,-27.65
100.48,0.24,0.19,9.37,26.16,94.0,21.1,20.21,39.90,9.30,-20.40
100.52,0.26,0.30,9.35,26.16,94.0,21.1,19.74,38.77,11.74,-25.23
100.56,0.21,-0.12,9.26,26.16,94.0,21.1,19.74,39.33,11.74,-21.61
100.60,0.22,-0.13,9.16,26.16,94.0,21.1,18.80,41.08,17.86,-19.19
100.64,0.16,-0.21,9.09,26.16,94.0,21.1,19.27,38.50,9.30,-13.15
100.68,0.22,-0.20,9.16,26.16,94.0,21.1,20.09,40.19,14.19,-14.36
100.72,0.28,-0.49,9.14,26.16,94.0,21.1,19.51,38.50,8.08,-3.49
100.76,0.21,-0.89,9.18,26.16,94.0,21.1,19.51,39.33,11.74,-5.91
100.80,0.23,-0.90,9.09,26.16,94.0,21.1,19.27,39.90,5.63,7.38
100.84,0.32,-0.95,9.21,26.16,94.0,21.1,19.04,39.62,9.30,4.96
