Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
89.72,0.46,-1.55,8.91,26.14,93.0,18.9,-273.15,21.26,-19.76,-0.53
89.76,0.61,-0.90,9.44,26.14,93.0,18.9,-273.15,20.97,-14.87,-1.74
89.80,0.25,-0.43,9.00,26.14,93.0,18.9,-72.30,20.68,-11.21,-1.74
89.84,0.27,-1.09,9.12,26.14,93.0,18.9,-80.14,20.97,-9.98,-4.15
89.88,0.54,-0.09,9.23,26.14,93.0,18.9,-63.79,20.83,-8.76,-6.57
89.93,0.28,0.16,9.19,26.14,93.0,18.9,-80.14,20.40,-5.10,-5.36
89.96,0.11,0.10,8.99,26.14,93.0,18.9,-273.15,20.40,-8.76,-8.99
90.00,-0.33,0.06,8.91,26.14,93.0,18.9,-273.15,20.68,-1.43,-7.78
90.04,0.28,0.22,9.12,26.14,93.0,18.9,-63.79,21.12,1.01,-13.82
90.08,0.30,0.73,9.27,26.14,93.0,18.9,-273.15,20.97,4.68,-13.82
90.12,0.42,0.54,9.30,26.14,93.0,18.9,-72.30,21.12,5.90,-16.23
90.16,0.57,0.77,9.21,26.14,93.0,18.9,-273.15,20.68,9.57,-13.82
90.20,0.25,0.76,9.24,26.14,93.0,18.9,-273.15,20.26,10.79,-19.86
90.25,0.63,0.73,9.33,26.14,93.0,18.9,-80.14,20.68,13.24,-19.86
90.29,0.43,0.87,9.34,26.14,93.0,18.9,-273.15,20.40,14.46,-22.27
90.33,0.23,1.10,9.21,26.14,93.0,18.9,-273.15,20.97,16.90,-24.69
90.37,0.14,0.94,9.15,26.14,93.0,18.9,-273.15,20.68,19.35,-19.86
90.41,0.19,1.03,9.20,26.14,93.0,18.9,-273.15,20.83,20.57,-22.27
90.45,0.22,0.85,9.25,26.14,93.0,18.9,-273.15,21.12,19.35,-23.48
90.49,0.21,0.79,9.17,26.14,93.0,18.9,-273.15,21.12,23.01,-21.06
90.53,0.15,0.65,9.07,26.14,93.0,18.9,-80.14,20.68,20.57,-23.48
90.57,0.19,0.72,9.09,26.14,93.0,18.9,-80.14,20.83,19.35,-21.06
90.61,0.34,0.63,9.32,26.14,93.0,18.9,-273.15,20.83,15.68,-25.90
90.65,0.27,0.56,9.23,26.14,93.0,18.9,-273.15,20.83,16.90,-23.48
