Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
144.50,0.42,-3.46,8.91,25.93,93.0,19.6,-80.14,24.84,-34.71,29.37
144.54,0.33,-3.57,8.91,25.93,93.0,19.6,-67.41,24.18,-35.93,26.96
144.58,0.35,-3.70,9.04,25.93,93.0,19.6,-72.30,24.18,-43.26,25.75
144.62,0.50,-3.75,9.00,25.93,93.0,19.6,-54.50,24.18,-43.26,20.92
144.66,0.64,-3.98,8.99,25.93,93.0,19.6,-273.15,24.18,-48.15,19.71
144.70,0.41,-2.60,8.68,25.93,93.0,19.6,-60.89,24.35,-43.26,13.67
144.74,0.66,-2.56,8.62,25.93,93.0,19.6,-72.30,25.01,-43.26,13.67
144.78,0.59,-2.09,9.44,25.93,93.0,19.6,-80.14,25.01,-43.26,8.84
144.82,0.65,-2.06,8.81,25.93,93.0,19.6,-273.15,24.67,-39.60,4.01
144.86,0.33,-2.46,8.83,25.93,93.0,19.6,-273.15,24.35,-35.93,1.59
144.90,0.17,-2.04,8.74,25.93,93.0,19.6,-273.15,24.67,-38.38,0.39
144.94,-0.02,-1.34,8.90,25.93,93.0,19.6,-60.89,24.67,-33.49,1.59
144.98,0.06,-0.58,8.87,25.93,93.0,19.6,-273.15,24.35,-26.15,-0.82
145.02,0.22,-1.01,9.01,25.93,93.0,19.6,-273.15,24.67,-21.27,-2.03
145.06,0.36,-0.23,9.05,25.93,93.0,19.6,-273.15,24.84,-18.82,-4.44
145.10,0.45,0.24,9.14,25.93,93.0,19.6,-273.15,24.18,-15.15,-8.07
145.14,0.61,0.18,8.96,25.93,93.0,19.6,-67.41,23.86,-10.27,-5.65
145.18,0.58,1.20,9.31,25.93,93.0,19.6,-273.15,24.18,-6.60,-10.48
145.22,-0.01,0.82,9.40,25.93,93.0,19.6,-273.15,24.67,-2.93,-15.32
145.26,-0.16,1.59,9.13,25.93,93.0,19.6,-273.15,25.01,1.96,-15.32
145.30,0.10,0.76,9.18,25.93,93.0,19.6,-273.15,24.67,5.62,-18.94
145.34,0.03,2.03,8.89,25.93,93.0,19.6,-273.15,24.35,15.40,-24.98
145.38,0.36,1.79,9.54,25.93,93.0,19.6,-67.41,24.67,11.73,-28.60
145.42,0.27,1.88,9.35,25.93,93.0,19.6,-80.14,24.67,21.51,-35.85
145.46,0.19,1.93,9.14,25.93,93.0,19.6,-273.15,25.01,19.07,-37.06
145.50,0.18,1.96,9.37,25.93,93.0,19.6,-273.15,24.67,23.95,-45.51
145.54,0.14,1.89,9.13,25.93,93.0,19.6,-72.30,24.35,28.84,-40.68
145.58,0.34,2.32,9.11,25.93,93.0,19.6,-273.15,24.51,28.84,-41.89
145.62,0.27,1.90,9.12,25.93,93.0,19.6,-63.79,24.67,34.95,-40.68
145.66,0.21,1.75,9.26,25.93,93.0,19.6,-63.79,24.51,32.51,-39.47
145.70,0.30,1.98,9.07,25.93,93.0,19.6,-273.15,23.54,33.73,-39.47
145.74,0.22,1.92,9.19,25.93,93.0,19.6,-273.15,24.67,34.95,-41.89
145.78,0.34,1.59,9.27,25.93,93.0,19.6,-273.15,24.84,31.29,-44.30
145.82,0.34,1.26,9.22,25.93,93.0,19.6,-273.15,24.35,33.73,-43.10
145.86,0.28,1.25,9.11,25.93,93.0,19.6,-273.15,24.35,30.06,-44.30
145.90,0.30,1.13,9.12,25.93,93.0,19.6,-273.15,24.18,30.06,-40.68
145.94,0.48,0.72,9.42,25.93,93.0,19.6,-72.30,24.18,26.40,-39.47
145.98,0.30,0.51,9.14,25.93,93.0,19.6,-273.15,24.35,26.40,-35.85
146.02,0.26,0.35,9.23,25.93,93.0,19.6,-72.30,24.67,26.40,-33.43
146.06,0.28,0.28,9.00,25.93,93.0,19.6,-63.79,24.18,25.18,-29.81
146.10,0.36,-0.08,9.04,25.93,93.0,19.6,-273.15,25.01,20.29,-23.77
146.14,0.31,-0.29,9.08,25.93,93.0,19.6,-72.30,24.35,22.73,-23.77
146.18,0.23,-0.61,9.05,25.93,93.0,19.6,-273.15,24.18,20.29,-17.73
146.22,0.24,-0.84,9.05,25.93,93.0,19.6,-72.30,24.18,20.29,-9.28
146.26,0.32,-0.84,9.02,25.93,93.0,19.6,-273.15,24.51,20.29,-5.65
146.30,0.39,-1.00,8.96,25.93,93.0,19.6,-67.41,24.35,19.07,5.22
146.34,0.44,-1.24,8.86,25.93,93.0,19.6,-63.79,24.84,10.51,10.05
146.38,0.39,-1.20,9.08,25.93,93.0,19.6,-80.14,24.84,9.29,16.09
146.42,0.24,-1.84,9.17,25.93,93.0,19.6,-273.15,24.67,9.29,23.34
146.46,0.38,-2.35,9.23,25.93,93.0,19.6,-80.14,24.67,4.40,31.79
146.50,0.48,-2.15,9.24,25.93,93.0,19.6,-273.15,24.18,-0.49,34.21
146.54,0.47,-2.32,9.12,25.93,93.0,19.6,-67.41,24.18,-0.49,41.45
146.58,0.47,-2.72,8.97,25.93,93.0,19.6,-273.15,24.67,-7.82,37.83
146.62,0.30,-2.80,9.00,25.93,93.0,19.6,-273.15,24.84,-10.27,45.08
146.66,0.32,-2.67,8.95,25.93,93.0,19.6,-63.79,24.67,-17.60,46.28
146.70,0.37,-3.02,8.94,25.93,93.0,19.6,-80.14,24.67,-23.71,42.66
146.74,0.45,-3.56,9.11,25.93,93.0,19.6,-273.15,24.67,-27.38,43.87
146.78,0.42,-3.39,8.97,25.93,93.0,19.6,-72.30,24.35,-35.93,42.66
146.82,0.43,-3.39,8.85,25.93,93.0,19.6,-273.15,24.67,-34.71,33.00
146.86,0.39,-3.26,9.03,25.93,93.0,19.6,-63.79,25.85,-43.26,29.37
146.90,0.08,-3.18,8.93,25.93,93.0,19.6,-80.14,24.84,-40.82,25.75
146.94,-0.01,-3.09,8.82,25.93,93.0,19.6,-273.15,24.67,-44.49,17.30
146.98,0.57,-4.09,8.87,25.93,93.0,19.6,-63.79,24.67,-44.49,12.46
147.02,0.29,-2.79,9.05,25.93,93.0,19.6,-80.14,24.67,-45.71,11.26
147.06,0.51,-2.31,9.11,25.93,93.0,19.6,-80.14,24.67,-44.49,7.63
147.10,0.10,-2.69,8.59,25.93,93.0,19.6,-273.15,24.84,-45.71,8.84
147.14,-0.08,-2.15,8.84,25.93,93.0,19.6,-72.30,24.18,-42.04,8.84
147.18,0.40,-1.92,9.43,25.93,93.0,19.6,-273.15,24.67,-42.04,5.22
147.22,0.41,-1.99,8.85,25.93,93.0,19.6,-80.14,24.35,-37.15,4.01
147.26,0.52,-1.44,8.97,25.93,93.0,19.6,-80.14,24.84,-37.15,-2.03
147.30,0.30,-0.41,8.97,25.93,93.0,19.6,-72.30,24.84,-29.82,-4.44
147.34,0.67,-0.67,9.18,25.93,93.0,19.6,-273.15,24.18,-27.38,-2.03
147.38,0.80,0.03,9.29,25.93,93.0,19.6,-72.30,24.18,-22.49,-5.65
147.42,0.66,0.20,9.23,25.93,93.0,19.6,-273.15,24.18,-18.82,-4.44
147.46,0.35,0.29,9.37,25.93,93.0,19.6,-273.15,24.18,-12.71,-6.86
147.50,0.36,0.57,9.01,25.93,93.0,19.6,-273.15,24.35,-9.04,-11.69
147.54,0.57,1.58,9.62,25.93,93.0,19.6,-54.50,24.02,-0.49,-16.52
147.58,0.10,2.10,9.59,25.93,93.0,19.6,-273.15,24.67,-0.49,-18.94
147.62,-0.08,1.60,9.05,25.93,93.0,19.6,-72.30,24.18,4.40,-23.77
147.66,-0.01,2.20,9.08,25.93,93.0,19.6,-80.14,24.67,10.51,-29.81
147.70,0.28,2.15,9.05,25.93,93.0,19.6,-273.15,24.35,14.18,-35.85
147.74,0.10,2.26,9.04,25.93,93.0,19.6,-63.79,24.51,20.29,-38.26
147.78,0.19,2.49,9.22,25.93,93.0,19.6,-273.15,24.67,22.73,-37.06
147.82,0.24,2.04,9.22,25.93,93.0,19.6,-273.15,25.01,20.29,-41.89
147.86,0.19,1.84,9.09,25.93,93.0,19.6,-67.41,25.01,28.84,-38.26
147.90,0.30,2.18,9.31,25.93,93.0,19.6,-273.15,24.18,30.06,-41.89
147.94,0.35,2.02,9.29,25.93,93.0,19.6,-72.30,24.51,25.18,-38.26
147.98,0.25,1.78,9.17,25.93,93.0,19.6,-72.30,24.35,30.06,-45.51
148.02,0.31,1.84,9.19,25.93,93.0,19.6,-72.30,24.67,30.06,-43.10
148.06,0.28,1.89,9.30,25.93,93.0,19.6,-273.15,24.35,31.29,-45.51
148.10,0.33,1.57,9.17,25.93,93.0,19.6,-273.15,24.84,30.06,-46.72
148.14,0.36,1.19,9.14,25.93,93.0,19.6,-80.14,24.67,26.40,-44.30
148.18,0.39,1.12,9.38,25.93,93.0,19.6,-273.15,24.51,25.18,-43.10
148.22,0.37,0.65,9.22,25.93,93.0,19.6,-80.14,24.67,26.40,-41.89
148.26,0.20,0.60,9.09,25.93,93.0,19.6,-273.15,24.18,26.40,-41.89
148.30,0.24,0.49,9.11,25.93,93.0,19.6,-273.15,24.67,25.18,-38.26
148.34,0.24,0.56,8.94,25.93,93.0,19.6,-60.89,24.67,25.18,-32.22
148.38,0.42,0.28,9.10,25.93,93.0,19.6,-67.41,24.18,27.62,-31.02
148.42,0.48,-0.38,9.15,25.93,93.0,19.6,-273.15,24.67,26.40,-23.77
