Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
131.21,0.15,0.67,9.17,30.05,95.0,22.1,-273.15,30.31,28.19,-28.59
131.25,0.14,0.51,9.20,30.05,95.0,22.1,-63.79,29.91,29.42,-14.10
131.29,0.12,-0.13,9.12,30.05,95.0,22.1,-273.15,30.51,33.08,-23.76
131.33,0.10,-0.61,-0.62,30.05,95.0,22.1,-67.41,29.52,28.19,-24.97
131.37,0.00,-0.53,9.02,30.05,95.0,22.1,-63.79,29.32,26.97,-28.59
131.41,0.09,-0.48,9.03,30.05,95.0,22.1,-273.15,30.72,22.08,-23.76
131.45,0.16,-0.25,9.08,30.05,95.0,22.1,-72.30,29.52,20.86,-20.13
131.49,0.19,-0.63,9.04,30.05,95.0,22.1,-273.15,31.13,24.53,-21.34
131.53,0.17,-0.97,9.04,30.05,95.0,22.1,-80.14,30.92,22.08,-26.17
131.57,0.22,-1.36,9.15,30.05,95.0,22.1,-273.15,29.52,19.64,-26.17
131.61,0.36,-1.26,9.13,30.05,95.0,22.1,-273.15,29.52,14.75,-24.97
131.65,0.42,-1.40,9.29,30.05,95.0,22.1,-273.15,30.11,7.42,-21.34
131.69,0.61,-0.15,-0.15,30.05,95.0,22.1,-67.41,30.11,9.86,-21.34
131.73,0.21,-1.54,9.02,30.05,95.0,22.1,-58.46,28.55,9.86,-20.13
131.77,0.27,-1.89,9.14,30.05,95.0,22.1,-273.15,30.31,14.75,-5.64
131.81,0.35,-2.09,9.22,30.05,95.0,22.1,-72.30,29.32,4.97,-2.02
131.85,0.38,-2.23,9.25,30.05,95.0,22.1,-273.15,30.31,7.42,-3.23
131.89,0.20,-2.06,8.92,30.05,95.0,22.1,-63.79,28.37,3.75,1.61
