Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
104.00,0.15,-0.81,9.02,33.45,94.0,21.2,19.39,37.96,48.96,-52.72
104.04,0.16,-1.20,9.01,33.45,94.0,21.2,19.15,37.96,44.07,-50.31
104.08,0.26,-1.30,8.87,33.45,94.0,21.2,20.32,37.69,44.07,-49.10
104.12,0.23,-1.39,9.07,33.45,94.0,21.2,19.27,38.23,36.74,-46.68
104.16,0.29,-1.73,8.97,33.45,94.0,21.2,19.51,38.23,34.29,-47.89
104.20,0.32,-2.00,8.78,33.45,94.0,21.2,19.74,37.96,24.52,-44.27
104.24,0.30,-2.59,8.89,33.45,94.0,21.2,18.92,38.50,18.41,-44.27
104.28,0.37,-3.02,8.86,33.45,94.0,21.2,19.27,37.96,9.85,-38.23
104.32,0.40,-3.08,9.10,33.45,94.0,21.2,19.27,38.23,8.63,-33.40
104.36,0.26,-3.42,9.22,33.45,94.0,21.2,19.51,37.69,1.30,-29.77
104.40,0.35,-3.55,9.10,33.45,94.0,21.2,19.27,38.23,-2.37,-24.94
104.44,0.38,-4.47,9.06,33.45,94.0,21.2,19.39,38.50,-8.48,-21.32
104.48,0.40,-3.86,8.88,33.45,94.0,21.2,19.39,36.90,-10.93,-10.45
104.52,0.37,-4.83,9.57,33.45,94.0,21.2,19.15,38.23,-12.15,-6.82
104.56,0.28,-3.04,9.04,33.45,94.0,21.2,19.15,37.96,-18.26,-1.99
104.60,0.22,-3.47,9.54,33.45,94.0,21.2,19.15,38.50,-20.70,4.05
104.64,0.20,-2.59,9.10,33.45,94.0,21.2,19.04,38.23,-20.70,12.50
104.68,0.32,-3.70,9.11,33.45,94.0,21.2,19.51,37.96,-24.37,17.33
104.72,0.14,-1.38,8.26,33.45,94.0,21.2,19.15,37.96,-29.26,20.96
104.76,0.45,-1.89,8.48,33.45,94.0,21.2,19.39,37.69,-32.92,26.99
104.80,0.15,-2.02,8.86,33.45,94.0,21.2,19.62,36.90,-32.92,31.83
104.84,-0.01,-1.49,9.05,33.45,94.0,21.2,19.04,38.50,-35.37,31.83
104.88,0.33,-0.29,8.83,33.45,94.0,21.2,19.62,37.43,-35.37,36.66
104.92,0.13,0.16,8.93,33.45,94.0,21.2,19.15,37.69,-36.59,35.45
104.96,0.20,0.71,9.01,33.45,94.0,21.2,19.39,37.43,-36.59,40.28
105.00,0.26,0.77,9.03,33.45,94.0,21.2,19.27,37.69,-35.37,39.07
105.04,0.57,1.67,8.98,33.45,94.0,21.2,19.27,38.23,-37.81,41.49
