Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
Wave data,37.98,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.84,-48.01,1.80
Wave data,38.02,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-45.56,21.12
Wave data,38.06,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.37,-48.01,40.45
Wave data,38.10,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-52.89,48.90
Wave data,38.14,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-51.67,59.78
Wave data,38.18,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-56.56,67.02
Wave data,38.22,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-57.78,71.85
Wave data,38.26,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-56.56,74.27
Wave data,38.30,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.67,-63.89,80.31
Wave data,38.34,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-61.45,77.89
Wave data,38.38,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-60.23,76.68
Wave data,38.42,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-56.56,71.85
Wave data,38.46,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-54.12,57.36
Wave data,38.50,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-52.89,56.15
Wave data,38.54,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-46.78,48.90
Wave data,38.58,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.55,-41.90,39.24
Wave data,38.62,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-33.34,38.03
Wave data,38.66,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-22.34,25.96
Wave data,38.70,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-13.79,27.16
Wave data,38.74,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-13.79,5.42
Wave data,38.78,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-12.56,-3.03
Wave data,38.82,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.01,-12.56,-15.11
Wave data,38.86,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-12.56,-28.40
Wave data,38.90,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-16.23,-32.02
Wave data,38.94,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-13.79,-34.44
Wave data,38.98,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-17.45,-45.31
Wave data,39.02,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,90.10,-50.14
Wave data,39.06,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,74.21,-58.59
Wave data,39.10,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,91.32,-64.63
Wave data,39.14,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,87.65,-79.12
Wave data,39.18,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,90.10,-76.71
Wave data,39.22,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,87.65,-80.33
Wave data,39.26,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,90.10,-79.12
Wave data,39.30,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.55,91.32,-81.54
Wave data,39.34,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,90.10,-75.50
Wave data,39.38,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,0.88,-71.88
Wave data,39.42,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-11.34,-65.84
Wave data,39.46,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-16.23,-69.46
Wave data,39.50,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-23.56,-67.05
Wave data,39.54,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-26.01,-68.25
Wave data,39.58,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-35.78,-67.05
Wave data,39.62,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-39.45,-67.05
Wave data,39.66,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-45.56,-65.84
Wave data,39.70,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-50.45,-69.46
Wave data,39.74,0.00,0.00,0.00,36.97,95.0,22.5,44.25,27.26,-55.34,-67.05
Wave data,39.78,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-49.23,-68.25
Wave data,39.82,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-56.56,70.65
Wave data,39.86,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.51,-57.78,75.48
Wave data,39.90,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-56.56,79.10
Wave data,39.94,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-59.01,74.27
Wave data,39.98,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-57.78,81.52
Wave data,40.02,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-34.56,71.85
Wave data,40.06,0.00,0.00,0.00,36.97,95.0,22.5,44.25,27.44,-57.78,62.19
Wave data,40.10,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-52.89,52.53
Wave data,40.14,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.17,-51.67,46.49
Wave data,40.18,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.72,-45.56,42.87
Wave data,40.22,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.84,-40.67,36.83
Wave data,40.26,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-27.23,30.79
Wave data,40.30,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-24.79,23.54
Wave data,40.34,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-22.34,11.46
Wave data,40.38,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-24.79,1.80
Wave data,40.42,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.35,-21.12,-9.07
Wave data,40.46,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-21.12,-19.94
Wave data,40.50,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-23.56,-28.40
Wave data,40.54,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-21.12,-38.06
Wave data,40.58,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-22.34,-41.68
Wave data,40.62,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-21.12,-45.31
Wave data,40.66,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,94.98,-52.55
Wave data,40.70,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,88.87,-59.80
Wave data,40.74,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,92.54,-65.84
Wave data,40.78,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,92.54,-71.88
Wave data,40.82,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,96.21,-77.92
Wave data,40.86,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,92.54,-76.71
Wave data,40.90,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,92.54,-80.33
Wave data,40.94,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.34,90.10,-77.92
Wave data,40.98,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,92.54,-80.33
Wave data,41.02,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.55,-5.23,-70.67
Wave data,41.06,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-15.01,-67.05
Wave data,41.10,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-21.12,-67.05
Wave data,41.14,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-24.79,-79.12
Wave data,41.18,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-32.12,-63.42
Wave data,41.22,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-37.01,-62.22
Wave data,41.26,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-41.90,-65.84
Wave data,41.30,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-48.01,-62.22
Wave data,41.34,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-51.67,-64.63
Wave data,41.38,0.00,0.00,0.00,36.97,95.0,22.5,44.25,27.44,-52.89,-64.63
Wave data,41.42,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-55.34,-64.63
Wave data,41.46,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-56.56,68.23
Wave data,41.50,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-61.45,77.89
Wave data,41.54,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-55.34,80.31
Wave data,41.58,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.51,-65.12,83.93
Wave data,41.62,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-61.45,81.52
Wave data,41.66,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-61.45,73.06
Wave data,41.70,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-57.78,65.81
Wave data,41.74,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-55.34,53.74
Wave data,41.78,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-49.23,48.90
Wave data,41.82,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-43.12,40.45
Wave data,41.86,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-35.78,33.20
Wave data,41.90,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-28.45,24.75
Wave data,41.94,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.34,-16.23,11.46
Wave data,41.98,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-5.23,0.59
Wave data,42.02,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-2.79,-7.86
Wave data,42.06,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.55,-4.01,-17.53
Wave data,42.10,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-2.79,-19.94
Wave data,42.14,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-4.01,-28.40
Wave data,42.18,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.72,-4.01,-33.23
Wave data,42.22,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-2.79,-40.47
Wave data,42.26,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,85.21,-46.51
Wave data,42.30,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,91.32,-54.97
Wave data,42.34,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,93.76,-63.42
Wave data,42.38,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,87.65,-68.25
