Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
177.68,0.28,-2.56,9.00,16.44,95.0,22.1,19.39,37.96,-28.08,-5.58
177.72,0.11,-2.61,8.83,16.44,95.0,22.1,19.74,36.65,-32.97,-5.58
177.76,0.32,-3.16,8.84,16.44,95.0,22.1,19.39,37.69,-32.97,-10.41
177.80,0.28,-2.95,8.81,16.44,95.0,22.1,19.74,37.43,-24.42,-6.79
177.84,0.30,-2.86,8.81,16.44,95.0,22.1,19.86,36.65,-31.75,-6.79
177.88,0.18,-3.47,8.97,16.44,95.0,22.1,19.97,36.65,-30.53,-10.41
177.92,0.17,-3.38,8.86,16.44,95.0,22.1,20.79,37.16,-28.08,-6.79
177.96,0.23,-3.77,8.92,16.44,95.0,22.1,19.62,37.43,-19.53,-12.83
178.00,0.34,-4.12,9.10,16.44,95.0,22.1,19.39,37.69,-19.53,-16.45
178.04,0.31,-3.62,9.16,16.44,95.0,22.1,19.86,36.90,-14.64,-15.24
178.08,0.21,-3.08,8.87,16.44,95.0,22.1,19.15,37.96,-18.31,-9.20
178.12,0.35,-3.45,8.96,16.44,95.0,22.1,19.74,36.65,-8.53,-15.24
178.16,0.29,-3.06,8.96,16.44,95.0,22.1,19.39,36.90,-8.53,-14.03
178.20,0.44,-3.01,8.83,16.44,95.0,22.1,19.74,37.16,-10.97,-18.87
178.24,0.38,-3.20,9.01,16.44,95.0,22.1,20.09,36.65,-7.31,-14.03
178.28,0.05,-2.43,9.44,16.44,95.0,22.1,19.97,36.65,-6.09,-14.03
178.32,0.00,-1.57,8.83,16.44,95.0,22.1,19.27,36.65,1.25,-23.70
178.36,0.19,-2.55,9.30,16.44,95.0,22.1,19.86,37.43,0.02,-16.45
178.40,0.25,-2.31,9.33,16.44,95.0,22.1,19.39,37.96,3.69,-21.28
