Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
163.61,0.27,-0.43,9.27,15.01,93.0,20.9,19.15,40.78,8.46,-0.42
163.65,0.39,-0.37,9.26,15.01,93.0,20.9,19.39,41.08,6.01,-1.63
163.69,0.12,-0.39,9.14,15.01,93.0,20.9,20.79,42.63,10.90,-1.63
163.73,-0.10,-0.22,9.01,15.01,93.0,20.9,18.80,41.38,9.68,-5.25
163.77,0.21,0.12,9.22,15.01,93.0,20.9,19.62,41.38,4.79,5.62
163.81,0.29,-0.01,9.30,15.01,93.0,20.9,18.80,42.63,12.12,1.99
163.85,0.38,0.03,9.27,15.01,93.0,20.9,19.15,42.63,13.35,-1.63
163.89,0.01,-0.25,9.16,15.01,93.0,20.9,18.80,42.32,6.01,-0.42
163.93,-0.06,-0.20,9.04,15.01,93.0,20.9,19.51,40.49,12.12,-1.63
163.97,0.15,0.15,9.26,15.01,93.0,20.9,19.51,40.49,10.90,-1.63
164.01,-0.27,0.24,8.91,15.01,93.0,20.9,18.92,42.32,13.35,5.62
164.05,0.10,0.29,9.21,15.01,93.0,20.9,19.97,39.62,9.68,-0.42
164.09,-0.14,0.36,9.06,15.01,93.0,20.9,18.80,41.08,8.46,0.79
164.13,0.02,0.12,9.14,15.01,93.0,20.9,18.92,41.38,4.79,3.20
164.17,0.27,0.05,9.19,15.01,93.0,20.9,19.74,39.62,7.24,1.99
164.21,0.30,0.20,9.37,15.01,93.0,20.9,19.27,40.49,8.46,4.41
164.25,0.32,0.41,9.20,15.01,93.0,20.9,19.51,40.49,7.24,4.41
164.29,0.33,0.36,9.29,15.01,93.0,20.9,18.92,40.78,2.35,9.24
164.33,0.22,0.44,9.22,15.01,93.0,20.9,19.27,42.32,9.68,9.24
164.37,0.32,0.27,9.22,15.01,93.0,20.9,19.15,40.78,8.46,5.62
164.41,0.24,0.24,9.21,15.01,93.0,20.9,18.92,42.00,4.79,12.86
164.45,0.16,0.45,9.16,15.01,93.0,20.9,19.97,39.62,4.79,5.62
164.49,0.14,0.48,9.19,15.01,93.0,20.9,18.92,41.38,7.24,5.62
164.53,0.19,0.39,9.16,15.01,93.0,20.9,18.80,42.32,-1.32,15.28
164.57,0.12,0.26,9.16,15.01,93.0,20.9,18.92,42.63,6.01,9.24
164.61,0.14,0.27,9.23,15.01,93.0,20.9,19.15,42.63,6.01,9.24
164.65,0.13,0.23,9.22,15.01,93.0,20.9,18.92,42.32,-1.32,15.28
164.69,0.19,0.33,9.17,15.01,93.0,20.9,18.56,39.33,1.12,15.28
164.73,0.16,0.34,9.24,15.01,93.0,20.9,19.15,40.78,1.12,8.03
164.77,0.19,0.35,9.17,15.01,93.0,20.9,19.15,41.38,-0.10,6.82
164.81,0.22,0.12,9.22,15.01,93.0,20.9,18.92,41.38,1.12,8.03
164.85,0.20,0.10,9.18,15.01,93.0,20.9,18.68,41.08,-6.21,15.28
164.89,0.16,0.11,9.09,15.01,93.0,20.9,18.92,42.63,-1.32,10.45
164.93,0.31,0.22,9.20,15.01,93.0,20.9,19.15,40.78,-3.76,10.45
164.97,0.31,0.24,9.33,15.01,93.0,20.9,18.80,42.32,-6.21,10.45
165.01,0.24,0.03,9.22,15.01,93.0,20.9,19.27,38.50,-3.76,6.82
165.05,0.17,-0.02,9.11,15.01,93.0,20.9,19.39,40.78,-4.99,14.07
