Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
188.72,0.21,-0.32,9.08,18.50,94.0,21.3,18.92,39.90,4.85,-9.96
188.76,0.47,0.04,9.22,18.50,94.0,21.3,19.39,38.50,7.30,-7.55
188.80,0.04,-0.33,8.95,18.50,94.0,21.3,19.74,40.49,10.96,-14.80
188.84,0.25,-0.12,9.16,18.50,94.0,21.3,18.80,38.77,9.74,-13.59
188.88,0.22,0.05,9.14,18.50,94.0,21.3,18.92,39.90,10.96,-6.34
188.92,0.66,0.49,9.32,18.50,94.0,21.3,18.92,41.38,12.18,-12.38
188.96,0.48,0.52,9.41,18.50,94.0,21.3,19.27,38.50,12.18,-9.96
189.00,0.43,0.52,9.01,18.50,94.0,21.3,19.51,39.62,13.41,-8.76
189.04,0.53,0.93,9.57,18.50,94.0,21.3,19.27,38.50,13.41,-6.34
189.08,0.41,1.20,9.07,18.50,94.0,21.3,18.68,41.08,15.85,-3.93
189.12,0.30,1.09,9.27,18.50,94.0,21.3,19.97,39.33,19.52,-8.76
189.16,0.14,1.15,9.21,18.50,94.0,21.3,19.74,39.33,20.74,-8.76
189.20,0.30,1.27,9.19,18.50,94.0,21.3,18.92,39.90,20.74,-0.30
189.24,0.32,1.34,9.07,18.50,94.0,21.3,20.90,39.33,29.29,-3.93
189.28,0.30,1.33,9.31,18.50,94.0,21.3,19.51,39.62,24.41,-5.13
189.32,0.42,0.88,9.40,18.50,94.0,21.3,19.39,41.08,23.18,-3.93
189.36,0.36,1.10,9.33,18.50,94.0,21.3,19.39,41.08,23.18,0.91
189.40,0.34,1.16,9.33,18.50,94.0,21.3,18.68,40.19,23.18,-0.30
189.44,0.27,1.27,9.24,18.50,94.0,21.3,19.27,39.90,25.63,3.32
189.48,0.16,1.15,9.18,18.50,94.0,21.3,19.62,40.49,21.96,2.11
189.52,0.18,1.16,9.22,18.50,94.0,21.3,19.51,38.50,21.96,3.32
189.56,0.22,1.22,9.24,18.50,94.0,21.3,18.80,41.08,26.85,-1.51
189.60,0.21,1.25,9.19,18.50,94.0,21.3,18.92,41.08,19.52,5.74
189.64,0.20,1.28,9.07,18.50,94.0,21.3,19.97,39.33,23.18,-0.30
189.68,0.20,0.90,9.30,18.50,94.0,21.3,18.80,39.90,17.07,8.15
189.72,0.19,0.70,9.35,18.50,94.0,21.3,19.74,39.62,14.63,4.53
189.76,0.24,0.81,9.32,18.50,94.0,21.3,19.51,39.62,14.63,6.95
189.80,0.24,0.86,9.26,18.50,94.0,21.3,18.92,41.08,12.18,8.15
189.84,0.26,0.78,9.11,18.50,94.0,21.3,18.92,41.08,9.74,9.36
189.88,0.16,0.80,8.97,18.50,94.0,21.3,19.27,38.23,15.85,4.53
189.92,0.28,0.69,9.20,18.50,94.0,21.3,19.86,40.19,13.41,5.74
189.96,0.13,0.40,9.23,18.50,94.0,21.3,18.45,41.08,9.74,14.19
190.00,0.08,0.20,9.09,18.50,94.0,21.3,19.15,40.19,2.41,9.36
190.04,0.10,0.34,8.97,18.50,94.0,21.3,18.92,41.38,-0.04,14.19
190.08,0.30,0.47,9.10,18.50,94.0,21.3,19.15,39.33,2.41,9.36
190.12,0.24,-0.01,9.19,18.50,94.0,21.3,19.74,40.49,-1.26,10.57
190.16,0.20,-0.28,9.10,18.50,94.0,21.3,18.45,39.62,1.19,14.19
190.20,0.25,-0.14,9.18,18.50,94.0,21.3,19.74,39.33,-6.15,11.78
190.24,0.25,-0.35,9.16,18.50,94.0,21.3,19.27,38.50,-9.81,12.98
190.28,0.26,-0.48,9.13,18.50,94.0,21.3,19.51,39.62,-12.26,15.40
190.32,0.20,-0.72,9.16,18.50,94.0,21.3,19.51,39.62,-15.92,15.40
190.36,0.28,-0.54,9.13,18.50,94.0,21.3,19.27,38.50,-11.04,11.78
190.40,0.31,-0.66,9.14,18.50,94.0,21.3,19.39,40.19,-20.81,17.82
190.44,0.30,-0.92,9.13,18.50,94.0,21.3,19.74,39.33,-15.92,10.57
190.48,0.19,-1.06,9.16,18.50,94.0,21.3,19.74,39.33,-19.59,10.57
190.52,0.28,-1.24,9.14,18.50,94.0,21.3,19.97,39.33,-19.59,10.57
190.56,0.25,-1.22,9.06,18.50,94.0,21.3,18.92,41.38,-20.81,9.36
190.60,0.30,-1.24,9.19,18.50,94.0,21.3,19.27,38.50,-19.59,9.36
190.64,0.27,-1.45,9.27,18.50,94.0,21.3,19.51,39.62,-22.04,9.36
190.68,0.30,-1.56,9.18,18.50,94.0,21.3,19.15,39.62,-19.59,6.95
190.72,0.26,-1.58,9.09,18.50,94.0,21.3,20.21,39.33,-17.15,8.15
190.76,0.32,-1.84,9.19,18.50,94.0,21.3,18.45,39.62,-23.26,10.57
190.80,0.37,-1.85,9.05,18.50,94.0,21.3,19.15,39.90,-18.37,0.91
190.84,0.28,-1.93,9.22,18.50,94.0,21.3,19.74,39.90,-25.70,5.74
190.88,0.32,-2.05,9.17,18.50,94.0,21.3,18.45,41.08,-25.70,4.53
190.92,0.32,-2.03,9.18,18.50,94.0,21.3,19.62,40.19,-25.70,4.53
190.96,0.31,-2.07,9.07,18.50,94.0,21.3,18.68,39.90,-24.48,4.53
191.00,0.36,-1.89,9.10,18.50,94.0,21.3,19.74,39.33,-20.81,-3.93
191.04,0.44,-2.46,9.02,18.50,94.0,21.3,19.15,40.19,-19.59,-5.13
191.08,0.45,-2.52,8.97,18.50,94.0,21.3,19.27,39.90,-23.26,2.11
191.12,0.32,-2.50,9.11,18.50,94.0,21.3,19.74,39.62,-22.04,-3.93
191.16,0.33,-2.35,8.90,18.50,94.0,21.3,18.68,41.08,-22.04,-3.93
191.20,0.25,-2.06,8.94,18.50,94.0,21.3,19.62,39.62,-18.37,-3.93
191.24,0.07,-1.98,9.08,18.50,94.0,21.3,18.92,39.90,-15.92,-3.93
191.28,0.24,-2.26,9.01,18.50,94.0,21.3,18.45,39.90,-15.92,-5.13
