Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
45.66,0.38,-2.74,9.22,0.00,93.0,19.4,-80.14,32.41,29.47,-30.65
45.70,0.28,-2.80,9.33,0.00,93.0,19.4,-273.15,32.19,27.02,-30.65
45.74,0.46,-2.85,9.36,0.00,93.0,19.4,-80.14,32.41,18.47,-33.07
45.78,0.28,-2.32,9.27,0.00,93.0,19.4,-273.15,32.41,13.58,-29.45
45.82,0.47,-2.14,9.07,0.00,93.0,19.4,-80.14,31.76,7.47,-28.24
45.86,0.53,-3.61,9.69,0.00,93.0,19.4,-72.30,33.29,1.36,-24.62
45.90,0.06,-1.45,8.65,0.00,93.0,19.4,-80.14,31.98,-3.53,-25.82
45.94,0.12,-1.57,9.00,0.00,93.0,19.4,-273.15,32.63,-8.42,-20.99
45.98,0.09,-0.86,9.09,0.00,93.0,19.4,-273.15,32.41,-10.86,-19.78
46.02,-0.08,-0.04,8.85,0.00,93.0,19.4,-273.15,32.41,-15.75,-12.54
46.06,0.13,0.18,9.02,0.00,93.0,19.4,-273.15,32.41,-19.42,-4.08
46.10,-0.09,-0.19,8.88,0.00,93.0,19.4,-273.15,32.63,-18.20,0.75
46.14,-0.23,0.06,9.05,0.00,93.0,19.4,-67.41,31.76,-26.75,3.16
46.18,-0.70,0.58,8.78,0.00,93.0,19.4,-273.15,32.41,-29.20,10.41
46.22,-0.43,0.98,8.88,0.00,93.0,19.4,-80.14,32.19,-29.20,18.87
46.26,0.11,1.46,9.07,0.00,93.0,19.4,-273.15,32.41,-32.86,18.87
46.30,-0.02,1.72,9.06,0.00,93.0,19.4,-67.41,31.76,-34.09,26.11
46.34,-0.08,1.30,9.08,0.00,93.0,19.4,-273.15,32.41,-32.86,32.15
46.38,-0.09,0.89,9.07,0.00,93.0,19.4,-273.15,32.41,-35.31,34.57
46.42,0.09,1.32,9.20,0.00,93.0,19.4,-273.15,32.85,-30.42,39.40
46.46,0.26,1.52,9.18,0.00,93.0,19.4,-273.15,31.98,-32.86,38.19
46.50,0.30,1.61,9.27,0.00,93.0,19.4,-273.15,32.19,-27.97,40.61
46.54,0.39,0.97,9.14,0.00,93.0,19.4,-72.30,32.19,-24.31,36.98
46.58,0.49,0.66,9.47,0.00,93.0,19.4,-80.14,31.76,-20.64,32.15
46.62,0.39,0.48,9.43,0.00,93.0,19.4,-273.15,32.85,-20.64,27.32
46.66,0.34,0.55,9.10,0.00,93.0,19.4,-273.15,32.63,-12.09,22.49
46.70,0.40,0.28,9.38,0.00,93.0,19.4,-80.14,31.34,-5.98,22.49
46.74,0.32,-0.08,9.16,0.00,93.0,19.4,-80.14,31.76,-3.53,12.83
46.78,0.42,-0.53,8.99,0.00,93.0,19.4,-273.15,33.29,7.47,10.41
46.82,0.35,-0.73,9.08,0.00,93.0,19.4,-80.14,31.76,12.36,3.16
46.86,0.39,-1.02,9.17,0.00,93.0,19.4,-273.15,32.41,16.02,-8.91
46.90,0.47,-0.90,9.12,0.00,93.0,19.4,-80.14,32.41,23.36,-13.75
46.94,0.18,-1.11,9.16,0.00,93.0,19.4,-72.30,32.63,27.02,-16.16
46.98,0.20,-1.23,9.07,0.00,93.0,19.4,-273.15,32.63,34.35,-19.78
47.02,0.28,-1.37,9.04,0.00,93.0,19.4,-80.14,31.55,38.02,-24.62
47.06,0.33,-1.69,9.11,0.00,93.0,19.4,-273.15,32.85,36.80,-28.24
47.10,0.41,-2.04,9.20,0.00,93.0,19.4,-273.15,32.19,44.13,-31.86
47.14,0.48,-2.67,9.04,0.00,93.0,19.4,-60.89,31.98,42.91,-34.28
47.18,0.50,-2.86,9.02,0.00,93.0,19.4,-273.15,31.55,39.24,-33.07
47.22,0.53,-2.47,9.03,0.00,93.0,19.4,-52.84,31.76,38.02,-33.07
47.26,0.42,-2.70,9.14,0.00,93.0,19.4,-273.15,32.19,31.91,-30.65
47.30,0.39,-2.62,9.08,0.00,93.0,19.4,-58.46,32.41,28.24,-31.86
47.34,0.30,-2.49,9.10,0.00,93.0,19.4,-273.15,32.41,20.91,-31.86
47.38,0.17,-2.39,8.98,0.00,93.0,19.4,-273.15,32.63,14.80,-29.45
47.42,0.25,-1.99,9.01,0.00,93.0,19.4,-273.15,32.41,6.25,-30.65
47.46,0.70,-3.27,9.46,0.00,93.0,19.4,-273.15,32.19,5.02,-28.24
47.50,0.52,-1.18,9.01,0.00,93.0,19.4,-80.14,32.19,1.36,-24.62
47.54,0.11,-1.43,9.04,0.00,93.0,19.4,-72.30,31.98,-5.98,-24.62
47.58,0.21,-0.85,8.94,0.00,93.0,19.4,-80.14,31.98,-8.42,-18.58
47.62,0.38,-0.36,9.25,0.00,93.0,19.4,-80.14,31.98,-10.86,-16.16
47.66,0.51,0.06,9.01,0.00,93.0,19.4,-72.30,32.63,-18.20,-14.95
47.70,0.45,-0.21,9.23,0.00,93.0,19.4,-63.79,31.98,-21.86,-8.91
47.74,0.49,0.24,9.21,0.00,93.0,19.4,-80.14,31.55,-23.09,-0.46
47.78,0.60,0.49,9.31,0.00,93.0,19.4,-72.30,32.63,-29.20,8.00
47.82,-0.14,1.05,8.85,0.00,93.0,19.4,-273.15,32.63,-30.42,11.62
47.86,0.66,1.58,9.36,0.00,93.0,19.4,-273.15,32.41,-35.31,18.87
47.90,0.36,1.83,9.30,0.00,93.0,19.4,-80.14,31.98,-38.97,26.11
47.94,0.33,1.29,9.32,0.00,93.0,19.4,-63.79,32.41,-34.09,28.53
47.98,0.21,1.05,9.19,0.00,93.0,19.4,-273.15,32.41,-32.86,33.36
48.02,0.21,1.37,9.21,0.00,93.0,19.4,-80.14,31.76,-31.64,38.19
48.06,0.23,1.57,9.15,0.00,93.0,19.4,-80.14,31.55,-27.97,40.61
48.10,0.39,1.50,9.32,0.00,93.0,19.4,-273.15,32.41,-27.97,43.02
48.14,0.49,1.27,9.11,0.00,93.0,19.4,-273.15,32.85,-29.20,34.57
48.18,0.44,1.14,8.99,0.00,93.0,19.4,-80.14,31.55,-20.64,33.36
48.22,0.26,0.21,9.25,0.00,93.0,19.4,-273.15,31.76,-16.98,27.32
48.26,0.28,0.69,8.97,0.00,93.0,19.4,-273.15,31.98,-14.53,23.70
48.30,0.25,0.70,8.88,0.00,93.0,19.4,-273.15,31.98,-10.86,18.87
48.34,0.34,0.11,9.15,0.00,93.0,19.4,-72.30,32.63,-3.53,14.03
48.38,0.25,-0.60,9.12,0.00,93.0,19.4,-273.15,31.76,2.58,9.20
48.42,0.20,-0.70,8.90,0.00,93.0,19.4,-273.15,31.98,8.69,0.75
48.46,0.18,-1.08,9.09,0.00,93.0,19.4,-273.15,31.76,16.02,-4.08
48.50,0.43,-0.89,9.16,0.00,93.0,19.4,-63.79,32.41,19.69,-12.54
48.54,0.49,-0.91,9.28,0.00,93.0,19.4,-80.14,32.19,31.91,-13.75
48.58,0.22,-1.13,9.22,0.00,93.0,19.4,-273.15,32.41,29.47,-20.99
48.62,0.24,-1.97,9.14,0.00,93.0,19.4,-273.15,32.63,35.58,-24.62
48.66,0.29,-1.94,9.32,0.00,93.0,19.4,-273.15,31.98,36.80,-31.86
48.70,0.39,-2.28,9.18,0.00,93.0,19.4,-273.15,32.63,41.69,-28.24
48.74,0.26,-2.23,9.03,0.00,93.0,19.4,-273.15,32.63,42.91,-34.28
48.78,0.36,-3.05,9.03,0.00,93.0,19.4,-273.15,32.19,41.69,-34.28
48.82,0.39,-2.91,8.95,0.00,93.0,19.4,-80.14,31.76,35.58,-35.49
48.86,0.31,-2.82,9.05,0.00,93.0,19.4,-273.15,32.63,33.13,-30.65
48.90,0.20,-2.51,9.15,0.00,93.0,19.4,-273.15,32.63,30.69,-31.86
48.94,0.31,-2.70,9.31,0.00,93.0,19.4,-80.14,31.55,24.58,-30.65
48.98,0.36,-2.31,8.98,0.00,93.0,19.4,-273.15,32.41,16.02,-33.07
49.02,0.45,-1.62,9.03,0.00,93.0,19.4,-273.15,32.63,11.13,-25.82
49.06,0.61,-2.40,8.76,0.00,93.0,19.4,-273.15,31.76,5.02,-28.24
49.10,1.21,-2.12,9.62,0.00,93.0,19.4,-63.79,32.41,-4.75,-28.24
49.14,0.23,-1.93,9.07,0.00,93.0,19.4,-56.36,32.41,-4.75,-22.20
49.18,0.64,-0.75,9.07,0.00,93.0,19.4,-273.15,32.19,-7.20,-20.99
49.22,0.42,-0.50,9.31,0.00,93.0,19.4,-273.15,32.41,-12.09,-20.99
49.26,0.77,0.02,9.20,0.00,93.0,19.4,-67.41,31.98,-15.75,-13.75
49.30,0.63,0.04,9.25,0.00,93.0,19.4,-60.89,31.98,-19.42,-2.87
49.34,0.71,0.46,9.46,0.00,93.0,19.4,-273.15,31.98,-24.31,-1.67
49.38,0.83,0.93,9.23,0.00,93.0,19.4,-80.14,32.19,-30.42,4.37
49.42,0.12,0.97,9.10,0.00,93.0,19.4,-273.15,32.63,-31.64,14.03
49.46,0.78,1.79,9.42,0.00,93.0,19.4,-80.14,32.41,-34.09,15.24
49.50,0.35,1.57,8.93,0.00,93.0,19.4,-80.14,31.98,-37.75,24.91
49.54,0.46,1.41,9.20,0.00,93.0,19.4,-273.15,31.76,-30.42,32.15
49.58,0.24,1.04,9.32,0.00,93.0,19.4,-80.14,31.98,-32.86,30.94
49.62,0.15,1.35,9.26,0.00,93.0,19.4,-80.14,31.34,-31.64,38.19
49.66,0.26,1.60,9.18,0.00,93.0,19.4,-273.15,32.41,-31.64,36.98
49.70,0.25,1.39,9.35,0.00,93.0,19.4,-273.15,31.34,-29.20,36.98
49.74,0.44,1.28,9.20,0.00,93.0,19.4,-273.15,32.19,-29.20,34.57
49.78,0.41,0.88,9.34,0.00,93.0,19.4,-273.15,32.19,-21.86,30.94
49.82,0.20,0.51,9.32,0.00,93.0,19.4,-273.15,32.63,-15.75,29.74
49.86,0.13,0.90,8.72,0.00,93.0,19.4,-63.79,31.98,-14.53,22.49
49.90,0.31,0.32,9.21,0.00,93.0,19.4,-72.30,32.19,-8.42,20.07
49.94,0.17,-0.10,9.44,0.00,93.0,19.4,-273.15,32.41,-2.31,15.24
49.98,0.10,-0.41,9.19,0.00,93.0,19.4,-273.15,32.41,3.80,6.79
50.02,0.05,-0.55,8.99,0.00,93.0,19.4,-63.79,31.98,9.91,0.75
50.06,0.17,-1.04,9.15,0.00,93.0,19.4,-273.15,31.76,16.02,-1.67
50.10,0.33,-0.91,9.11,0.00,93.0,19.4,-273.15,32.63,25.80,-8.91
50.14,0.47,-0.93,9.10,0.00,93.0,19.4,-72.30,32.63,25.80,-16.16
50.18,0.28,-1.17,9.16,0.00,93.0,19.4,-273.15,31.98,29.47,-19.78
50.22,0.39,-1.65,9.15,0.00,93.0,19.4,-273.15,32.41,31.91,-25.82
50.26,0.20,-1.73,9.04,0.00,93.0,19.4,-273.15,31.55,41.69,-27.03
50.30,0.45,-1.95,8.99,0.00,93.0,19.4,-67.41,31.98,41.69,-31.86
50.34,0.44,-2.15,9.27,0.00,93.0,19.4,-273.15,32.19,42.91,-35.49
50.38,0.44,-3.04,9.12,0.00,93.0,19.4,-273.15,31.98,39.24,-34.28
50.42,0.42,-2.95,9.07,0.00,93.0,19.4,-72.30,32.41,35.58,-34.28
50.46,0.35,-2.64,9.19,0.00,93.0,19.4,-273.15,32.19,30.69,-35.49
50.50,0.23,-2.52,9.09,0.00,93.0,19.4,-273.15,32.41,29.47,-31.86
50.54,0.46,-2.31,9.07,0.00,93.0,19.4,-60.89,31.76,22.13,-33.07
50.58,0.54,-1.98,9.34,0.00,93.0,19.4,-80.14,31.76,17.24,-28.24
50.62,0.44,-2.51,9.33,0.00,93.0,19.4,-67.41,32.19,12.36,-27.03
50.66,0.25,-2.40,9.31,0.00,93.0,19.4,-63.79,32.19,3.80,-28.24
50.70,0.68,-1.51,9.23,0.00,93.0,19.4,-63.79,32.41,0.13,-27.03
50.74,0.74,-2.20,9.10,0.00,93.0,19.4,-273.15,32.85,-5.98,-24.62
50.78,0.34,-0.37,9.40,0.00,93.0,19.4,-273.15,31.98,-8.42,-20.99
50.82,0.28,-0.91,8.91,0.00,93.0,19.4,-80.14,31.98,-16.98,-18.58
50.86,0.74,0.29,9.23,0.00,93.0,19.4,-80.14,31.34,-15.75,-13.75
50.90,0.84,0.27,9.25,0.00,93.0,19.4,-80.14,32.19,-16.98,-7.71
50.94,0.53,0.89,9.13,0.00,93.0,19.4,-67.41,31.98,-26.75,-1.67
50.98,0.23,0.50,9.16,0.00,93.0,19.4,-60.89,32.41,-25.53,5.58
51.02,0.00,0.95,8.95,0.00,93.0,19.4,-80.14,32.19,-30.42,10.41
51.06,0.65,1.70,9.59,0.00,93.0,19.4,-273.15,32.85,-35.31,18.87
51.10,0.38,1.69,9.08,0.00,93.0,19.4,-273.15,32.19,-31.64,27.32
51.14,0.39,1.37,9.38,0.00,93.0,19.4,-80.14,32.19,-34.09,29.74
51.18,0.20,0.96,9.34,0.00,93.0,19.4,-273.15,32.63,-31.64,35.78
51.22,0.17,1.33,9.25,0.00,93.0,19.4,-72.30,32.41,-32.86,33.36
51.26,0.28,1.46,9.19,0.00,93.0,19.4,-273.15,31.76,-29.20,43.02
51.30,0.31,1.45,9.13,0.00,93.0,19.4,-273.15,32.19,-29.20,35.78
51.34,0.29,1.29,9.42,0.00,93.0,19.4,-273.15,32.19,-26.75,32.15
51.38,0.51,0.68,9.29,0.00,93.0,19.4,-72.30,32.41,-26.75,30.94
51.42,0.50,0.09,9.58,0.00,93.0,19.4,-273.15,32.41,-23.09,27.32
51.46,0.69,0.42,9.46,0.00,93.0,19.4,-273.15,31.98,-16.98,20.07
51.50,0.46,0.37,9.06,0.00,93.0,19.4,-273.15,32.19,-8.42,17.66
51.54,0.37,0.08,9.20,0.00,93.0,19.4,-273.15,31.76,-2.31,17.66
51.58,0.50,-0.41,9.39,0.00,93.0,19.4,-273.15,32.41,1.36,8.00
51.62,0.42,-0.63,9.22,0.00,93.0,19.4,-80.14,32.85,9.91,5.58
51.66,0.39,-1.05,9.18,0.00,93.0,19.4,-273.15,32.19,16.02,-5.29
