Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
177.68,0.28,-2.56,9.0,16.44,95.0,22.1,19.39,37.96,,
177.72,0.11,-2.61,8.83,16.44,95.0,22.1,19.74,36.65,,
177.76,0.32,-3.16,8.84,16.44,95.0,22.1,19.39,37.69,,
177.8,0.28,-2.95,8.81,16.44,95.0,22.1,19.74,37.43,,
177.84,0.3,-2.86,8.81,16.44,95.0,22.1,19.86,36.65,-30.038,-7.029999999999999
177.88,0.18,-3.47,8.97,16.44,95.0,22.1,19.97,36.65,-30.528,-7.996
177.92,0.17,-3.38,8.86,16.44,95.0,22.1,20.79,37.16,-29.55,-8.238000000000001
177.96,0.23,-3.77,8.92,16.44,95.0,22.1,19.62,37.43,-26.862000000000002,-8.722
178.0,0.34,-4.12,9.1,16.44,95.0,22.1,19.39,37.69,-25.884000000000004,-10.654
178.04,0.31,-3.62,9.16,16.44,95.0,22.1,19.86,36.9,-22.462,-12.344
178.08,0.21,-3.08,8.87,16.44,95.0,22.1,19.15,37.96,-20.018,-12.102
178.12,0.35,-3.45,8.96,16.44,95.0,22.1,19.74,36.65,-16.108,-13.791999999999998
178.16,0.29,-3.06,8.96,16.44,95.0,22.1,19.39,36.9,-13.907999999999998,-14.032
178.2,0.44,-3.01,8.83,16.44,95.0,22.1,19.74,37.16,-12.196,-14.516
178.24,0.38,-3.2,9.01,16.44,95.0,22.1,20.09,36.65,-10.73,-14.274000000000001
178.28,0.05,-2.43,9.44,16.44,95.0,22.1,19.97,36.65,-8.286,-15.24
178.32,0.0,-1.57,8.83,16.44,95.0,22.1,19.27,36.65,-6.33,-16.932
178.36,0.19,-2.55,9.3,16.44,95.0,22.1,19.86,37.43,-4.62,-17.416
178.4,0.25,-2.31,9.33,16.44,95.0,22.1,19.39,37.96,-1.688,-17.898
178.44,0.86,-2.15,8.94,16.44,95.0,22.1,20.09,37.43,0.26800000000000007,-18.624000000000002
178.48,0.52,-1.58,9.03,16.44,95.0,22.1,19.51,37.69,1.98,-19.832
178.52,-0.03,-1.3,8.85,16.44,95.0,22.1,20.21,37.16,2.712,-20.314
178.56,0.11,-0.81,8.83,16.44,95.0,22.1,20.32,36.39,3.936,-21.038
178.6,-0.38,-1.76,8.97,16.44,95.0,22.1,18.68,35.65,4.67,-22.004
178.64,0.15,-1.06,9.06,16.44,95.0,22.1,19.74,36.65,5.892,-23.454
178.68,0.67,-0.4,9.26,16.44,95.0,22.1,19.27,36.65,6.380000000000001,-24.662
178.72,0.48,-0.88,9.27,16.44,95.0,22.1,19.74,36.14,5.892,-23.454
178.76,0.56,-0.24,9.23,16.44,95.0,22.1,18.45,37.69,7.114,-24.421999999999997
178.8,0.08,-0.59,9.17,16.44,95.0,22.1,19.39,37.69,8.580000000000002,-23.698
178.84,0.23,-0.46,9.16,16.44,95.0,22.1,20.44,35.4,9.314000000000002,-23.698
178.88,0.37,0.36,9.21,16.44,95.0,22.1,20.09,36.9,11.758,-22.25
178.92,-0.05,0.15,9.02,16.44,95.0,22.1,19.97,36.65,13.958000000000002,-22.25
178.96,0.2,-0.27,9.22,16.44,95.0,22.1,20.79,37.96,14.690000000000001,-20.074
179.0,0.0,0.59,9.12,16.44,95.0,22.1,23.2,35.4,16.646,-18.866
179.04,-0.26,0.22,8.97,16.44,95.0,22.1,18.92,37.69,19.09,-17.898000000000003
179.08,0.3,0.12,9.11,16.44,95.0,22.1,19.74,36.65,21.29,-16.206
179.12,-0.17,0.57,9.08,16.44,95.0,22.1,19.27,36.65,23.49,-14.758000000000001
179.16,0.09,0.6,9.54,16.44,95.0,22.1,19.74,35.4,26.18,-14.276
179.2,-0.2,1.02,8.97,16.44,95.0,22.1,19.62,36.9,26.668,-13.552000000000001
179.24,0.32,1.29,9.42,16.44,95.0,22.1,19.15,36.9,28.622000000000003,-11.138
179.28,0.35,1.18,9.24,16.44,95.0,22.1,19.15,36.9,29.356,-9.930000000000001
179.32,0.28,1.66,9.49,16.44,95.0,22.1,19.39,37.69,31.556,-9.446
179.36,-0.07,1.99,9.45,16.44,95.0,22.1,19.97,35.4,31.8,-7.514
179.4,0.69,1.73,8.95,16.44,95.0,22.1,19.97,36.65,32.29,-5.098000000000001
179.44,0.39,2.16,8.91,16.44,95.0,22.1,18.92,37.69,32.29,-4.614
179.48,0.18,2.03,8.96,16.44,95.0,22.1,18.92,37.69,32.534,-3.166
179.52,0.1,2.17,9.59,16.44,95.0,22.1,19.39,38.77,31.556,-0.025999999999999978
179.56,0.16,1.74,9.43,16.44,95.0,22.1,19.27,36.65,32.288,0.21600000000000003
179.6,0.28,1.96,9.32,16.44,95.0,22.1,19.74,36.65,33.019999999999996,1.908
179.64,0.07,2.35,8.9,16.44,95.0,22.1,19.15,37.43,32.532000000000004,5.048
179.68,0.11,2.43,8.52,16.44,95.0,22.1,19.51,36.65,31.8,5.532
