Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
219.33,0.25,-4.03,8.91,21.58,95.0,23.1,19.74,44.28,-42.25,-3.24
219.37,0.36,-4.00,8.90,21.58,95.0,23.1,19.39,42.63,-41.03,-5.65
219.41,0.47,-4.28,9.27,21.58,95.0,23.1,19.74,42.00,-43.47,-10.48
219.45,0.24,-3.22,8.72,21.58,95.0,23.1,19.51,39.62,-42.25,-24.98
219.49,0.26,-3.87,8.88,21.58,95.0,23.1,19.51,40.49,-36.14,-29.81
219.53,0.39,-3.73,8.66,21.58,95.0,23.1,19.27,41.08,-39.81,-24.98
219.57,-0.31,-2.77,8.94,21.58,95.0,23.1,18.68,42.32,-34.92,-28.60
219.61,0.10,-2.69,9.31,21.58,95.0,23.1,18.92,42.63,-28.81,-35.85
219.65,0.28,-3.17,8.34,21.58,95.0,23.1,19.51,40.49,-27.58,-43.10
219.69,0.94,-2.66,8.18,21.58,95.0,23.1,19.27,41.08,-27.58,-37.06
219.73,-0.16,-2.59,9.33,21.58,95.0,23.1,19.04,39.62,-23.92,-40.68
219.77,0.18,-2.67,9.02,21.58,95.0,23.1,19.39,42.63,-20.25,-43.10
219.81,0.27,-2.21,9.00,21.58,95.0,23.1,18.92,42.00,-23.92,-43.10
219.85,-0.16,-1.73,8.89,21.58,95.0,23.1,18.21,40.78,-17.81,-51.55
219.89,0.97,-1.31,9.08,21.58,95.0,23.1,18.92,42.00,-19.03,-45.51
219.93,0.25,-1.05,8.77,21.58,95.0,23.1,19.15,42.32,-14.14,-51.55
219.97,0.26,-0.67,9.14,21.58,95.0,23.1,19.51,40.49,-11.70,-50.34
220.01,0.23,-0.73,8.89,21.58,95.0,23.1,19.15,42.00,-16.58,-46.72
220.05,-0.02,-0.44,8.91,21.58,95.0,23.1,19.51,40.78,-14.14,-50.34
220.09,0.30,-0.58,8.99,21.58,95.0,23.1,19.97,39.62,-10.47,-49.13
220.13,-0.03,0.34,8.81,21.58,95.0,23.1,18.92,42.32,-10.47,-40.68
220.17,-0.09,-0.09,9.11,21.58,95.0,23.1,20.21,39.62,-6.81,-46.72
220.21,0.42,0.94,8.75,21.58,95.0,23.1,18.92,42.32,-6.81,-37.06
220.25,0.02,0.61,9.45,21.58,95.0,23.1,19.51,39.62,-3.14,-41.89
220.29,0.60,1.90,8.98,21.58,95.0,23.1,19.74,39.62,1.75,-38.26
220.33,-0.28,1.95,9.22,21.58,95.0,23.1,19.97,41.08,-0.70,-29.81
220.37,0.04,2.38,9.15,21.58,95.0,23.1,19.62,41.38,6.64,-33.43
220.41,-0.15,2.31,9.32,21.58,95.0,23.1,18.92,42.63,12.75,-27.39
220.45,0.23,2.76,9.44,21.58,95.0,23.1,19.04,42.00,11.52,-26.19
220.49,0.05,3.04,9.01,21.58,95.0,23.1,19.15,40.49,18.86,-27.39
220.53,0.07,2.40,9.39,21.58,95.0,23.1,19.15,40.78,21.30,-26.19
220.57,0.42,2.55,9.33,21.58,95.0,23.1,19.97,40.49,28.63,-22.56
220.61,0.04,2.45,9.27,21.58,95.0,23.1,19.04,41.08,27.41,-21.35
220.65,0.30,2.30,9.33,21.58,95.0,23.1,19.04,39.62,32.30,-12.90
220.69,0.23,2.26,9.35,21.58,95.0,23.1,18.92,42.32,31.08,-9.28
220.73,0.20,1.90,9.25,21.58,95.0,23.1,19.62,41.38,38.41,-12.90
220.77,0.12,2.29,8.92,21.58,95.0,23.1,19.27,41.08,37.19,-2.03
220.81,0.34,2.74,9.31,21.58,95.0,23.1,18.92,42.32,44.52,-2.03
220.85,0.14,2.05,9.44,21.58,95.0,23.1,19.74,40.78,43.30,-3.24
220.89,0.20,1.90,9.03,21.58,95.0,23.1,19.39,41.38,42.08,4.01
220.93,-0.09,1.28,9.36,21.58,95.0,23.1,18.80,42.63,51.86,6.43
220.97,0.19,1.35,9.05,21.58,95.0,23.1,19.27,37.16,49.41,6.43
221.01,0.29,1.72,9.01,21.58,95.0,23.1,19.51,41.08,46.97,17.30
221.05,0.40,1.45,9.25,21.58,95.0,23.1,18.92,42.32,49.41,18.50
221.09,0.40,0.82,8.92,21.58,95.0,23.1,18.92,42.32,50.63,24.54
221.13,0.31,0.14,9.36,21.58,95.0,23.1,19.27,41.08,46.97,24.54
221.17,0.12,0.54,8.84,21.58,95.0,23.1,19.39,42.32,46.97,29.37
221.21,0.28,0.35,9.21,21.58,95.0,23.1,18.92,41.38,38.41,31.79
221.25,0.28,0.40,9.07,21.58,95.0,23.1,18.33,40.78,34.75,37.83
221.29,0.23,0.06,8.94,21.58,95.0,23.1,19.74,41.38,29.86,37.83
221.33,0.06,-0.54,9.32,21.58,95.0,23.1,18.92,42.63,31.08,42.66
221.37,0.20,-0.62,9.06,21.58,95.0,23.1,18.92,42.32,22.52,45.08
221.41,0.22,-0.47,9.05,21.58,95.0,23.1,19.62,42.63,13.97,40.24
221.45,0.30,-0.50,9.14,21.58,95.0,23.1,19.39,41.38,2.97,45.08
221.49,0.30,-0.71,9.01,21.58,95.0,23.1,18.92,42.63,1.75,47.49
221.53,0.19,-1.19,9.03,21.58,95.0,23.1,19.39,41.38,-12.92,46.28
221.57,0.16,-1.44,9.04,21.58,95.0,23.1,19.04,41.08,-17.81,41.45
221.61,0.18,-1.53,8.95,21.58,95.0,23.1,19.39,39.90,-21.47,45.08
221.65,0.21,-1.67,9.22,21.58,95.0,23.1,18.92,42.63,-23.92,40.24
221.69,0.26,-1.37,8.93,21.58,95.0,23.1,18.80,42.32,-32.47,41.45
221.73,0.33,-1.88,8.94,21.58,95.0,23.1,19.51,40.78,-33.69,37.83
221.77,0.15,-1.86,8.75,21.58,95.0,23.1,19.51,39.62,-41.03,37.83
221.81,0.25,-2.30,8.84,21.58,95.0,23.1,19.15,40.78,-37.36,41.45
221.85,0.21,-2.91,9.23,21.58,95.0,23.1,19.51,42.32,-37.36,37.83
221.89,0.29,-2.79,9.10,21.58,95.0,23.1,19.15,42.00,-47.14,39.04
221.93,0.27,-2.82,8.90,21.58,95.0,23.1,19.51,41.69,-47.14,39.04
221.97,0.22,-2.73,9.05,21.58,95.0,23.1,19.15,40.19,-43.47,26.96
222.01,0.50,-2.91,8.93,21.58,95.0,23.1,19.74,40.78,-50.80,23.34
222.05,0.42,-3.81,8.94,21.58,95.0,23.1,18.92,41.08,-49.58,20.92
222.09,0.05,-3.90,9.02,21.58,95.0,23.1,20.32,42.32,-48.36,14.88
222.13,0.27,-3.80,8.67,21.58,95.0,23.1,19.74,39.62,-44.69,-0.82
222.17,0.17,-4.11,8.59,21.58,95.0,23.1,19.74,40.78,-47.14,-6.86
222.21,0.24,-3.39,8.94,21.58,95.0,23.1,18.45,41.08,-47.14,-10.48
222.25,0.65,-4.19,9.35,21.58,95.0,23.1,18.45,42.32,-41.03,-17.73
222.29,0.02,-3.31,8.78,21.58,95.0,23.1,22.17,42.63,-34.92,-27.39
222.33,0.15,-3.68,8.66,21.58,95.0,23.1,19.27,40.49,-36.14,-29.81
222.37,0.30,-2.29,8.57,21.58,95.0,23.1,19.97,40.49,-33.69,-40.68
222.41,0.30,-3.41,8.33,21.58,95.0,23.1,19.74,40.78,-28.81,-40.68
222.45,-0.03,-2.04,9.42,21.58,95.0,23.1,19.39,42.63,-25.14,-39.47
222.49,0.65,-2.85,8.44,21.58,95.0,23.1,19.39,42.32,-23.92,-43.10
222.53,1.17,-3.31,8.82,21.58,95.0,23.1,18.80,41.38,-21.47,-47.93
222.57,0.03,-2.17,9.09,21.58,95.0,23.1,19.97,41.08,-19.03,-46.72
222.61,0.14,-1.50,9.05,21.58,95.0,23.1,19.27,40.49,-19.03,-43.10
222.65,0.29,-1.78,9.25,21.58,95.0,23.1,19.97,40.78,-14.14,-49.13
222.69,-0.07,-1.01,8.91,21.58,95.0,23.1,19.15,42.63,-15.36,-45.51
222.73,0.45,-0.81,9.25,21.58,95.0,23.1,19.27,40.49,-17.81,-44.30
222.77,0.18,-1.23,9.05,21.58,95.0,23.1,19.27,42.32,-12.92,-45.51
222.81,0.35,-0.39,9.01,21.58,95.0,23.1,19.27,41.08,-12.92,-43.10
222.85,0.11,-0.86,9.06,21.58,95.0,23.1,19.74,40.49,-10.47,-50.34
222.89,-0.03,0.03,8.86,21.58,95.0,23.1,19.39,42.32,-11.70,-41.89
222.93,0.57,0.08,9.04,21.58,95.0,23.1,18.80,39.62,-6.81,-47.93
222.97,0.47,0.30,8.88,21.58,95.0,23.1,18.92,42.63,-1.92,-41.89
223.01,0.30,0.25,8.63,21.58,95.0,23.1,18.92,42.32,-1.92,-38.26
223.05,0.02,1.60,8.70,21.58,95.0,23.1,19.15,40.78,-0.70,-39.47
223.09,0.03,0.79,9.11,21.58,95.0,23.1,19.74,40.49,0.53,-39.47
223.13,0.58,1.94,9.22,21.58,95.0,23.1,19.39,42.32,7.86,-32.22
223.17,-0.40,2.45,9.45,21.58,95.0,23.1,19.51,40.49,4.19,-28.60
223.21,-0.25,2.34,9.46,21.58,95.0,23.1,18.45,41.08,7.86,-23.77
223.25,-0.20,2.57,9.11,21.58,95.0,23.1,20.21,40.19,18.86,-28.60
223.29,0.22,3.08,8.96,21.58,95.0,23.1,18.80,42.32,18.86,-27.39
223.33,0.25,2.46,9.33,21.58,95.0,23.1,18.92,42.32,23.75,-17.73
223.37,0.40,2.38,9.37,21.58,95.0,23.1,18.92,42.63,31.08,-17.73
223.41,0.16,2.28,9.18,21.58,95.0,23.1,18.80,42.32,26.19,-16.52
223.45,0.11,2.06,9.31,21.58,95.0,23.1,19.51,39.62,31.08,-16.52
223.49,0.27,1.69,9.34,21.58,95.0,23.1,18.92,41.38,38.41,-12.90
223.53,0.31,1.99,9.35,21.58,95.0,23.1,19.15,40.78,42.08,-8.07
223.57,0.46,2.32,9.09,21.58,95.0,23.1,19.74,40.49,43.30,-8.07
223.61,0.18,2.78,8.97,21.58,95.0,23.1,18.92,42.63,46.97,-2.03
223.65,0.17,1.66,9.39,21.58,95.0,23.1,16.53,42.32,46.97,-2.03
223.69,0.27,1.65,9.05,21.58,95.0,23.1,19.97,40.78,43.30,2.80
223.73,0.24,1.35,9.22,21.58,95.0,23.1,19.51,39.62,46.97,4.01
223.77,0.29,1.06,9.54,21.58,95.0,23.1,19.51,40.78,43.30,10.05
223.81,0.29,1.70,9.05,21.58,95.0,23.1,18.92,41.38,45.74,14.88
223.85,0.23,1.20,8.95,21.58,95.0,23.1,20.09,40.49,54.30,18.50
223.89,0.19,0.58,9.19,21.58,95.0,23.1,19.97,42.32,53.08,19.71
223.93,0.28,0.41,9.22,21.58,95.0,23.1,19.74,40.49,49.41,22.13
223.97,0.23,0.15,9.23,21.58,95.0,23.1,18.92,42.32,44.52,34.21
224.01,0.22,0.14,9.37,21.58,95.0,23.1,18.92,42.00,37.19,36.62
224.05,0.21,0.48,8.84,21.58,95.0,23.1,18.92,42.63,38.41,35.41
224.09,0.36,-0.13,8.74,21.58,95.0,23.1,19.74,39.33,28.63,35.41
224.13,0.21,-0.65,9.31,21.58,95.0,23.1,19.15,40.78,24.97,37.83
224.17,0.23,-0.47,9.02,21.58,95.0,23.1,19.27,42.96,13.97,39.04
224.21,0.20,-0.71,9.11,21.58,95.0,23.1,18.80,42.32,2.97,43.87
224.25,0.22,-0.57,9.09,21.58,95.0,23.1,19.15,42.63,2.97,46.28
224.29,0.20,-1.04,9.00,21.58,95.0,23.1,19.27,40.49,-4.36,46.28
224.33,0.25,-1.13,8.94,21.58,95.0,23.1,19.04,41.08,-12.92,40.24
224.37,0.23,-1.39,8.92,21.58,95.0,23.1,19.97,40.49,-14.14,40.24
224.41,0.28,-1.64,9.09,21.58,95.0,23.1,19.51,40.78,-22.70,40.24
224.45,0.23,-1.48,8.93,21.58,95.0,23.1,19.51,40.49,-30.03,41.45
224.49,0.22,-1.80,8.96,21.58,95.0,23.1,15.44,41.08,-31.25,42.66
224.53,0.29,-1.96,8.96,21.58,95.0,23.1,19.04,42.32,-38.58,45.08
224.57,0.18,-1.88,8.58,21.58,95.0,23.1,18.92,41.38,-43.47,41.45
224.61,0.16,-2.48,8.82,21.58,95.0,23.1,19.15,40.78,-36.14,41.45
224.65,0.35,-2.39,8.60,21.58,95.0,23.1,18.92,42.32,-41.03,42.66
224.69,0.30,-2.61,8.85,21.58,95.0,23.1,18.92,42.32,-45.92,40.24
224.73,0.17,-2.71,9.05,21.58,95.0,23.1,19.27,39.62,-44.69,28.17
224.77,0.26,-2.95,8.84,21.58,95.0,23.1,19.51,40.49,-42.25,25.75
224.81,0.14,-3.22,9.00,21.58,95.0,23.1,19.97,40.49,-45.92,16.09
224.85,0.31,-4.10,8.94,21.58,95.0,23.1,19.27,40.49,-42.25,11.26
224.89,0.21,-3.75,8.91,21.58,95.0,23.1,19.51,40.49,-42.25,1.59
224.93,0.43,-4.04,9.11,21.58,95.0,23.1,19.51,40.78,-47.14,-4.44
224.97,0.31,-3.58,8.94,21.58,95.0,23.1,19.74,39.62,-43.47,-14.11
225.01,0.46,-3.90,9.14,21.58,95.0,23.1,19.97,40.49,-37.36,-21.35
225.05,0.12,-3.11,8.75,21.58,95.0,23.1,19.39,42.63,-34.92,-23.77
225.09,0.45,-4.18,8.97,21.58,95.0,23.1,19.51,40.49,-36.14,-32.22
225.13,0.37,-3.31,8.64,21.58,95.0,23.1,19.04,40.49,-33.69,-33.43
225.17,0.23,-3.68,9.26,21.58,95.0,23.1,19.74,40.49,-33.69,-37.06
225.21,-0.05,-3.01,8.86,21.58,95.0,23.1,19.15,40.78,-27.58,-43.10
225.25,0.42,-2.67,9.42,21.58,95.0,23.1,19.15,41.69,-31.25,-40.68
225.29,0.22,-2.40,9.04,21.58,95.0,23.1,23.08,41.69,-21.47,-46.72
225.33,-0.53,-2.27,8.63,21.58,95.0,23.1,19.51,40.78,-23.92,-49.13
225.37,0.62,-1.61,8.27,21.58,95.0,23.1,19.51,40.49,-17.81,-50.34
225.41,-0.06,-1.22,8.60,21.58,95.0,23.1,19.51,40.49,-15.36,-47.93
225.45,0.51,-1.38,8.83,21.58,95.0,23.1,19.51,39.62,-15.36,-51.55
225.49,0.84,-1.24,8.90,21.58,95.0,23.1,18.92,42.63,-11.70,-49.13
225.53,0.37,-0.97,9.27,21.58,95.0,23.1,19.51,40.49,-12.92,-51.55
225.57,0.61,-0.91,9.04,21.58,95.0,23.1,19.27,41.08,-16.58,-43.10
225.61,0.03,-0.37,9.04,21.58,95.0,23.1,19.15,41.38,-10.47,-50.34
225.65,-0.07,-0.67,8.89,21.58,95.0,23.1,18.92,42.32,-11.70,-40.68
225.69,-0.22,0.76,8.83,21.58,95.0,23.1,19.74,39.62,-8.03,-49.13
225.73,0.54,0.03,9.01,21.58,95.0,23.1,18.80,42.63,-1.92,-45.51
225.77,1.14,0.48,9.42,21.58,95.0,23.1,19.27,41.08,-3.14,-39.47
225.81,0.12,0.24,9.04,21.58,95.0,23.1,19.74,40.49,-1.92,-37.06
225.85,0.04,1.94,8.68,21.58,95.0,23.1,18.80,41.38,-3.14,-34.64
225.89,0.38,1.81,8.66,21.58,95.0,23.1,19.86,40.78,4.19,-38.26
225.93,0.01,2.63,9.02,21.58,95.0,23.1,19.04,40.49,5.41,-27.39
225.97,0.26,2.01,8.90,21.58,95.0,23.1,19.39,42.63,11.52,-27.39
226.01,0.41,2.33,9.01,21.58,95.0,23.1,19.04,40.49,12.75,-23.77
226.05,0.49,2.61,9.16,21.58,95.0,23.1,18.68,41.08,13.97,-21.35
226.09,0.19,2.30,9.35,21.58,95.0,23.1,19.27,40.49,21.30,-20.15
226.13,0.30,2.68,9.33,21.58,95.0,23.1,18.80,41.08,24.97,-23.77
226.17,0.14,2.50,9.35,21.58,95.0,23.1,19.97,41.38,32.30,-20.15
226.21,0.12,2.36,9.50,21.58,95.0,23.1,18.92,42.63,35.97,-12.90
226.25,0.13,2.27,9.30,21.58,95.0,23.1,19.27,42.32,34.75,-6.86
226.29,0.17,1.58,9.57,21.58,95.0,23.1,19.51,38.77,34.75,-3.24
226.33,0.21,2.04,9.32,21.58,95.0,23.1,19.62,41.38,40.86,-8.07
226.37,0.29,2.65,9.14,21.58,95.0,23.1,19.51,41.08,39.63,1.59
226.41,0.20,2.20,9.35,21.58,95.0,23.1,18.80,42.32,44.52,2.80
226.45,0.24,1.54,8.93,21.58,95.0,23.1,19.74,40.78,40.86,-0.82
226.49,0.05,1.05,9.31,21.58,95.0,23.1,19.04,40.49,50.63,7.63
226.53,0.12,1.30,8.91,21.58,95.0,23.1,19.27,40.78,48.19,6.43
226.57,0.24,1.59,9.15,21.58,95.0,23.1,19.39,41.38,46.97,17.30
226.61,0.34,1.36,9.26,21.58,95.0,23.1,19.15,41.69,51.86,19.71
226.65,0.40,0.95,9.05,21.58,95.0,23.1,19.51,40.78,48.19,17.30
226.69,0.12,0.25,9.46,21.58,95.0,23.1,19.51,40.49,48.19,20.92
226.73,0.11,0.42,9.07,21.58,95.0,23.1,18.92,42.32,44.52,31.79
226.77,0.25,0.32,9.17,21.58,95.0,23.1,20.09,42.63,44.52,33.00
226.81,0.32,0.46,9.00,21.58,95.0,23.1,18.80,42.32,33.52,35.41
226.85,0.27,-0.22,9.39,21.58,95.0,23.1,19.74,39.62,32.30,35.41
226.89,0.20,-0.09,8.83,21.58,95.0,23.1,18.80,42.32,21.30,39.04
226.93,0.18,-0.84,9.20,21.58,95.0,23.1,19.62,42.63,18.86,37.83
226.97,0.23,-0.41,9.04,21.58,95.0,23.1,18.92,42.32,12.75,46.28
227.01,0.31,-0.64,9.15,21.58,95.0,23.1,19.74,40.78,5.41,41.45
227.05,0.28,-0.69,8.99,21.58,95.0,23.1,19.86,41.38,1.75,41.45
227.09,0.24,-1.15,9.07,21.58,95.0,23.1,19.97,40.78,-6.81,41.45
227.13,0.23,-1.59,9.05,21.58,95.0,23.1,19.27,40.49,-10.47,47.49
227.17,0.17,-1.36,8.95,21.58,95.0,23.1,19.15,42.63,-19.03,43.87
227.21,0.30,-1.79,9.17,21.58,95.0,23.1,18.80,40.78,-28.81,39.04
227.25,0.37,-1.59,8.90,21.58,95.0,23.1,19.39,42.00,-32.47,46.28
227.29,0.13,-1.83,9.10,21.58,95.0,23.1,19.62,40.78,-32.47,42.66
227.33,0.25,-2.21,8.76,21.58,95.0,23.1,19.04,40.49,-37.36,43.87
227.37,0.18,-1.86,8.78,21.58,95.0,23.1,19.15,40.78,-37.36,39.04
227.41,0.23,-2.46,8.73,21.58,95.0,23.1,18.80,44.97,-45.92,42.66
227.45,0.36,-2.79,8.85,21.58,95.0,23.1,19.51,40.78,-44.69,36.62
227.49,0.31,-2.80,8.90,21.58,95.0,23.1,19.74,39.62,-42.25,30.58
227.53,0.54,-2.89,8.76,21.58,95.0,23.1,19.74,40.49,-39.81,28.17
227.57,0.23,-2.84,8.97,21.58,95.0,23.1,19.74,39.62,-42.25,18.50
227.61,0.37,-3.41,8.78,21.58,95.0,23.1,18.92,42.32,-45.92,19.71
227.65,0.02,-3.87,8.92,21.58,95.0,23.1,20.44,40.49,-39.81,6.43
227.69,-0.04,-3.94,9.01,21.58,95.0,23.1,19.62,40.78,-45.92,-0.82
227.73,0.13,-3.93,8.88,21.58,95.0,23.1,19.51,39.62,-42.25,-11.69
227.77,0.29,-3.63,8.50,21.58,95.0,23.1,19.39,42.32,-41.03,-10.48
227.81,0.77,-4.05,8.88,21.58,95.0,23.1,19.74,40.49,-43.47,-24.98
227.85,0.05,-3.02,8.68,21.58,95.0,23.1,19.74,40.78,-42.25,-26.19
227.89,-0.37,-3.49,9.16,21.58,95.0,23.1,19.04,41.69,-39.81,-32.22
227.93,-0.16,-2.27,9.43,21.58,95.0,23.1,19.39,42.00,-31.25,-33.43
227.97,0.06,-3.23,8.46,21.58,95.0,23.1,19.27,37.43,-33.69,-33.43
228.01,0.82,-2.78,8.52,21.58,95.0,23.1,19.27,41.08,-33.69,-37.06
228.05,0.53,-2.99,8.29,21.58,95.0,23.1,19.62,40.78,-32.47,-44.30
228.09,0.55,-2.80,9.03,21.58,95.0,23.1,18.92,41.08,-28.81,-41.89
228.13,-0.19,-1.95,8.85,21.58,95.0,23.1,19.51,41.38,-27.58,-46.72
228.17,0.29,-1.30,8.58,21.58,95.0,23.1,19.51,41.08,-23.92,-44.30
228.21,0.62,-1.45,8.62,21.58,95.0,23.1,19.51,40.49,-16.58,-53.97
228.25,0.25,-1.06,8.95,21.58,95.0,23.1,19.04,41.08,-16.58,-52.76
228.29,0.60,-0.76,9.34,21.58,95.0,23.1,18.45,42.32,-11.70,-47.93
228.33,-0.08,-1.23,8.87,21.58,95.0,23.1,19.51,40.78,-15.36,-49.13
228.37,0.40,-0.39,9.07,21.58,95.0,23.1,19.86,42.63,-10.47,-51.55
228.41,0.05,-0.38,8.95,21.58,95.0,23.1,19.51,40.78,-11.70,-47.93
228.45,0.58,0.24,9.13,21.58,95.0,23.1,19.39,42.32,-9.25,-43.10
228.49,0.36,-0.07,9.05,21.58,95.0,23.1,19.27,40.49,-5.59,-39.47
228.53,-0.16,0.15,9.05,21.58,95.0,23.1,19.27,39.62,-8.03,-39.47
228.57,-0.25,0.58,9.30,21.58,95.0,23.1,19.74,39.05,0.53,-39.47
228.61,-0.28,1.92,9.26,21.58,95.0,23.1,18.68,41.38,-4.36,-39.47
228.65,0.57,1.27,9.40,21.58,95.0,23.1,19.74,40.19,1.75,-38.26
228.69,0.09,1.89,9.05,21.58,95.0,23.1,19.04,40.49,5.41,-28.60
228.73,0.07,1.78,9.18,21.58,95.0,23.1,18.92,42.63,12.75,-28.60
228.77,0.92,2.31,8.99,21.58,95.0,23.1,18.92,42.32,11.52,-23.77
228.81,0.37,3.12,8.83,21.58,95.0,23.1,19.62,42.63,13.97,-29.81
228.85,0.30,2.73,9.08,21.58,95.0,23.1,19.51,40.49,22.52,-27.39
228.89,0.15,2.53,9.39,21.58,95.0,23.1,19.39,42.63,27.41,-21.35
228.93,0.15,2.64,9.28,21.58,95.0,23.1,18.80,42.32,23.75,-20.15
228.97,0.26,2.26,9.23,21.58,95.0,23.1,18.92,42.63,34.75,-15.32
229.01,0.23,2.26,9.34,21.58,95.0,23.1,18.80,42.32,31.08,-15.32
229.05,0.12,1.90,9.15,21.58,95.0,23.1,20.90,41.69,35.97,-12.90
229.09,0.39,1.85,9.34,21.58,95.0,23.1,19.27,40.49,37.19,-3.24
229.13,-0.10,2.50,9.26,21.58,95.0,23.1,18.21,42.63,40.86,-4.44
229.17,0.27,2.21,9.46,21.58,95.0,23.1,19.51,40.49,40.86,0.39
229.21,0.07,2.53,8.88,21.58,95.0,23.1,19.51,38.23,39.63,5.22
229.25,0.04,1.41,9.32,21.58,95.0,23.1,18.92,41.38,43.30,2.80
229.29,0.32,1.23,9.29,21.58,95.0,23.1,19.51,40.19,46.97,5.22
229.33,0.16,1.52,9.12,21.58,95.0,23.1,18.80,40.49,44.52,18.50
229.37,0.35,1.20,9.02,21.58,95.0,23.1,18.92,42.63,51.86,16.09
229.41,0.13,1.07,9.46,21.58,95.0,23.1,18.45,42.32,49.41,23.34
229.45,0.11,0.59,9.08,21.58,95.0,23.1,19.27,41.08,46.97,25.75
229.49,0.12,0.19,9.16,21.58,95.0,23.1,18.45,42.32,46.97,30.58
229.53,0.28,0.75,9.04,21.58,95.0,23.1,19.97,39.62,43.30,26.96
229.57,0.36,0.36,9.29,21.58,95.0,23.1,19.27,40.49,40.86,35.41
229.61,0.30,0.52,8.87,21.58,95.0,23.1,19.74,39.62,31.08,34.21
229.65,0.24,-0.57,9.31,21.58,95.0,23.1,18.92,42.32,28.63,42.66
229.69,0.23,-0.58,9.21,21.58,95.0,23.1,19.27,41.08,18.86,45.08
229.73,0.26,-0.38,9.00,21.58,95.0,23.1,19.51,40.49,17.64,39.04
229.77,0.26,-0.57,9.18,21.58,95.0,23.1,19.97,39.62,9.08,40.24
229.81,0.24,-0.64,9.01,21.58,95.0,23.1,19.04,39.33,1.75,47.49
229.85,0.21,-0.99,9.02,21.58,95.0,23.1,19.39,42.63,-4.36,46.28
229.89,0.26,-1.23,9.05,21.58,95.0,23.1,19.04,42.32,-15.36,48.70
229.93,0.22,-1.49,9.15,21.58,95.0,23.1,19.15,40.78,-16.58,41.45
229.97,0.28,-1.34,8.87,21.58,95.0,23.1,19.15,41.38,-25.14,39.04
230.01,0.28,-1.64,8.90,21.58,95.0,23.1,19.15,41.38,-23.92,37.83
230.05,0.23,-2.10,9.24,21.58,95.0,23.1,19.27,42.32,-28.81,40.24
230.09,0.26,-1.50,8.69,21.58,95.0,23.1,18.92,42.32,-33.69,42.66
230.13,0.33,-2.22,8.89,21.58,95.0,23.1,19.74,40.49,-34.92,37.83
230.17,0.14,-2.38,8.65,21.58,95.0,23.1,18.45,41.08,-44.69,42.66
230.21,0.21,-2.35,8.92,21.58,95.0,23.1,18.21,40.78,-38.58,37.83
230.25,0.20,-2.74,9.19,21.58,95.0,23.1,19.62,41.38,-41.03,33.00
230.29,0.12,-2.51,8.85,21.58,95.0,23.1,18.45,42.63,-39.81,31.79
230.33,0.19,-3.13,9.02,21.58,95.0,23.1,19.62,41.38,-45.92,24.54
230.37,0.23,-3.34,8.94,21.58,95.0,23.1,18.92,42.63,-41.03,17.30
230.41,0.35,-3.86,9.01,21.58,95.0,23.1,18.92,41.08,-48.36,16.09
230.45,0.37,-3.65,8.84,21.58,95.0,23.1,18.92,42.32,-43.47,8.84
230.49,0.36,-3.88,8.90,21.58,95.0,23.1,18.68,41.08,-41.03,0.39
230.53,0.42,-3.95,8.92,21.58,95.0,23.1,19.27,42.00,-45.92,-10.48
230.57,0.17,-3.60,9.05,21.58,95.0,23.1,19.39,41.08,-39.81,-15.32
230.61,0.44,-3.13,8.91,21.58,95.0,23.1,17.97,41.38,-42.25,-21.35
230.65,0.85,-3.73,8.72,21.58,95.0,23.1,18.92,42.00,-37.36,-27.39
230.69,0.49,-3.02,8.78,21.58,95.0,23.1,19.74,40.19,-37.36,-38.26
230.73,0.15,-3.12,9.21,21.58,95.0,23.1,18.92,42.32,-32.47,-33.43
