Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
252.72,0.23,3.44,8.87,21.41,94.0,21.9,19.39,28.93,34.55,-20.34
252.76,-0.07,3.15,9.12,21.41,94.0,21.9,19.74,29.13,39.44,-21.55
252.80,0.25,2.79,9.10,21.41,94.0,21.9,19.27,28.93,45.55,-11.89
252.84,0.33,2.73,9.20,21.41,94.0,21.9,19.51,29.13,46.77,-13.09
252.88,0.23,2.37,9.42,21.41,94.0,21.9,19.39,28.55,44.33,-8.26
252.92,0.16,2.70,9.32,21.41,94.0,21.9,19.27,28.74,50.44,-3.43
252.96,0.54,2.28,9.64,21.41,94.0,21.9,19.27,28.74,50.44,2.61
253.00,0.30,3.55,8.81,21.41,94.0,21.9,19.51,28.74,51.66,2.61
253.04,0.19,2.46,9.36,21.41,94.0,21.9,19.15,28.18,47.99,6.23
253.08,0.51,2.09,9.25,21.41,94.0,21.9,19.27,28.55,54.10,11.06
253.12,0.27,1.23,9.45,21.41,94.0,21.9,19.27,28.37,55.33,15.89
253.16,0.63,0.85,9.44,21.41,94.0,21.9,19.51,29.13,52.88,20.73
253.20,-0.00,2.29,8.94,21.41,94.0,21.9,19.62,28.74,55.33,21.93
253.24,0.27,1.63,9.23,21.41,94.0,21.9,19.15,28.18,55.33,25.56
253.28,0.14,1.23,8.64,21.41,94.0,21.9,19.27,28.74,57.77,30.39
253.32,0.08,0.88,8.86,21.41,94.0,21.9,19.15,28.55,52.88,31.60
253.36,0.11,0.60,8.88,21.41,94.0,21.9,19.15,28.18,49.22,31.60
253.40,0.19,1.20,8.77,21.41,94.0,21.9,19.74,28.55,41.88,37.64
253.44,0.24,0.82,8.73,21.41,94.0,21.9,19.39,28.74,36.99,42.47
253.48,0.24,-0.32,9.17,21.41,94.0,21.9,19.15,28.55,29.66,43.67
253.52,0.05,-0.32,8.90,21.41,94.0,21.9,19.04,29.13,21.11,46.09
253.56,0.23,-0.73,9.03,21.41,94.0,21.9,17.85,28.37,13.77,48.51
253.60,0.39,-0.23,9.12,21.41,94.0,21.9,19.15,28.55,6.44,48.51
253.64,0.38,-0.46,9.04,21.41,94.0,21.9,19.15,28.37,1.55,46.09
253.68,0.33,-0.78,8.99,21.41,94.0,21.9,19.04,29.13,-8.23,40.05
253.72,0.20,-1.23,8.84,21.41,94.0,21.9,19.51,28.74,-14.34,40.05
253.76,0.30,-1.82,9.06,21.41,94.0,21.9,19.04,29.13,-20.45,36.43
253.80,0.27,-1.60,9.21,21.41,94.0,21.9,19.15,28.93,-26.56,38.84
253.84,0.38,-1.70,9.27,21.41,94.0,21.9,19.04,28.55,-29.00,40.05
253.88,0.16,-1.48,8.95,21.41,94.0,21.9,19.39,28.37,-30.22,42.47
253.92,0.38,-2.03,9.00,21.41,94.0,21.9,19.15,28.55,-38.78,40.05
253.96,0.25,-2.43,9.15,21.41,94.0,21.9,19.15,28.18,-41.22,37.64
254.00,0.28,-2.04,8.67,21.41,94.0,21.9,19.39,28.18,-41.22,42.47
254.04,0.31,-2.74,8.79,21.41,94.0,21.9,19.15,27.99,-43.67,41.26
254.08,0.34,-2.78,8.97,21.41,94.0,21.9,19.39,27.44,-46.11,36.43
254.12,0.41,-2.91,8.86,21.41,94.0,21.9,19.39,28.74,-47.33,30.39
254.16,0.39,-2.90,8.72,21.41,94.0,21.9,19.04,28.37,-46.11,20.73
254.20,0.40,-3.43,8.78,21.41,94.0,21.9,19.51,28.18,-47.33,13.48
254.24,0.30,-3.78,8.64,21.41,94.0,21.9,19.04,28.55,-51.00,2.61
254.28,0.19,-4.75,8.97,21.41,94.0,21.9,19.04,27.81,-47.33,-8.26
254.32,0.48,-3.84,8.02,21.41,94.0,21.9,20.90,28.74,-44.89,-11.89
254.36,0.32,-4.10,8.67,21.41,94.0,21.9,19.15,28.18,-48.56,-17.92
