Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
120.17,-0.17,5.27,9.36,32.58,94.0,21.4,19.39,27.62,-71.58,100.01
120.21,-0.06,6.84,8.95,32.58,94.0,21.4,19.62,27.81,-61.80,100.01
120.25,0.28,5.19,9.16,32.58,94.0,21.4,19.27,27.99,-61.80,100.01
120.29,0.02,2.96,9.18,32.58,94.0,21.4,19.39,27.44,-63.03,101.22
120.53,0.21,0.88,8.94,32.58,94.0,21.4,19.62,27.44,77.52,-70.30
120.57,0.36,1.50,8.77,32.58,94.0,21.4,19.15,27.99,86.08,-75.13
120.61,0.34,1.13,9.04,32.58,94.0,21.4,19.15,27.99,88.52,-79.96
120.65,0.13,0.69,8.62,32.58,94.0,21.4,19.39,27.81,89.74,-79.96
120.69,0.01,-0.23,8.58,32.58,94.0,21.4,19.04,27.99,86.08,-79.96
120.73,0.15,-0.86,8.75,32.58,94.0,21.4,19.51,27.81,89.74,-76.33
120.77,0.21,-0.54,8.75,32.58,94.0,21.4,19.27,27.81,90.96,-71.50
120.81,0.34,-0.57,8.83,32.58,94.0,21.4,19.04,28.55,90.96,-71.50
120.85,0.34,-1.26,8.79,32.58,94.0,21.4,18.80,27.99,87.30,-70.30
120.89,0.38,-2.16,8.75,32.58,94.0,21.4,17.01,27.99,34.75,-64.26
120.93,0.17,-3.02,8.71,32.58,94.0,21.4,19.62,27.44,27.41,-59.43
120.97,0.16,-2.86,8.67,32.58,94.0,21.4,19.04,28.18,21.30,-57.01
121.01,0.40,-3.22,8.74,32.58,94.0,21.4,19.15,28.18,17.64,-48.55
121.05,0.43,-3.64,9.28,32.58,94.0,21.4,19.62,27.62,20.08,-40.10
121.09,0.41,-3.27,8.98,32.58,94.0,21.4,19.39,27.26,20.08,-31.65
121.13,0.23,-3.87,8.67,32.58,94.0,21.4,19.62,27.62,21.30,-21.98
121.17,0.22,-4.79,8.93,32.58,94.0,21.4,19.39,27.99,21.30,-15.94
121.21,0.18,-5.90,8.77,32.58,94.0,21.4,19.51,27.81,21.30,-8.70
121.25,0.21,-7.14,8.86,32.58,94.0,21.4,19.62,27.44,21.30,-2.66
121.29,0.36,-7.24,8.89,32.58,94.0,21.4,18.92,28.37,16.41,-1.45
121.33,0.73,-7.24,9.35,32.58,94.0,21.4,19.51,27.81,11.52,7.01
121.37,0.33,-5.46,9.47,32.58,94.0,21.4,18.33,27.81,4.19,11.84
121.41,0.87,-7.17,9.09,32.58,94.0,21.4,19.27,27.99,-3.14,16.67
121.45,-0.22,-4.12,8.91,32.58,94.0,21.4,19.39,27.44,-10.47,21.50
121.49,0.11,-4.47,9.28,32.58,94.0,21.4,19.04,28.37,-19.03,22.71
121.53,0.71,-3.62,8.87,32.58,94.0,21.4,19.27,27.81,-31.25,26.33
121.57,0.28,-2.54,7.74,32.58,94.0,21.4,19.15,27.44,-43.47,29.95
121.61,0.35,-1.10,8.41,32.58,94.0,21.4,19.39,27.62,-54.47,34.79
121.65,-0.34,-0.85,8.06,32.58,94.0,21.4,19.51,27.44,-63.03,35.99
121.69,0.50,0.42,8.67,32.58,94.0,21.4,19.27,27.26,-74.03,40.82
121.73,-0.15,0.48,8.20,32.58,94.0,21.4,19.27,28.37,-76.47,49.28
121.77,-0.05,-0.04,8.85,32.58,94.0,21.4,19.15,27.99,-85.02,48.07
121.81,0.44,0.55,9.26,32.58,94.0,21.4,19.15,27.81,-86.25,46.86
121.85,0.15,4.31,7.55,32.58,94.0,21.4,19.15,27.81,-87.47,49.28
121.89,-0.03,3.87,8.78,32.58,94.0,21.4,19.15,27.62,-86.25,49.28
121.93,0.48,2.26,9.10,32.58,94.0,21.4,19.39,27.81,-86.25,89.14
121.97,-0.33,4.05,8.51,32.58,94.0,21.4,19.15,27.99,-78.91,95.18
122.01,-0.11,5.19,9.43,32.58,94.0,21.4,19.27,27.81,-74.03,96.38
122.05,0.18,7.18,9.00,32.58,94.0,21.4,19.39,27.26,-69.14,95.18
122.09,0.10,5.47,9.10,32.58,94.0,21.4,19.04,27.81,-74.03,92.76
122.13,-0.10,3.19,8.86,32.58,94.0,21.4,19.74,27.62,-67.91,96.38
122.17,-0.12,2.47,8.91,32.58,94.0,21.4,18.92,27.99,-74.03,92.76
122.21,0.16,4.05,9.00,32.58,94.0,21.4,19.39,28.74,-67.91,96.38
122.25,0.42,5.34,8.90,32.58,94.0,21.4,19.39,25.51,-69.14,95.18
122.29,0.33,3.49,9.16,32.58,94.0,21.4,18.80,27.62,-69.14,95.18
122.33,0.32,1.40,8.95,32.58,94.0,21.4,19.51,27.99,-72.80,92.76
122.37,0.34,0.77,8.81,32.58,94.0,21.4,19.39,27.62,-67.91,95.18
122.41,0.36,1.55,8.88,32.58,94.0,21.4,19.27,28.18,-71.58,-75.13
122.45,0.48,1.35,8.83,32.58,94.0,21.4,19.51,29.13,-67.91,-75.13
122.49,0.21,0.68,8.85,32.58,94.0,21.4,19.04,27.81,-69.14,-76.33
122.53,0.03,-0.17,8.66,32.58,94.0,21.4,19.04,28.18,-69.14,-75.13
122.57,0.17,-0.59,8.79,32.58,94.0,21.4,19.04,27.99,-70.36,-75.13
122.61,0.23,-0.45,8.86,32.58,94.0,21.4,19.04,28.37,-69.14,-72.71
122.65,0.41,-0.64,8.80,32.58,94.0,21.4,19.27,28.18,-71.58,-73.92
122.69,0.36,-1.41,8.98,32.58,94.0,21.4,19.27,27.62,-69.14,-69.09
