Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
98.69,0.23,-0.77,9.13,22.32,95.0,23.3,20.32,42.32,-0.53,24.04
98.73,0.34,-0.79,9.26,22.32,95.0,23.3,19.86,41.38,-0.53,20.41
98.77,0.28,-0.95,9.18,22.32,95.0,23.3,21.13,39.90,-6.64,27.66
98.81,0.27,-1.31,9.31,22.32,95.0,23.3,20.44,41.08,-5.41,19.20
98.85,0.27,-1.10,9.11,22.32,95.0,23.3,20.32,41.38,-11.52,22.83
98.89,0.39,-1.14,9.03,22.32,95.0,23.3,20.79,41.38,-9.08,24.04
98.93,0.34,-1.53,9.28,22.32,95.0,23.3,19.86,41.08,-18.86,22.83
98.97,0.35,-1.35,8.90,22.32,95.0,23.3,20.44,39.90,-11.52,22.83
99.01,0.12,-1.49,9.05,22.32,95.0,23.3,21.25,40.19,-16.41,20.41
99.05,0.20,-1.67,9.13,22.32,95.0,23.3,20.32,41.38,-21.30,20.41
99.09,0.22,-1.82,9.11,22.32,95.0,23.3,20.90,39.33,-17.64,24.04
99.13,0.23,-2.44,9.30,22.32,95.0,23.3,20.09,39.62,-22.52,18.00
99.17,0.32,-2.29,9.30,22.32,95.0,23.3,20.79,41.08,-24.97,14.37
99.21,0.33,-2.12,9.26,22.32,95.0,23.3,21.02,39.90,-28.63,15.58
99.25,0.27,-2.26,9.16,22.32,95.0,23.3,19.97,41.38,-31.08,14.37
99.29,0.27,-2.04,8.84,22.32,95.0,23.3,19.39,39.62,-29.86,11.96
99.33,0.23,-1.79,8.92,22.32,95.0,23.3,20.44,40.19,-29.86,4.71
99.37,0.21,-2.23,9.22,22.32,95.0,23.3,21.02,39.62,-23.75,-0.12
99.41,0.28,-2.05,8.93,22.32,95.0,23.3,21.36,39.33,-24.97,-4.95
99.45,0.24,-2.27,9.09,22.32,95.0,23.3,20.44,38.50,-21.30,-7.37
99.49,0.19,-2.01,9.13,22.32,95.0,23.3,21.02,38.50,-24.97,-10.99
99.53,0.16,-2.39,9.05,22.32,95.0,23.3,21.94,40.19,-24.97,-6.16
99.57,0.20,-1.33,8.74,22.32,95.0,23.3,21.36,39.62,-17.64,-13.41
99.61,0.10,-1.49,8.92,22.32,95.0,23.3,20.90,39.33,-21.30,-12.20
99.65,0.28,-1.61,9.60,22.32,95.0,23.3,20.90,39.62,-22.52,-21.86
99.69,0.43,-1.71,9.32,22.32,95.0,23.3,21.02,40.19,-16.41,-25.49
99.73,0.53,-1.89,9.38,22.32,95.0,23.3,21.36,39.62,-11.52,-23.07
99.77,0.69,-1.45,9.31,22.32,95.0,23.3,20.21,39.90,-18.86,-23.07
99.81,0.80,-1.40,9.63,22.32,95.0,23.3,20.09,41.38,-12.75,-30.32
99.85,1.09,-0.98,9.40,22.32,95.0,23.3,20.32,41.38,-13.97,-32.73
99.89,0.55,-0.72,9.30,22.32,95.0,23.3,20.56,40.19,-13.97,-31.52
99.93,0.38,-0.47,9.22,22.32,95.0,23.3,21.59,39.33,-12.75,-32.73
99.97,-0.17,-0.38,8.95,22.32,95.0,23.3,20.67,39.90,-10.30,-29.11
100.01,0.20,-0.54,9.14,22.32,95.0,23.3,20.90,39.05,-2.97,-30.32
100.05,0.52,-0.03,9.26,22.32,95.0,23.3,21.02,39.05,-0.53,-32.73
100.09,0.71,-0.29,9.32,22.32,95.0,23.3,20.32,39.90,-6.64,-29.11
100.13,0.38,-0.00,9.43,22.32,95.0,23.3,20.90,39.62,-4.19,-32.73
100.17,-0.30,0.03,9.01,22.32,95.0,23.3,20.21,39.90,-4.19,-26.69
100.21,-0.06,0.44,9.15,22.32,95.0,23.3,21.36,38.50,3.14,-32.73
100.25,0.16,1.03,8.98,22.32,95.0,23.3,18.56,39.62,5.59,-27.90
100.29,0.03,0.91,9.48,22.32,95.0,23.3,20.32,41.08,-0.53,-26.69
100.33,-0.13,0.69,9.07,22.32,95.0,23.3,20.90,39.62,10.47,-26.69
100.37,0.20,0.58,9.15,22.32,95.0,23.3,20.79,40.19,10.47,-26.69
100.41,-0.07,1.09,8.97,22.32,95.0,23.3,20.79,40.19,6.81,-21.86
100.45,0.23,1.22,9.24,22.32,95.0,23.3,20.90,39.33,12.92,-17.03
100.49,0.06,1.06,9.33,22.32,95.0,23.3,20.32,41.08,15.36,-17.03
100.53,0.14,0.73,9.37,22.32,95.0,23.3,22.28,39.33,19.03,-12.20
100.57,0.11,0.99,9.27,22.32,95.0,23.3,20.32,41.08,15.36,-10.99
