Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
100.41,0.53,-3.03,8.96,29.66,95.0,22.3,19.39,26.37,43.56,-41.16
100.45,0.02,-2.80,9.23,29.66,95.0,22.3,19.97,25.85,47.22,-45.99
100.49,0.51,-2.78,8.93,29.66,95.0,22.3,20.32,26.02,54.56,-56.86
100.53,-0.20,-3.24,9.22,29.66,95.0,22.3,19.97,25.85,54.56,-62.90
100.57,0.31,-2.03,8.93,29.66,95.0,22.3,19.97,26.20,61.89,-61.70
100.61,0.13,-1.81,9.15,29.66,95.0,22.3,20.09,25.85,60.67,-64.11
100.65,0.09,-1.78,8.78,29.66,95.0,22.3,20.32,26.02,60.67,-61.70
100.69,0.29,-1.93,9.45,29.66,95.0,22.3,20.44,25.85,61.89,-60.49
100.73,0.72,-1.02,9.23,29.66,95.0,22.3,19.97,25.68,60.67,-53.24
100.77,-0.20,-0.81,8.84,29.66,95.0,22.3,19.97,25.51,57.00,-50.83
100.81,0.21,-0.21,9.02,29.66,95.0,22.3,19.15,26.37,57.00,-41.16
100.85,0.72,-0.32,9.10,29.66,95.0,22.3,20.09,25.85,52.11,-33.92
100.89,0.76,0.05,9.42,29.66,95.0,22.3,19.86,26.37,50.89,-25.46
100.93,-0.33,0.37,8.58,29.66,95.0,22.3,19.74,25.85,46.00,-24.25
100.97,-0.72,0.78,9.13,29.66,95.0,22.3,20.32,26.02,44.78,-15.80
101.01,0.32,1.84,9.28,29.66,95.0,22.3,19.74,25.51,38.67,-7.34
101.05,0.48,1.58,10.04,29.66,95.0,22.3,19.62,26.02,31.34,2.32
101.09,0.46,1.82,9.47,29.66,95.0,22.3,19.62,26.02,22.78,7.15
101.13,0.39,1.36,8.64,29.66,95.0,22.3,19.74,26.02,14.23,14.40
101.17,0.46,2.02,9.19,29.66,95.0,22.3,19.86,25.51,9.34,15.60
101.21,0.33,2.39,9.33,29.66,95.0,22.3,19.74,26.20,2.00,21.64
101.25,0.18,2.90,9.24,29.66,95.0,22.3,20.56,26.02,-5.33,24.06
101.29,0.05,2.16,9.22,29.66,95.0,22.3,20.32,25.68,-13.88,27.68
101.33,0.30,1.13,9.35,29.66,95.0,22.3,20.32,25.51,-18.77,30.10
101.37,0.13,1.64,9.35,29.66,95.0,22.3,19.39,26.02,-24.88,33.72
101.41,0.18,2.08,9.24,29.66,95.0,22.3,19.74,26.02,-28.55,32.51
101.45,0.32,1.69,9.15,29.66,95.0,22.3,19.51,26.37,-34.66,37.35
101.49,0.08,1.72,9.07,29.66,95.0,22.3,20.09,25.51,-34.66,37.35
101.53,0.33,0.84,9.34,29.66,95.0,22.3,19.74,25.51,-37.10,40.97
101.57,0.18,1.09,8.99,29.66,95.0,22.3,20.21,26.55,-40.77,40.97
101.61,0.22,0.70,9.05,29.66,95.0,22.3,19.62,25.85,-45.66,40.97
101.65,0.20,0.57,9.11,29.66,95.0,22.3,18.92,25.68,-48.10,40.97
101.69,0.19,0.24,8.96,29.66,95.0,22.3,19.39,26.02,-48.10,37.35
101.73,0.41,-0.25,9.06,29.66,95.0,22.3,19.86,26.02,-46.88,40.97
