Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
208.87,0.34,0.39,9.09,16.72,95.0,24.1,19.74,30.51,10.90,-17.71
287.01,0.16,-3.05,8.85,16.72,95.0,24.2,18.45,28.18,-18.43,-10.46
287.05,0.22,-3.21,8.84,16.72,95.0,24.2,19.15,31.34,-17.21,-14.08
287.09,0.03,-2.89,8.94,16.72,95.0,24.2,18.92,31.98,-7.43,-16.50
287.13,-0.10,-2.67,8.80,16.72,95.0,24.2,19.15,31.34,-11.10,-20.12
287.17,-0.59,-2.37,9.53,16.72,95.0,24.2,18.45,31.98,-6.21,-22.54
287.21,-0.12,-1.95,8.71,16.72,95.0,24.2,19.51,30.11,-4.99,-16.50
287.25,-0.12,-2.55,9.43,16.72,95.0,24.2,19.51,30.11,1.12,-15.29
287.29,0.24,-3.24,9.70,16.72,95.0,24.2,18.80,31.13,2.35,-17.71
287.33,0.08,-2.06,8.68,16.72,95.0,24.2,18.56,31.34,-1.32,-17.71
287.37,0.52,-1.97,8.64,16.72,95.0,24.2,18.45,31.34,8.46,-18.91
287.41,0.39,-2.01,9.26,16.72,95.0,24.2,19.04,31.13,6.01,-15.29
287.45,0.35,-1.42,9.04,16.72,95.0,24.2,18.92,31.13,8.46,-16.50
287.49,0.58,-0.88,9.13,16.72,95.0,24.2,18.92,32.19,10.90,-18.91
287.53,0.45,-1.71,9.28,16.72,95.0,24.2,18.92,31.98,10.90,-21.33
287.57,0.07,-0.48,8.92,16.72,95.0,24.2,18.80,31.98,12.12,-22.54
287.61,0.25,-0.56,9.11,16.72,95.0,24.2,18.45,31.98,10.90,-24.95
287.65,0.02,-0.71,9.04,16.72,95.0,24.2,18.33,30.72,10.90,-18.91
287.69,0.07,0.29,8.88,16.72,95.0,24.2,19.15,30.11,9.68,-24.95
287.73,0.10,-0.54,9.09,16.72,95.0,24.2,19.04,30.11,9.68,-22.54
287.77,0.13,-0.36,9.15,16.72,95.0,24.2,18.92,31.98,14.57,-22.54
287.81,0.44,0.52,9.20,16.72,95.0,24.2,18.92,30.72,13.35,-22.54
287.85,0.43,-0.25,9.32,16.72,95.0,24.2,18.33,30.72,18.23,-18.91
287.89,-0.00,0.76,9.04,16.72,95.0,24.2,19.15,30.11,14.57,-20.12
287.93,0.16,0.21,9.09,16.72,95.0,24.2,18.45,31.13,18.23,-18.91
287.97,0.17,0.05,9.25,16.72,95.0,24.2,19.27,30.72,19.46,-14.08
288.01,-0.08,1.30,8.87,16.72,95.0,24.2,18.68,31.34,19.46,-11.67
288.05,0.13,0.69,9.17,16.72,95.0,24.2,18.68,31.34,23.12,-8.04
288.09,0.16,1.23,9.08,16.72,95.0,24.2,18.92,31.13,28.01,-6.84
288.13,0.23,0.59,9.50,16.72,95.0,24.2,19.27,30.51,31.68,-8.04
288.17,0.30,0.79,9.30,16.72,95.0,24.2,19.15,31.76,26.79,-10.46
288.21,0.37,1.66,9.17,16.72,95.0,24.2,19.51,31.34,30.46,-3.21
288.25,0.39,2.07,9.40,16.72,95.0,24.2,19.04,30.11,32.90,-9.25
288.29,0.08,1.71,9.45,16.72,95.0,24.2,19.51,30.11,29.23,-2.00
