Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
91.34,0.23,0.84,8.89,30.08,95.0,22.8,-273.15,30.72,13.72,-14.94
91.38,0.25,1.03,9.19,30.08,95.0,22.8,-273.15,29.91,18.61,-14.94
91.42,0.18,0.96,9.19,30.08,95.0,22.8,-273.15,30.11,13.72,-16.15
91.46,0.29,0.90,9.12,30.08,95.0,22.8,-273.15,30.51,21.06,-23.40
91.50,0.29,0.85,9.21,30.08,95.0,22.8,-72.30,26.37,21.06,-24.60
91.54,-18.23,0.15,1.99,30.08,95.0,22.8,-58.46,29.91,14.95,-18.56
91.58,2.84,2.25,72.80,30.08,95.0,22.8,-51.33,30.11,27.17,-27.02
91.62,0.00,0.17,2.16,30.08,95.0,22.8,-67.41,30.72,32.06,-25.81
91.66,0.18,0.31,-0.31,30.08,95.0,22.8,-273.15,30.51,28.39,-23.40
91.70,0.14,-0.18,9.17,30.08,95.0,22.8,-273.15,30.72,34.50,-28.23
91.74,-0.01,-0.41,9.15,30.08,95.0,22.8,-273.15,29.91,30.83,-31.85
91.78,0.27,-2.00,72.68,30.08,95.0,22.8,-273.15,29.91,36.95,-29.43
91.82,-0.04,-0.25,9.03,30.08,95.0,22.8,-49.94,30.51,27.17,-28.23
91.86,0.11,-0.33,9.05,30.08,95.0,22.8,-58.46,29.52,34.50,-23.40
91.90,0.00,3.06,-18.84,30.08,95.0,22.8,-273.15,30.31,28.39,-22.19
