Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
118.18,0.07,-1.27,8.91,22.4,95.0,24.5,19.86,42.63,,
118.22,0.18,-2.03,9.23,22.4,95.0,24.5,19.27,41.69,,
118.26,0.05,-1.54,9.0,22.4,95.0,24.5,19.97,42.63,10.39,-14.853333333333333
118.3,0.3,-2.03,9.3,22.4,95.0,24.5,19.74,42.0,12.426666666666668,-12.840000000000002
118.34,0.07,-0.95,8.83,22.4,95.0,24.5,20.09,42.32,14.466666666666667,-12.033333333333333
118.38,0.16,-1.45,9.14,22.4,95.0,24.5,19.74,42.63,16.503333333333334,-11.229999999999999
118.42,-0.01,-1.44,8.92,22.4,95.0,24.5,19.51,44.28,17.32,-9.216666666666667
118.46,0.05,-2.09,9.1,22.4,95.0,24.5,19.51,42.63,17.32,-5.996666666666667
118.5,0.03,-2.32,9.17,22.4,95.0,24.5,19.74,42.0,16.506666666666668,-3.1766666666666663
118.54,0.29,-1.92,9.2,22.4,95.0,24.5,20.09,41.69,16.506666666666668,-1.1633333333333333
118.58,0.12,-1.73,9.15,22.4,95.0,24.5,19.74,42.63,16.506666666666668,1.2533333333333334
118.62,0.26,-1.75,9.05,22.4,95.0,24.5,20.09,42.0,16.506666666666668,2.8633333333333333
118.66,0.15,-1.43,9.14,22.4,95.0,24.5,19.86,42.32,17.320000000000004,5.276666666666666
118.7,0.28,-1.48,8.98,22.4,95.0,24.5,19.27,42.0,17.320000000000004,5.680000000000001
118.74,0.13,-1.73,9.21,22.4,95.0,24.5,19.97,41.69,17.72666666666667,6.083333333333333
118.78,0.16,-1.63,9.19,22.4,95.0,24.5,17.73,42.32,17.319999999999997,7.293333333333334
118.82,0.28,-1.0,8.87,22.4,95.0,24.5,20.44,41.08,16.91,9.306666666666667
118.86,0.23,-1.27,9.61,22.4,95.0,24.5,20.21,42.32,16.09333333333333,12.526666666666666
118.9,-0.07,-0.51,8.93,22.4,95.0,24.5,19.51,42.32,14.056666666666667,13.733333333333333
118.94,0.14,-0.68,9.16,22.4,95.0,24.5,20.21,42.63,13.243333333333334,16.146666666666665
118.98,0.17,-2.35,9.33,22.4,95.0,24.5,20.09,42.32,11.613333333333335,16.953333333333333
119.02,0.25,-0.68,9.17,22.4,95.0,24.5,19.39,42.0,10.39,18.563333333333333
119.06,-0.08,-1.09,8.84,22.4,95.0,24.5,19.62,42.32,9.166666666666666,19.773333333333333
119.1,0.34,-1.07,9.18,22.4,95.0,24.5,21.71,41.69,8.76,20.576666666666668
119.14,0.2,-0.27,9.28,22.4,95.0,24.5,19.86,43.94,9.166666666666666,21.383333333333336
119.18,0.23,0.0,9.16,22.4,95.0,24.5,19.97,42.32,7.946666666666666,20.98
119.22,0.27,-0.3,9.2,22.4,95.0,24.5,20.21,42.32,7.133333333333333,21.383333333333336
119.26,0.18,-0.44,8.99,22.4,95.0,24.5,19.62,42.32,4.69,21.786666666666665
119.3,0.52,-0.4,9.22,22.4,95.0,24.5,19.39,41.38,3.8733333333333335,21.786666666666665
119.34,0.18,-0.14,9.18,22.4,95.0,24.5,19.86,41.08,3.0566666666666666,22.593333333333334
119.38,0.37,0.64,9.34,22.4,95.0,24.5,19.74,41.69,1.8366666666666667,22.189999999999998
119.42,0.84,0.44,9.77,22.4,95.0,24.5,20.09,41.38,0.2066666666666667,22.189999999999998
119.46,1.07,0.02,9.69,22.4,95.0,24.5,19.97,41.69,-2.643333333333333,20.576666666666668
119.5,0.63,-0.13,9.54,22.4,95.0,24.5,19.97,41.08,-3.8666666666666667,18.966666666666665
119.54,0.36,0.44,9.27,22.4,95.0,24.5,19.86,42.63,-4.68,16.55
119.58,-0.02,0.77,9.06,22.4,95.0,24.5,19.97,41.69,-5.086666666666667,15.343333333333334
119.62,0.55,1.21,9.28,22.4,95.0,24.5,19.74,42.32,-5.903333333333333,14.133333333333333
119.66,1.05,0.52,9.84,22.4,95.0,24.5,19.39,41.69,-7.94,13.33
119.7,0.54,0.43,9.11,22.4,95.0,24.5,19.74,42.0,-9.163333333333334,11.72
119.74,0.39,0.2,9.25,22.4,95.0,24.5,19.74,41.69,-11.200000000000001,9.706666666666665
119.78,0.29,0.5,9.11,22.4,95.0,24.5,19.39,42.0,-12.423333333333334,8.096666666666666
119.82,0.47,0.91,9.42,22.4,95.0,24.5,20.09,42.0,-13.646666666666667,6.486666666666667
119.86,0.07,0.88,9.02,22.4,95.0,24.5,19.97,41.08,-14.866666666666665,4.473333333333334
119.9,0.37,0.19,9.36,22.4,95.0,24.5,19.74,42.0,-15.679999999999998,2.86
119.94,0.39,0.37,9.12,22.4,95.0,24.5,19.86,41.38,-16.9,1.65
119.98,0.1,0.3,9.2,22.4,95.0,24.5,20.44,41.08,-17.306666666666665,0.8466666666666667
120.02,0.15,0.53,9.13,22.4,95.0,24.5,19.97,41.08,-16.9,-1.5666666666666664
120.06,0.27,0.54,9.31,22.4,95.0,24.5,20.32,41.38,-16.493333333333332,-4.383333333333333
120.1,0.35,0.48,9.17,22.4,95.0,24.5,19.74,41.38,-16.493333333333336,-6.396666666666666
120.14,0.14,0.47,9.03,22.4,95.0,24.5,20.67,41.69,-17.30666666666667,-7.6066666666666665
120.18,0.28,-0.18,9.35,22.4,95.0,24.5,19.39,41.38,-17.713333333333335,-8.413333333333334
120.22,0.24,0.23,9.17,22.4,95.0,24.5,20.09,42.0,-17.306666666666665,-8.816666666666666
120.26,0.36,-0.15,9.4,22.4,95.0,24.5,19.62,41.08,-16.493333333333332,-10.023333333333333
120.3,0.26,-0.01,9.21,22.4,95.0,24.5,19.51,42.0,-14.863333333333332,-12.036666666666667
120.34,0.25,0.23,9.05,22.4,95.0,24.5,20.21,42.0,-12.826666666666666,-14.049999999999999
120.38,0.34,-0.43,9.29,22.4,95.0,24.5,19.74,41.69,-11.603333333333333,-15.256666666666666
120.42,0.35,-0.42,9.28,22.4,95.0,24.5,19.97,41.69,-10.383333333333333,-16.060000000000002
120.46,0.4,-0.58,9.25,22.4,95.0,24.5,20.56,41.69,-8.753333333333334,-17.266666666666666
120.5,0.36,-0.59,9.21,22.4,95.0,24.5,19.15,41.69,-6.716666666666666,-18.476666666666667
120.54,0.29,-0.58,9.18,22.4,95.0,24.5,21.36,41.69,-5.493333333333333,-18.476666666666667
120.58,0.25,-0.63,9.22,22.4,95.0,24.5,19.74,42.32,-3.4566666666666666,-18.88
120.62,0.4,-0.69,9.23,22.4,95.0,24.5,20.09,41.69,-1.42,-18.88
120.66,0.35,-1.01,9.16,22.4,95.0,24.5,19.86,42.32,0.6166666666666666,-18.476666666666667
120.7,0.35,-1.1,9.23,22.4,95.0,24.5,19.97,41.69,1.43,-17.669999999999998
120.74,0.4,-1.3,9.16,22.4,95.0,24.5,19.86,42.32,3.873333333333333,-16.06
