Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
106.14,0.17,0.01,9.21,16.49,95.0,24.5,19.62,43.94,,
106.18,0.23,0.21,9.03,16.49,95.0,24.5,19.97,44.28,,
106.22,0.23,0.1,8.99,16.49,95.0,24.5,19.51,41.69,-8.01,22.883333333333336
106.26,0.19,-0.43,9.06,16.49,95.0,24.5,19.51,42.0,-10.046666666666667,23.286666666666672
106.3,0.15,-0.92,9.14,16.49,95.0,24.5,19.15,42.0,-12.49,23.689999999999998
106.34,0.18,-0.94,9.05,16.49,95.0,24.5,18.92,44.97,-15.746666666666664,24.093333333333334
106.38,0.18,-0.76,9.06,16.49,95.0,24.5,18.8,43.61,-16.153333333333332,25.299999999999997
106.42,0.23,-0.76,9.16,16.49,95.0,24.5,19.51,39.62,-18.599999999999998,26.103333333333335
106.46,0.22,-0.83,9.08,16.49,95.0,24.5,18.92,42.96,-20.23,24.09
106.5,0.26,-1.3,9.08,16.49,95.0,24.5,18.92,43.94,-22.676666666666666,22.080000000000002
106.54,0.06,-1.42,9.04,16.49,95.0,24.5,19.51,42.0,-22.676666666666666,20.07
106.58,0.08,-1.45,9.05,16.49,95.0,24.5,19.74,42.0,-23.899999999999995,20.07
106.62,0.23,-1.5,9.03,16.49,95.0,24.5,18.8,42.96,-25.12,18.456666666666667
106.66,0.2,-1.48,9.05,16.49,95.0,24.5,19.74,42.0,-25.933333333333334,18.856666666666666
106.7,0.23,-1.58,9.04,16.49,95.0,24.5,18.45,43.94,-25.116666666666664,14.426666666666668
106.74,0.18,-1.71,8.89,16.49,95.0,24.5,18.8,41.69,-27.153333333333332,13.623333333333335
106.78,0.36,-2.1,8.9,16.49,95.0,24.5,18.92,41.69,-29.189999999999998,9.6
106.82,0.23,-2.24,9.03,16.49,95.0,24.5,19.15,42.96,-30.41333333333333,9.196666666666667
106.86,0.23,-2.87,9.51,16.49,95.0,24.5,19.15,42.96,-31.23,7.989999999999999
106.9,0.36,-2.28,8.95,16.49,95.0,24.5,18.45,43.28,-32.45333333333334,5.573333333333333
106.94,0.33,-2.19,8.96,16.49,95.0,24.5,19.27,41.69,-34.083333333333336,2.353333333333333
106.98,0.39,-2.33,8.85,16.49,95.0,24.5,18.45,43.94,-32.86000000000001,-2.0766666666666667
107.02,0.14,-2.82,9.09,16.49,95.0,24.5,19.04,42.0,-31.636666666666667,-4.8966666666666665
107.06,0.33,-2.76,8.93,16.49,95.0,24.5,19.27,42.32,-29.599999999999998,-6.506666666666667
107.1,0.35,-3.05,8.86,16.49,95.0,24.5,18.56,42.32,-30.823333333333334,-5.3
107.14,0.26,-2.85,8.91,16.49,95.0,24.5,19.51,42.32,-29.19333333333334,-5.7
107.18,0.32,-2.81,8.83,16.49,95.0,24.5,19.51,42.0,-30.00666666666667,-7.31
107.22,0.34,-3.48,8.79,16.49,95.0,24.5,19.62,43.94,-30.00666666666667,-9.323333333333332
