Time (s),Accel_x (m2/s),Accel_y (m2/s),Accel_z (m2/s),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),Height 1 (mm),Height 2 (mm)
31.49,-152.00,4.90,0.40,300.01,0.0,0.0,62.75,6.94,13.93,23.66
31.53,0.00,0.12,109.18,300.01,0.0,0.0,69.18,12.22,-76.50,-56.86
31.57,0.00,1.35,109.18,300.01,0.0,0.0,69.97,12.11,-53.89,-33.48
31.61,0.00,1.35,109.18,300.01,0.0,0.0,62.89,7.42,-30.03,-29.58
31.65,0.00,1.35,109.18,300.01,0.0,0.0,70.78,12.66,-73.99,-55.56
31.69,0.00,1.35,109.18,300.01,0.0,0.0,62.75,6.47,11.42,19.77
31.73,0.00,0.12,109.18,300.01,0.0,0.0,70.30,12.77,-77.75,-56.86
31.77,0.00,1.35,109.18,300.01,0.0,0.0,70.30,12.22,-58.91,-38.68
31.81,0.00,1.35,109.18,300.01,0.0,0.0,62.32,6.66,-21.24,-21.79
31.85,89.49,1.23,12.33,300.01,0.0,0.0,70.78,12.66,-75.24,-55.56
31.89,0.00,1.35,109.18,300.01,0.0,0.0,63.32,6.76,10.16,21.06
31.93,0.00,0.12,109.18,300.01,0.0,0.0,69.97,12.66,-79.01,-58.16
31.97,-156.91,13.60,109.18,300.01,0.0,0.0,70.30,12.33,-63.94,-43.87
32.01,0.00,1.35,109.18,300.01,0.0,0.0,61.62,6.20,-11.19,-12.70
32.05,0.00,1.35,109.18,300.01,0.0,0.0,70.78,12.77,-75.24,-56.86
32.09,0.00,1.35,109.18,300.01,0.0,0.0,63.75,7.13,8.90,22.36
32.13,0.46,-127.49,2.53,300.01,0.0,0.0,69.81,12.44,-79.01,-59.45
32.17,0.00,1.35,109.18,300.01,0.0,0.0,70.46,12.33,-68.96,-49.06
32.21,0.00,1.35,109.18,300.01,0.0,0.0,63.61,7.80,-37.56,-37.38
32.25,0.00,1.35,109.18,300.01,0.0,0.0,71.11,12.77,-75.24,-56.86
32.29,0.00,1.35,109.18,300.01,0.0,0.0,62.32,6.01,13.93,19.77
32.33,0.00,0.12,109.18,300.01,0.0,0.0,70.78,12.99,-80.26,-58.16
32.37,0.00,1.35,109.18,300.01,0.0,0.0,70.46,12.11,-57.66,-36.08
32.41,0.00,1.35,109.18,300.01,0.0,0.0,62.61,7.13,-30.03,-29.58
32.45,89.49,2.46,12.33,300.01,0.0,0.0,71.11,12.77,-76.50,-58.16
32.49,0.00,1.35,109.18,300.01,0.0,0.0,62.89,6.29,12.67,21.06
