Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,46.25,46.381909547738694,1.1811329828136197,48.61,48.96222222222222,1.2241587232905016,0.5,0.5027764182596116,0.046628979572124855,0.5,0.5024282961047667,0.04313810599708465,4.624999999999962,4.576774892976587,0.24204480945788434
A,22,50.0,50.41243654822335,1.1897243516643368,53.6,53.50578680203046,1.1590288929629347,0.5434782608695726,0.5533953731995668,0.04995601529401417,0.5434782608695726,0.5534005643857635,0.04998351932127833,4.255000000000033,4.250437154150198,0.21935378345228046
A,24b,40.0,40.38316582914573,1.2943566428254831,44.87,44.54515151515151,1.2936077623903144,0.5952380952380928,0.5983544013180996,0.008691702798162776,0.5952380952380928,0.6024087729249387,0.04113821150424683,3.7296000000000156,3.7710580668896316,0.07317701480349165
A,26,56.25,57.39267676767677,2.638216673207011,77.28,76.85522842639594,1.8639308840223459,0.6410256410256401,0.6524012791175267,0.04467402227024843,0.6410256410256401,0.6415024253197524,0.06562226515156322,3.24461538461546,3.269772854700861,0.12332579745683801
A,28,56.25,56.14949748743719,1.343455798893106,69.8,69.63979797979798,1.821618614096903,0.6944444444444455,0.698267910767911,0.009922766225359772,0.6944444444444455,0.7033837408837408,0.049916683455921464,3.073846153846089,3.060647589743585,0.051535405238325074
A,30,75.0,74.93055555555556,1.9067508160645659,76.03999999999999,76.56467005076142,1.4208945578964323,0.7575757575757451,0.7537996059667886,0.05782492060256001,0.7575757575757451,0.7403357693111249,0.07642329333729232,2.5160000000000493,2.497045628476091,0.04759974892819288
A,32c,103.75,104.19597989949749,2.2077764122443684,74.78999999999999,74.49243654822335,2.582820628748746,0.8064516129032199,0.7916007532276041,0.10770504157936196,0.8064516129032199,0.7767713532040034,0.11777328329502057,2.3680000000000705,2.4188729567083667,0.6087504871751248
A,34,77.5,77.65943877551021,2.2464559418774366,63.57000000000001,63.98663265306123,1.8248486801348354,0.8620689655172228,0.8396961991371052,0.08668032910013287,0.8620689655172228,0.8396961991371051,0.08668032910013274,2.146000000000063,2.1370303030303037,0.02570804572148735
A,36,87.5,87.19065656565657,1.9488903710595038,92.24000000000001,92.11727272727273,2.6388563967375465,0.8928571428571392,0.9064381499726326,0.08967396501741824,0.8928571428571392,0.90409311317056,0.07317940752195862,1.9425000000000063,1.9361742836019047,0.07909416906981313
A,38,110.0,109.90577889447236,2.4163227072584723,108.44999999999999,108.98718592964825,2.960851658908913,0.9615384615384426,0.9461762311762313,0.024395366606142367,0.9615384615384426,0.9485572293218467,0.0434756309393905,1.8037499999999849,1.7937947863451902,0.06386816710388252
