Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
110.00,0.17,0.76,9.18,29.87,91.0,24.1,17.37,33.29,18.31,-13.40
110.04,0.18,0.94,9.14,29.87,91.0,24.1,17.73,33.07,17.06,-10.91
110.08,0.17,1.21,9.12,29.87,91.0,24.1,17.49,33.07,13.31,-7.17
110.12,0.13,1.07,9.16,29.87,91.0,24.1,17.61,33.75,9.56,-4.67
110.16,0.13,1.39,9.16,29.87,91.0,24.1,17.85,33.29,8.31,-0.93
110.20,0.15,1.67,9.13,29.87,91.0,24.1,17.49,33.07,3.31,0.31
110.24,0.18,1.64,9.12,29.87,91.0,24.1,17.61,33.29,3.31,4.05
110.28,0.19,1.76,9.13,29.87,91.0,24.1,17.49,33.29,-0.44,9.04
110.32,0.13,1.97,9.17,29.87,91.0,24.1,17.61,33.29,-2.94,11.53
110.36,0.12,2.05,9.17,29.87,91.0,24.1,17.49,33.07,-5.44,14.02
110.40,0.18,2.24,9.17,29.87,91.0,24.1,17.49,32.85,-9.19,16.52
110.44,0.13,2.23,9.17,29.87,91.0,24.1,17.85,33.07,-10.44,19.01
110.48,0.17,2.01,9.17,29.87,91.0,24.1,17.61,33.29,-11.69,21.50
110.52,0.14,2.23,9.17,29.87,91.0,24.1,17.49,31.55,-12.94,21.50
110.56,0.12,2.31,9.14,29.87,91.0,24.1,17.61,33.07,-15.44,22.75
110.60,0.19,2.01,9.12,29.87,91.0,24.1,17.49,33.07,-16.69,22.75
110.64,0.14,1.98,9.15,29.87,91.0,24.1,17.73,33.07,-20.44,22.75
110.68,0.09,1.92,9.17,29.87,91.0,24.1,17.73,32.85,-22.94,21.50
110.72,0.08,1.75,9.11,29.87,91.0,24.1,14.33,33.29,-21.69,23.99
110.76,0.10,1.75,9.28,29.87,91.0,24.1,17.73,33.07,-21.69,22.75
110.80,0.13,1.57,9.11,29.87,91.0,24.1,17.49,33.07,-24.19,21.50
110.84,0.18,1.55,9.05,29.87,91.0,24.1,17.73,33.29,-24.19,21.50
110.88,0.10,1.07,9.22,29.87,91.0,24.1,17.61,33.07,-24.19,17.76
110.92,0.21,0.85,9.21,29.87,91.0,24.1,17.73,33.07,-20.44,17.76
110.96,0.08,0.99,9.18,29.87,91.0,24.1,17.73,33.07,-21.69,14.02
111.00,0.11,0.94,9.10,29.87,91.0,24.1,17.49,33.07,-17.94,14.02
111.04,0.22,0.36,9.15,29.87,91.0,24.1,17.61,33.52,-15.44,10.28
111.08,0.14,0.36,9.14,29.87,91.0,24.1,17.25,33.07,-11.69,7.79
111.12,0.14,0.23,9.15,29.87,91.0,24.1,17.49,33.07,-9.19,6.54
111.16,0.17,0.07,9.20,29.87,91.0,24.1,17.49,33.29,-6.69,4.05
111.20,0.19,0.31,9.08,29.87,91.0,24.1,17.49,33.07,-2.94,2.80
111.24,0.21,-0.06,9.18,29.87,91.0,24.1,17.73,33.07,-0.44,-0.93
111.28,0.20,-0.70,9.29,29.87,91.0,24.1,17.61,33.07,0.81,-4.67
111.32,0.15,-0.28,9.31,29.87,91.0,24.1,17.73,32.85,3.31,-5.92
111.36,0.17,-0.10,9.21,29.87,91.0,24.1,17.61,32.85,5.81,-7.17
111.40,0.15,-0.51,9.20,29.87,91.0,24.1,17.49,33.07,9.56,-10.91
111.44,0.19,-0.40,9.29,29.87,91.0,24.1,17.73,33.07,13.31,-12.15
111.48,0.18,-0.37,9.24,29.87,91.0,24.1,17.25,33.29,13.31,-13.40
111.52,0.17,-0.45,9.22,29.87,91.0,24.1,17.61,33.07,15.81,-14.65
111.56,0.16,-0.29,9.22,29.87,91.0,24.1,17.61,33.07,17.06,-18.39
111.60,0.16,-0.24,9.17,29.87,91.0,24.1,17.37,33.07,18.31,-18.39
111.64,0.20,-0.39,9.20,29.87,91.0,24.1,17.61,33.07,19.56,-20.88
111.68,0.16,-0.09,9.22,29.87,91.0,24.1,17.73,32.85,20.81,-22.12
111.72,0.16,-0.19,9.21,29.87,91.0,24.1,20.09,32.85,20.81,-23.37
