Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
203.51,0.15,1.68,9.08,56.82,94.0,22.7,13.83,36.65,-0.65,-40.62
203.55,0.19,0.84,9.08,56.82,94.0,22.7,17.73,36.39,9.35,-44.36
203.59,0.25,-0.19,9.04,56.82,94.0,22.7,17.97,36.14,26.85,-53.09
203.63,0.23,-0.55,9.13,56.82,94.0,22.7,17.73,36.14,35.60,-56.83
203.67,0.14,-0.96,9.08,56.82,94.0,22.7,17.85,36.39,41.85,-54.33
203.71,0.24,-2.50,9.11,56.82,94.0,22.7,17.61,36.39,48.10,-48.10
203.75,0.29,-2.09,9.26,56.82,94.0,22.7,17.85,36.39,50.60,-43.11
203.79,0.09,-1.72,9.13,56.82,94.0,22.7,17.97,36.14,51.85,-30.65
203.83,0.20,-2.36,9.24,56.82,94.0,22.7,17.61,36.14,49.35,-16.94
203.87,0.24,-1.74,9.21,56.82,94.0,22.7,17.85,36.14,48.10,-9.46
203.91,0.22,-1.73,9.18,56.82,94.0,22.7,17.61,35.89,44.35,6.74
203.95,0.25,-1.72,9.18,56.82,94.0,22.7,17.85,36.14,41.85,16.72
203.99,0.16,-0.88,9.13,56.82,94.0,22.7,17.49,36.14,34.35,34.17
204.03,0.15,-0.42,9.11,56.82,94.0,22.7,17.73,35.89,30.60,46.63
204.07,0.22,-0.02,9.05,56.82,94.0,22.7,17.73,36.14,28.10,50.37
204.11,0.14,0.90,9.02,56.82,94.0,22.7,17.61,36.14,30.60,57.85
204.15,0.21,1.70,9.05,56.82,94.0,22.7,17.85,36.39,29.35,57.85
204.19,0.16,2.25,9.14,56.82,94.0,22.7,17.85,36.14,29.35,52.86
204.23,0.04,3.79,9.12,56.82,94.0,22.7,17.73,35.89,-25.65,51.62
204.27,0.15,3.88,9.12,56.82,94.0,22.7,17.85,36.39,-35.65,45.38
204.31,0.15,4.07,9.17,56.82,94.0,22.7,17.61,36.14,-43.15,36.66
204.35,0.03,5.00,9.20,56.82,94.0,22.7,17.85,35.89,-49.40,29.18
204.39,0.03,4.12,9.22,56.82,94.0,22.7,17.73,36.14,-53.15,14.22
204.43,0.15,3.90,9.11,56.82,94.0,22.7,17.61,33.29,-55.65,-1.98
204.47,0.01,3.58,8.96,56.82,94.0,22.7,17.85,35.89,-53.15,-10.71
204.51,0.07,2.43,9.19,56.82,94.0,22.7,17.61,36.14,-54.40,-19.43
204.55,0.14,2.56,9.08,56.82,94.0,22.7,17.97,35.65,-54.40,-28.16
204.59,0.11,0.88,9.01,56.82,94.0,22.7,17.85,36.14,-54.40,-35.64
204.63,0.25,0.22,9.05,56.82,94.0,22.7,17.61,35.89,-54.40,-40.62
204.67,0.13,-0.56,9.15,56.82,94.0,22.7,18.21,36.14,-55.65,-46.85
204.71,0.14,-0.88,9.10,56.82,94.0,22.7,17.73,35.65,-53.15,-50.59
204.75,0.25,-2.04,9.08,56.82,94.0,22.7,17.85,35.89,44.35,-53.09
204.79,0.18,-1.85,9.28,56.82,94.0,22.7,17.49,36.39,53.10,-49.35
204.83,0.19,-2.60,9.14,56.82,94.0,22.7,17.49,35.89,51.85,-39.38
204.87,0.25,-1.86,9.15,56.82,94.0,22.7,17.73,35.89,54.35,-30.65
204.91,0.08,-1.81,9.33,56.82,94.0,22.7,17.61,35.89,53.10,-19.43
204.95,0.27,-2.25,9.16,56.82,94.0,22.7,17.85,35.89,46.85,-19.43
204.99,0.18,-1.70,9.19,56.82,94.0,22.7,17.61,36.14,44.35,-19.43
205.03,0.09,-1.05,9.22,56.82,94.0,22.7,17.73,35.65,38.10,-19.43
205.07,0.34,-0.68,9.05,56.82,94.0,22.7,17.73,36.14,31.85,-19.43
205.11,0.12,-0.24,9.11,56.82,94.0,22.7,17.49,36.14,31.85,45.38
205.15,0.17,0.56,9.03,56.82,94.0,22.7,17.85,36.14,31.85,54.11
205.19,0.22,1.08,9.02,56.82,94.0,22.7,17.49,36.14,31.85,59.09
205.23,0.08,2.09,9.17,56.82,94.0,22.7,17.61,35.89,31.85,59.09
205.27,0.17,3.29,8.91,56.82,94.0,22.7,17.85,35.65,-20.65,54.11
205.31,0.18,3.17,9.19,56.82,94.0,22.7,17.61,36.14,-33.15,49.12
205.35,0.00,4.75,9.16,56.82,94.0,22.7,17.85,36.14,-40.65,45.38
205.39,0.10,4.44,9.16,56.82,94.0,22.7,17.61,36.14,-44.40,45.38
205.43,0.28,4.28,9.08,56.82,94.0,22.7,17.73,36.14,-51.90,45.38
205.47,0.11,4.45,9.17,56.82,94.0,22.7,17.97,35.65,-53.15,45.38
205.51,0.05,3.27,9.11,56.82,94.0,22.7,17.73,35.89,-54.40,45.38
205.55,0.15,3.20,9.06,56.82,94.0,22.7,17.73,35.89,-54.40,45.38
205.59,0.13,2.48,9.10,56.82,94.0,22.7,17.61,35.89,-53.15,45.38
205.63,0.12,1.47,9.06,56.82,94.0,22.7,17.61,36.14,-54.40,46.63
205.67,0.22,0.44,9.03,56.82,94.0,22.7,17.61,36.14,-53.15,-38.13
205.71,0.22,-0.20,9.08,56.82,94.0,22.7,17.61,35.89,-54.40,-44.36
205.75,0.23,-0.91,9.03,56.82,94.0,22.7,17.97,35.89,-53.15,-49.35
205.79,0.20,-1.09,9.12,56.82,94.0,22.7,17.73,35.89,43.10,-51.84
205.83,0.21,-2.39,9.15,56.82,94.0,22.7,17.61,35.89,46.85,-51.84
205.87,0.27,-2.71,9.29,56.82,94.0,22.7,17.73,36.14,53.10,-44.36
205.91,0.16,-1.62,9.19,56.82,94.0,22.7,17.61,36.14,54.35,-34.39
205.95,0.10,-2.24,9.36,56.82,94.0,22.7,17.73,36.14,51.85,-24.42
205.99,0.31,-2.15,9.14,56.82,94.0,22.7,17.61,36.14,50.60,-24.42
206.03,0.18,-1.78,9.11,56.82,94.0,22.7,17.73,36.14,45.60,-24.42
206.07,0.23,-1.43,9.21,56.82,94.0,22.7,17.61,36.14,41.85,-24.42
206.11,0.21,-1.10,9.14,56.82,94.0,22.7,17.61,36.39,34.35,-24.42
206.15,0.10,-0.22,9.11,56.82,94.0,22.7,17.61,36.14,34.35,41.64
206.19,0.24,-0.01,9.03,56.82,94.0,22.7,17.25,36.14,33.10,51.62
206.23,0.15,1.02,9.06,56.82,94.0,22.7,17.73,35.89,34.35,57.85
206.27,0.17,1.72,9.10,56.82,94.0,22.7,17.85,36.14,34.35,60.34
206.31,0.18,2.62,9.00,56.82,94.0,22.7,17.61,35.89,-18.15,57.85
206.35,0.09,3.71,9.11,56.82,94.0,22.7,17.73,35.89,-25.65,51.62
206.39,0.07,4.24,9.11,56.82,94.0,22.7,17.73,35.89,-39.40,47.88
206.43,0.19,4.05,9.13,56.82,94.0,22.7,17.61,35.89,-41.90,41.64
206.47,0.10,4.82,9.14,56.82,94.0,22.7,17.73,35.89,-48.15,42.89
206.51,-0.03,4.32,9.17,56.82,94.0,22.7,17.61,36.14,-50.65,42.89
206.55,0.16,3.59,9.17,56.82,94.0,22.7,17.37,36.39,-51.90,42.89
206.59,0.10,3.57,9.04,56.82,94.0,22.7,17.61,36.39,-53.15,44.14
206.63,0.06,2.57,9.18,56.82,94.0,22.7,17.85,36.14,-53.15,42.89
206.67,0.14,2.05,8.97,56.82,94.0,22.7,17.85,35.65,-54.40,42.89
206.71,0.15,0.99,9.04,56.82,94.0,22.7,17.61,35.89,-53.15,42.89
206.75,0.24,-0.08,9.07,56.82,94.0,22.7,17.85,35.89,-53.15,-40.62
206.79,0.19,-0.39,9.02,56.82,94.0,22.7,17.73,35.89,-51.90,-48.10
206.83,0.15,-0.96,9.09,56.82,94.0,22.7,17.61,36.14,-53.15,-51.84
206.87,0.23,-2.55,9.24,56.82,94.0,22.7,17.85,36.14,45.60,-53.09
206.91,0.26,-1.87,9.12,56.82,94.0,22.7,17.61,36.65,51.85,-46.85
206.95,0.11,-2.28,9.23,56.82,94.0,22.7,17.85,36.14,54.35,-39.38
206.99,0.25,-2.10,9.22,56.82,94.0,22.7,17.73,36.14,54.35,-28.16
207.03,0.16,-1.75,9.31,56.82,94.0,22.7,17.85,35.89,50.60,-15.69
207.07,0.23,-1.99,9.16,56.82,94.0,22.7,17.85,36.39,46.85,-15.69
