Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
241.48,0.20,0.33,9.23,26.83,94.0,21.6,17.25,31.34,17.24,0.05
241.52,0.17,0.41,9.19,26.83,94.0,21.6,17.25,31.13,15.99,2.54
241.56,0.20,0.59,9.19,26.83,94.0,21.6,17.01,31.13,14.74,3.79
241.60,0.15,0.82,9.20,26.83,94.0,21.6,17.37,31.34,13.49,5.04
241.64,0.13,0.82,9.17,26.83,94.0,21.6,16.65,31.55,10.99,10.02
241.68,0.16,1.20,9.17,26.83,94.0,21.6,17.25,31.13,8.49,10.02
241.72,0.16,1.25,9.16,26.83,94.0,21.6,17.25,31.34,5.99,12.51
241.76,0.18,1.59,9.16,26.83,94.0,21.6,16.89,31.55,3.49,13.76
241.80,0.11,1.59,9.13,26.83,94.0,21.6,17.37,31.13,2.24,13.76
241.84,0.13,1.91,9.14,26.83,94.0,21.6,17.13,31.34,-1.51,17.50
241.88,0.15,1.98,9.13,26.83,94.0,21.6,17.01,31.34,-2.76,17.50
241.92,0.14,2.14,9.17,26.83,94.0,21.6,17.37,31.13,-7.76,18.75
241.96,0.13,2.32,9.16,26.83,94.0,21.6,16.89,31.55,-9.01,19.99
242.00,0.14,2.62,9.11,26.83,94.0,21.6,17.25,31.13,-12.76,18.75
242.04,0.18,2.26,9.18,26.83,94.0,21.6,17.01,31.34,-12.76,19.99
242.08,0.17,2.49,9.16,26.83,94.0,21.6,17.13,31.55,-14.01,19.99
242.12,0.13,2.66,9.14,26.83,94.0,21.6,17.13,31.13,-16.51,19.99
242.16,0.15,2.55,9.13,26.83,94.0,21.6,16.77,31.34,-16.51,19.99
242.20,0.15,2.50,9.12,26.83,94.0,21.6,17.37,31.34,-17.76,17.50
242.24,0.14,2.31,9.17,26.83,94.0,21.6,17.25,31.13,-19.01,18.75
242.28,0.15,2.29,9.20,26.83,94.0,21.6,17.13,31.13,-17.76,17.50
242.32,0.10,2.12,9.22,26.83,94.0,21.6,17.25,31.34,-19.01,17.50
242.36,0.11,2.00,9.19,26.83,94.0,21.6,17.25,30.72,-19.01,15.01
242.40,0.13,1.96,9.11,26.83,94.0,21.6,16.65,31.13,-19.01,15.01
242.44,0.09,1.96,9.13,26.83,94.0,21.6,17.01,31.13,-16.51,15.01
242.48,0.16,1.65,9.13,26.83,94.0,21.6,17.25,30.92,-15.26,13.76
242.52,0.19,0.99,9.20,26.83,94.0,21.6,17.13,30.92,-14.01,12.51
242.56,0.12,1.34,9.23,26.83,94.0,21.6,17.01,31.13,-12.76,12.51
242.60,0.14,1.13,9.17,26.83,94.0,21.6,17.13,31.34,-9.01,11.27
242.64,0.14,0.85,9.22,26.83,94.0,21.6,17.13,30.92,-9.01,10.02
242.68,0.21,0.49,9.15,26.83,94.0,21.6,17.01,31.34,-6.51,8.78
242.72,0.17,0.78,9.18,26.83,94.0,21.6,16.77,31.34,-6.51,5.04
242.76,0.19,0.44,9.16,26.83,94.0,21.6,16.65,31.34,-4.01,3.79
242.80,0.16,0.23,9.21,26.83,94.0,21.6,17.25,31.34,-2.76,1.30
242.84,0.14,-0.23,9.38,26.83,94.0,21.6,17.25,31.34,-2.76,-2.44
242.88,0.17,0.06,9.16,26.83,94.0,21.6,17.13,27.81,-1.51,-3.69
242.92,0.18,-0.31,9.21,26.83,94.0,21.6,17.37,31.13,-0.26,-7.43
242.96,0.20,-0.60,9.27,26.83,94.0,21.6,17.13,31.34,0.99,-8.67
243.00,0.28,-0.38,9.13,26.83,94.0,21.6,14.70,31.34,2.24,-12.41
243.04,0.12,-0.50,9.36,26.83,94.0,21.6,17.01,31.13,4.74,-13.66
243.08,0.20,-0.77,9.24,26.83,94.0,21.6,17.25,31.34,7.24,-17.40
243.12,0.21,-0.47,9.26,26.83,94.0,21.6,17.37,31.34,8.49,-21.14
243.16,0.15,-0.73,9.34,26.83,94.0,21.6,17.25,31.13,9.74,-22.39
243.20,0.20,-0.67,9.16,26.83,94.0,21.6,17.13,31.34,12.24,-23.63
243.24,0.15,-0.57,9.34,26.83,94.0,21.6,17.13,31.34,14.74,-24.88
243.28,0.18,-0.56,9.23,26.83,94.0,21.6,16.29,31.34,15.99,-26.13
243.32,0.21,-0.58,9.29,26.83,94.0,21.6,17.13,31.55,17.24,-26.13
243.36,0.17,-0.52,9.21,26.83,94.0,21.6,17.13,31.34,17.24,-26.13
243.40,0.18,-0.60,9.27,26.83,94.0,21.6,17.13,31.55,17.24,-23.63
243.44,0.18,-0.43,9.25,26.83,94.0,21.6,16.89,31.34,17.24,-22.39
243.48,0.10,-0.34,9.31,26.83,94.0,21.6,17.25,31.55,18.49,-17.40
243.52,0.24,-0.20,9.24,26.83,94.0,21.6,17.25,31.13,18.49,-17.40
