Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
241.28,0.15,1.59,9.12,28.96,78.0,25.0,17.49,38.77,7.49,9.37
241.32,0.18,2.01,9.15,28.96,78.0,25.0,17.25,38.77,3.74,13.11
241.36,0.12,1.84,9.14,28.96,78.0,25.0,17.61,38.50,-1.26,14.36
241.40,0.11,2.09,9.12,28.96,78.0,25.0,17.13,38.77,-2.51,16.85
241.44,0.12,2.73,9.07,28.96,78.0,25.0,17.49,38.77,-8.76,18.10
241.48,0.14,2.42,9.10,28.96,78.0,25.0,17.25,38.77,-12.51,21.84
241.52,0.17,2.50,9.13,28.96,78.0,25.0,17.37,38.77,-13.76,24.33
241.56,0.10,2.74,9.12,28.96,78.0,25.0,17.49,38.77,-18.76,24.33
241.60,0.14,2.73,9.14,28.96,78.0,25.0,17.73,38.77,-18.76,25.58
241.64,0.14,2.74,9.12,28.96,78.0,25.0,17.49,38.77,-23.76,24.33
241.68,0.08,2.59,9.12,28.96,78.0,25.0,17.49,38.77,-26.26,25.58
241.72,0.15,2.36,9.15,28.96,78.0,25.0,17.01,38.50,-27.51,25.58
241.76,0.14,2.45,9.13,28.96,78.0,25.0,17.25,38.77,-27.51,25.58
241.80,0.05,2.23,9.09,28.96,78.0,25.0,17.37,38.50,-28.76,23.08
241.84,0.17,1.96,9.12,28.96,78.0,25.0,17.49,38.50,-28.76,25.58
241.88,0.07,2.07,9.20,28.96,78.0,25.0,17.13,38.77,-27.51,24.33
241.92,0.17,1.95,9.11,28.96,78.0,25.0,17.25,38.50,-27.51,23.08
241.96,0.19,1.44,9.07,28.96,78.0,25.0,17.37,38.77,-25.01,23.08
242.00,0.13,1.07,9.11,28.96,78.0,25.0,17.13,38.77,-23.76,21.84
242.04,0.11,1.24,9.12,28.96,78.0,25.0,17.61,38.50,-22.51,18.10
242.08,0.10,1.02,9.24,28.96,78.0,25.0,17.25,38.77,-18.76,18.10
242.12,0.18,0.48,9.09,28.96,78.0,25.0,17.37,38.23,-16.26,15.61
242.16,0.20,0.33,9.14,28.96,78.0,25.0,17.37,38.77,-13.76,11.87
242.20,0.13,0.23,9.21,28.96,78.0,25.0,17.25,38.77,-10.01,10.62
242.24,0.17,0.03,9.19,28.96,78.0,25.0,17.49,38.77,-7.51,6.88
242.28,0.15,-0.17,9.16,28.96,78.0,25.0,17.25,38.50,-5.01,3.14
242.32,0.14,-0.47,9.19,28.96,78.0,25.0,17.37,38.77,-1.26,1.89
242.36,0.19,-0.70,9.22,28.96,78.0,25.0,17.37,38.50,1.24,-1.84
242.40,0.22,-0.44,9.21,28.96,78.0,25.0,17.25,37.69,4.99,-5.58
242.44,0.11,-0.76,9.31,28.96,78.0,25.0,17.49,38.77,6.24,-8.08
242.48,0.22,-0.66,9.12,28.96,78.0,25.0,17.13,38.77,9.99,-11.82
242.52,0.20,-0.62,9.25,28.96,78.0,25.0,17.37,38.77,13.74,-13.06
242.56,0.20,-0.88,9.23,28.96,78.0,25.0,17.13,38.50,13.74,-18.05
242.60,0.18,-0.79,9.22,28.96,78.0,25.0,17.13,38.77,16.24,-19.30
242.64,0.14,-0.66,9.25,28.96,78.0,25.0,17.25,38.50,18.74,-21.79
242.68,0.19,-0.59,9.22,28.96,78.0,25.0,17.25,39.62,19.99,-23.03
242.72,0.17,-0.70,9.23,28.96,78.0,25.0,17.13,38.77,19.99,-25.53
242.76,0.19,-0.72,9.21,28.96,78.0,25.0,17.37,38.50,22.49,-26.77
242.80,0.21,-0.56,9.21,28.96,78.0,25.0,17.25,38.50,22.49,-28.02
242.84,0.13,-0.47,9.19,28.96,78.0,25.0,17.49,38.50,23.74,-28.02
242.88,0.17,-0.30,9.21,28.96,78.0,25.0,17.13,38.50,24.99,-29.27
242.92,0.19,-0.46,9.23,28.96,78.0,25.0,17.25,38.23,24.99,-29.27
242.96,0.13,-0.11,9.21,28.96,78.0,25.0,17.61,38.77,26.24,-26.77
