Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
548.42,0.18,-0.01,9.24,25.45,91.0,22.7,17.61,42.63,2.01,0.75
548.38,0.17,-0.02,9.25,25.45,91.0,22.7,17.73,42.63,3.26,1.99
548.42,0.18,-0.01,9.24,25.45,91.0,22.7,17.61,42.63,2.01,0.75
119.75,0.19,0.67,9.04,26.84,92.0,22.5,17.85,39.90,-11.19,11.87
119.79,0.23,0.51,9.22,26.84,92.0,22.5,17.85,39.90,-11.19,9.37
119.83,0.10,1.04,9.03,26.84,92.0,22.5,17.73,39.90,-8.69,8.13
119.87,0.17,0.91,9.03,26.84,92.0,22.5,17.97,39.33,-4.94,4.39
119.91,0.13,0.30,9.12,26.84,92.0,22.5,17.61,39.62,-3.69,0.65
119.95,0.13,0.15,9.11,26.84,92.0,22.5,17.49,39.90,-3.69,-0.60
119.99,0.13,-0.65,9.17,26.84,92.0,22.5,17.73,39.33,-2.44,-1.84
120.03,0.12,-0.33,9.11,26.84,92.0,22.5,17.73,40.19,-1.19,-4.34
120.07,0.24,-0.69,9.21,26.84,92.0,22.5,17.85,39.62,0.06,-8.08
120.11,0.28,-0.84,9.10,26.84,92.0,22.5,17.61,39.62,2.56,-10.57
120.15,0.28,-1.33,9.22,26.84,92.0,22.5,17.73,38.77,2.56,-13.06
120.19,0.21,-0.67,9.15,26.84,92.0,22.5,17.73,42.96,5.06,-16.80
120.23,0.12,-0.81,9.22,26.84,92.0,22.5,19.15,39.62,6.31,-20.54
120.27,0.16,-1.03,9.24,26.84,92.0,22.5,17.61,39.62,7.56,-23.03
120.31,0.15,-1.10,9.31,26.84,92.0,22.5,17.85,39.33,8.81,-28.02
120.35,0.21,-1.14,9.26,26.84,92.0,22.5,18.92,39.62,11.31,-28.02
120.39,0.19,-0.89,9.22,26.84,92.0,22.5,17.61,39.62,13.81,-31.76
120.43,0.13,-1.11,9.25,26.84,92.0,22.5,17.61,39.62,13.81,-34.25
120.47,0.23,-0.78,9.20,26.84,92.0,22.5,17.61,39.62,18.81,-34.25
120.51,0.22,-0.74,9.25,26.84,92.0,22.5,17.49,39.62,20.06,-34.25
