Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
391.97,0.11,2.79,9.15,29.82,86.0,23.1,17.37,23.07,-24.40,30.87
392.01,0.10,2.67,9.15,29.82,86.0,23.1,17.37,22.61,-28.15,28.38
392.05,0.16,2.44,9.19,29.82,86.0,23.1,16.89,22.92,-29.40,32.12
392.09,0.14,2.29,9.22,29.82,86.0,23.1,17.25,22.76,-31.90,32.12
392.13,0.13,2.29,9.12,29.82,86.0,23.1,17.25,23.07,-31.90,30.87
392.17,0.16,2.15,9.02,29.82,86.0,23.1,17.25,23.07,-34.40,29.63
392.21,0.07,2.01,9.23,29.82,86.0,23.1,17.01,22.61,-34.40,27.14
392.25,0.15,1.72,9.16,29.82,86.0,23.1,17.01,23.07,-33.15,27.14
392.29,0.17,1.28,9.14,29.82,86.0,23.1,17.25,22.76,-34.40,22.15
392.33,0.13,1.29,9.17,29.82,86.0,23.1,17.37,22.92,-31.90,20.90
392.37,0.14,1.08,9.07,29.82,86.0,23.1,16.77,22.76,-29.40,17.16
392.41,0.16,0.64,9.24,29.82,86.0,23.1,16.77,23.07,-26.90,15.92
392.45,0.16,0.77,9.13,29.82,86.0,23.1,17.13,22.76,-24.40,13.42
392.49,0.20,0.17,9.14,29.82,86.0,23.1,17.13,22.92,-20.65,12.18
392.53,0.16,0.10,9.16,29.82,86.0,23.1,16.65,22.92,-14.40,12.18
392.57,0.14,-0.01,9.19,29.82,86.0,23.1,17.49,22.61,-9.40,8.44
392.61,0.20,-0.15,9.03,29.82,86.0,23.1,17.25,22.76,-5.65,7.19
392.65,0.18,-0.50,9.33,29.82,86.0,23.1,16.89,22.92,-1.90,4.70
392.69,0.17,-0.48,9.32,29.82,86.0,23.1,16.65,23.07,1.85,3.45
392.73,0.20,-1.02,9.16,29.82,86.0,23.1,17.01,22.61,5.60,-0.29
392.77,0.18,-0.56,9.26,29.82,86.0,23.1,17.61,22.92,9.35,-2.78
392.81,0.18,-0.65,9.23,29.82,86.0,23.1,17.01,22.92,10.60,-7.77
392.85,0.20,-0.96,9.25,29.82,86.0,23.1,17.25,22.61,11.85,-11.51
392.89,0.18,-0.72,9.25,29.82,86.0,23.1,17.25,22.76,14.35,-14.00
392.93,0.16,-0.79,9.25,29.82,86.0,23.1,17.13,22.92,15.60,-17.74
