Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
486.88,0.17,0.28,9.23,37.04,93.0,21.9,17.61,42.63,1.81,2.02
486.92,0.17,0.29,9.25,37.04,93.0,21.9,17.73,42.63,1.81,3.27
211.22,0.08,-2.63,9.36,32.57,94.0,22.0,17.85,39.05,-28.04,50.82
211.26,0.33,-1.92,9.12,32.57,94.0,22.0,17.85,38.50,-18.04,40.85
211.30,0.25,-1.73,9.16,32.57,94.0,22.0,17.61,38.50,-14.29,34.61
211.34,0.17,-1.96,9.19,32.57,94.0,22.0,17.73,38.50,-6.79,30.88
211.38,0.21,-1.57,9.25,32.57,94.0,22.0,17.37,38.50,-3.04,23.40
211.42,0.14,-1.98,9.23,32.57,94.0,22.0,17.85,38.77,1.96,15.92
211.46,0.32,-1.65,9.17,32.57,94.0,22.0,17.85,38.23,6.96,10.93
211.50,0.23,-1.51,9.19,32.57,94.0,22.0,17.61,38.50,5.71,4.70
211.54,0.15,-1.26,9.21,32.57,94.0,22.0,19.27,38.77,9.46,-0.29
211.58,0.22,-1.36,9.19,32.57,94.0,22.0,17.73,38.23,14.46,-9.01
211.62,0.11,-0.30,9.19,32.57,94.0,22.0,17.97,38.23,20.71,-14.00
211.66,0.26,-1.06,9.12,32.57,94.0,22.0,17.61,38.50,28.21,-17.74
211.70,0.32,-1.20,9.03,32.57,94.0,22.0,17.61,39.05,36.96,-22.72
211.74,0.13,-0.30,9.08,32.57,94.0,22.0,17.85,38.50,44.46,-30.20
211.78,0.11,0.06,9.08,32.57,94.0,22.0,17.49,38.50,49.46,-32.69
211.82,0.21,0.18,9.09,32.57,94.0,22.0,17.73,38.23,51.96,-38.93
211.86,0.27,0.19,9.04,32.57,94.0,22.0,17.85,38.23,54.46,-43.91
211.90,0.11,0.51,9.01,32.57,94.0,22.0,17.61,38.50,53.21,-48.90
211.94,0.17,0.83,8.99,32.57,94.0,22.0,17.61,38.50,50.71,-48.90
211.98,0.12,1.48,8.98,32.57,94.0,22.0,17.73,38.50,49.46,-50.14
212.02,0.23,2.51,8.97,32.57,94.0,22.0,17.97,38.77,48.21,-51.39
212.06,0.11,2.62,9.00,32.57,94.0,22.0,14.57,38.23,45.71,-46.41
212.10,0.12,2.83,8.91,32.57,94.0,22.0,17.61,38.50,44.46,-41.42
212.14,0.37,2.99,8.90,32.57,94.0,22.0,17.73,38.50,41.96,-35.19
212.18,0.04,4.26,8.96,32.57,94.0,22.0,17.61,38.50,38.21,-30.20
212.22,0.07,4.80,9.07,32.57,94.0,22.0,17.73,38.23,33.21,-26.46
212.26,0.17,4.48,9.11,32.57,94.0,22.0,17.73,38.50,33.21,-17.74
212.30,0.20,4.37,9.01,32.57,94.0,22.0,17.73,37.96,26.96,-14.00
212.34,0.26,4.04,9.05,32.57,94.0,22.0,17.73,38.50,24.46,-9.01
212.38,0.09,4.55,9.02,32.57,94.0,22.0,17.49,38.50,18.21,-4.03
212.42,0.12,4.05,9.02,32.57,94.0,22.0,17.61,38.50,13.21,2.21
212.46,0.18,3.14,9.11,32.57,94.0,22.0,17.61,38.50,6.96,4.70
212.50,0.06,3.37,9.02,32.57,94.0,22.0,17.25,38.77,-3.04,4.70
212.54,0.10,3.39,9.04,32.57,94.0,22.0,17.73,38.23,-11.79,10.93
212.58,0.10,2.50,8.93,32.57,94.0,22.0,17.61,38.23,-16.79,20.90
212.62,0.19,1.56,8.97,32.57,94.0,22.0,17.85,38.77,-20.54,27.14
212.66,0.20,1.61,9.00,32.57,94.0,22.0,17.73,38.50,-31.79,34.61
212.70,0.08,1.93,8.92,32.57,94.0,22.0,17.73,38.50,-40.54,43.34
212.74,0.21,0.43,8.98,32.57,94.0,22.0,17.85,38.23,-45.54,50.82
