Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,46.25,46.375,1.1822068623242858,48.61,48.96045226130653,1.22131875093948,0.5,0.4980629944285407,0.00524734471909186,0.5,0.4979767291531998,0.005830909043596806,4.624999999999962,4.599899892976587,0.1029712177225948
A,22,50.0,50.416666666666664,1.1881927581233833,53.6,53.513015075376885,1.157107135927357,0.5434782608695726,0.5483631670804042,0.006187253047026233,0.5434782608695726,0.5484354413702239,0.0062291938309952735,4.255000000000033,4.270992709705753,0.07497559425399394
A,24b,40.0,40.38316582914573,1.2943566428254831,44.87,44.54055276381909,1.2919667084477346,0.5952380952380928,0.5983544013180996,0.008691702798162776,0.5952380952380928,0.5983611538773196,0.008920074345738781,3.7296000000000156,3.7710580668896316,0.07317701480349165
A,26,56.25,57.41834170854271,2.6563346744805276,77.28,76.83447236180905,1.865956736750402,0.6410256410256401,0.6479419703103914,0.008338580810116325,0.6410256410256401,0.6479419703103914,0.008338580810116571,3.24461538461546,3.279639521367528,0.06340030055280642
A,28,56.25,56.14949748743719,1.343455798893106,69.8,69.6280904522613,1.824503079396294,0.6944444444444455,0.698267910767911,0.009922766225359772,0.6944444444444455,0.6982357357357357,0.008723786224996666,3.073846153846089,3.060647589743585,0.051535405238325074
A,30,75.0,74.91834170854271,1.9097180403810041,76.03999999999999,76.55301507537689,1.419838500836789,0.7575757575757288,0.7479946524064169,0.011086672280664362,0.7575757575757615,0.7479946524064169,0.011086672280665644,2.5160000000000493,2.50000562847609,0.03853854185816826
A,32c,103.75,104.225,2.2401375137258897,74.78999999999999,74.52045226130653,2.5878684135287506,0.8064516129032199,0.7852876219144709,0.0892650260564527,0.8064516129032199,0.7846005479735318,0.08768080210378243,2.3679999999999723,2.420305214772869,0.6084462695007207
A,34,77.5,77.65151515151516,2.2372929906843235,63.57000000000001,63.995000000000005,1.821784072858754,0.8620689655172228,0.8481365377917103,0.014434303333193864,0.8620689655172228,0.8481365377917103,0.014434303333193035,2.146000000000063,2.136306940371457,0.024319673379290054
A,36,87.5,87.20477386934674,1.9541369802282436,92.24000000000001,92.14291457286433,2.6569224521818025,0.8928571428571392,0.8972016967706623,0.012875266031114887,0.8928571428571392,0.8970888028257328,0.03073636790089194,1.9425000000000063,1.9355730336019044,0.07827552306349077
A,38,110.0,109.90577889447236,2.4163227072584723,108.44999999999999,108.98718592964825,2.960851658908913,0.9615384615384426,0.9461762311762313,0.024395366606142367,0.9615384615384426,0.9485572293218467,0.0434756309393905,1.8037499999999849,1.7937947863451902,0.06386816710388252
A,40,103.75,103.7625,8.012229581353845,100.96000000000001,101.10130653266332,6.4910226507098105,1.0,0.991236688030167,0.07579276947708444,1.0,0.9935878035718191,0.0931564345587541,1.6818181818181908,1.6788638626354297,0.09261930530458524
B,17,36.25,36.31909547738694,1.110924715343601,44.88,44.431758793969856,1.0395805399782978,0.4237288135593196,0.4216272160529905,0.004237010336324401,0.4237288135593196,0.42162941174591917,0.004336211526596804,6.289999999999962,6.318197641831853,0.16082106906551014
B,18,38.75,38.575,1.121119774037856,47.36,47.10341708542713,1.79630889278333,0.4464285714285696,0.4469749719916981,0.005505873905746236,0.4464285714285696,0.4470388944240416,0.004800983646030535,5.180000000000131,5.211879521739136,0.12084363997073941
B,19,47.5,48.1282722513089,1.1745263991631778,51.1,51.08884210526316,1.0811764738144911,0.4716981132075462,0.4725660287767206,0.003921857842033719,0.4716981132075462,0.47258577422430453,0.004536396845096746,5.115652173912967,5.094633255105407,0.09970835128620549
B,19.5,53.75,53.8875,1.090948943805323,56.09,56.09,1.1889716293307997,0.48076923076923445,0.4850186402572641,0.005081596484719792,0.48076923076923445,0.48501486951819917,0.004890261762038207,4.810000000000066,4.853032608695654,0.09843493922449181
B,20,62.5,62.85175879396985,1.3420677631624083,66.06,66.24788944723618,1.19099931211304,0.5,0.49707059746975707,0.005128092045252118,0.5,0.49709483793517417,0.0062293465797309145,4.625000000000099,4.641753980237162,0.11116935203757324
B,21,75.0,74.92462311557789,1.339228156144593,74.79,74.53070351758795,1.2362114279048346,0.520833333333329,0.5210896619557127,0.004543559620445979,0.520833333333329,0.5211628184117254,0.004041110799589721,4.486736842105221,4.498692199446825,0.09515776362010216
B,22,62.5,62.90829145728643,1.2429372573604567,69.8,69.36502512562814,1.2878303241537512,0.5434782608695642,0.5464975845410628,0.005255967873058297,0.5434782608695642,0.5464975845410628,0.005255967873058297,4.343478260869518,4.329124308300398,0.08493402421024744
B,23,49.99,50.452600000000004,1.3804548227261693,58.58,58.3778391959799,1.3765092192125432,0.5681818181818211,0.572019614752173,0.006296123569143224,0.5681818181818211,0.5720137420718816,0.006026004513372415,4.069999999999957,4.047245000000003,0.060269750345077734
B,24,55.0,55.5213567839196,1.3830170022917248,56.09,56.490804020100505,1.664870958928272,0.5952380952380928,0.5966392512762337,0.00860710533928513,0.5952380952380928,0.5967034005888232,0.005220201606190979,3.453333333333308,3.444462820512824,0.0638014414427695
B,25,83.75,84.07663316582915,1.6293455403951562,72.30000000000001,72.78989949748744,2.203618234445694,0.6249999999999911,0.6208841463414635,0.006801768953330434,0.6249999999999911,0.6208919637273297,0.007160334547583288,3.5520000000000507,3.5653199999999994,0.05512025303953101
B,26,78.75,79.12688442211055,2.5467682713565494,97.22999999999999,97.08035175879397,3.2956255635977256,0.6410256410256401,0.6455887314439946,0.007876894209448685,0.6410256410256401,0.6454635809898968,0.009458964860127832,3.3299999999999397,3.295016382685418,0.07782554960590367
B,27,78.75,78.3856783919598,1.5208345718834066,73.53999999999999,73.15195979899497,1.4826350683328875,0.6756756756756673,0.6712403192666352,0.008168202987501252,0.6756756756756673,0.6712304409672829,0.007738160382097996,3.2855999999999144,3.2503219230769225,0.06163627864324741
B,28,77.5,77.44346733668341,2.414237554045182,90.99000000000001,90.90386934673367,2.0059388096589688,0.6944444444444455,0.6968468468468467,0.0075470533929481365,0.6944444444444455,0.6968468468468468,0.007547053392943694,3.0738461538461497,3.080654153846152,0.041120780970227346
B,29b,96.25,96.17948717948718,1.9045766214026545,132.75,130.72863636363635,12.126325084706858,0.7142857142857258,0.7203749823610268,0.012473787263694027,0.7142857142857258,0.7491758044891053,0.14119455784446955,2.60275862068963,16.585549172229648,28.17253747027353
B,30,103.75,103.51130653266331,2.642324562280693,105.94,105.57768844221106,2.3524823947466666,0.7575757575757288,0.7474524658348186,0.01501324580115305,0.7464349376114054,0.7484948418979489,0.026134524962966536,2.9303999999999855,2.9257521762452114,0.0735538459601684
B,31,103.75,103.73125,1.645753157303327,92.24000000000001,93.10341708542714,2.3432571180134603,0.7694128787878718,0.7718130067276177,0.023208055865051327,0.781249999999982,0.7715053987685345,0.025775887797983562,2.457857142857151,2.4768694671327918,0.0678229532985798
B,32,148.75,148.76262626262627,2.9697873194145576,105.94999999999999,105.53823232323232,7.336555257908915,0.8064516129032199,0.7940712236321127,0.020050213092566365,0.8064516129032199,0.7961090422981962,0.02920041147263718,2.6311111111112107,2.6613358248612258,0.156217274516419
B,33,96.25,96.50380710659898,1.803213747658651,78.52,78.10525252525252,2.6643273618752703,0.8333333333333017,0.8210757463399289,0.019380535348621785,0.8333333333333413,0.8230253705605065,0.03925664296215637,2.368000000000077,11.217815287789618,21.34914023488978
B,34,111.25,111.1625,2.356130408638826,88.5,88.94452261306533,3.361273755713704,0.8333333333333413,0.8485442515140544,0.02644638731828878,0.8333333333333413,0.8462672201960747,0.026138854228743565,2.0767741935484136,1.707135663885415,0.4645164660641882
C,15,51.25,50.92964824120603,1.2809601736782925,42.379999999999995,42.80748743718593,1.0960400340108527,0.373134328358208,0.372665343938295,0.0034447583627509265,0.373134328358208,0.37260714562504843,0.0032951398874781594,7.188571428571313,7.220463506493488,0.17326042735013336
C,16,51.25,50.77020202020202,1.0417531882233733,53.6,54.202222222222225,1.2030498937339682,0.3968253968253997,0.39623729391874557,0.004338449918599367,0.3968253968253952,0.3962172770976535,0.003292740212956661,8.741250000000123,8.82988621509212,0.3331448387809108
