Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
262.93,0.19,1.55,9.05,22.08,94.0,21.3,17.73,40.19,-7.77,35.60
262.97,0.25,1.56,8.96,22.08,94.0,21.3,17.73,39.62,-11.52,34.35
263.01,0.13,1.93,9.01,22.08,94.0,21.3,17.97,39.62,-15.27,35.60
263.05,0.11,2.09,8.99,22.08,94.0,21.3,17.73,40.19,-17.77,34.35
263.09,0.14,2.62,9.05,22.08,94.0,21.3,17.73,39.62,-24.02,34.35
263.13,0.04,2.79,9.08,22.08,94.0,21.3,17.85,39.62,-25.27,34.35
263.17,0.18,2.67,8.95,22.08,94.0,21.3,17.49,39.62,-27.77,33.11
263.21,0.21,3.27,8.95,22.08,94.0,21.3,19.15,39.90,-29.02,31.86
263.25,0.05,3.52,9.07,22.08,94.0,21.3,17.61,39.62,-26.52,30.61
263.29,0.10,3.30,9.03,22.08,94.0,21.3,17.61,39.62,-27.77,29.37
263.33,0.20,3.44,8.98,22.08,94.0,21.3,17.85,39.90,-27.77,25.63
263.37,0.12,3.67,9.04,22.08,94.0,21.3,17.61,39.90,-30.27,24.38
263.41,0.13,3.67,9.02,22.08,94.0,21.3,17.85,39.90,-29.02,19.39
263.45,0.11,3.74,8.97,22.08,94.0,21.3,17.61,39.62,-31.52,16.90
263.49,0.17,3.39,9.02,22.08,94.0,21.3,17.85,39.33,-31.52,14.41
263.53,0.28,2.88,8.99,22.08,94.0,21.3,17.73,39.90,-34.02,10.67
263.57,0.10,3.10,9.04,22.08,94.0,21.3,17.61,39.62,-34.02,5.68
263.61,0.09,3.25,9.02,22.08,94.0,21.3,17.85,39.62,-31.52,3.19
263.65,0.07,3.02,9.05,22.08,94.0,21.3,17.73,39.90,-32.77,-1.80
263.69,0.16,2.61,8.96,22.08,94.0,21.3,17.73,39.62,-31.52,-4.29
263.73,0.25,1.96,9.04,22.08,94.0,21.3,17.85,39.62,-26.52,-6.78
263.77,0.17,2.18,8.99,22.08,94.0,21.3,17.61,39.62,-25.27,-14.26
263.81,0.08,2.38,9.00,22.08,94.0,21.3,17.73,39.62,-22.77,-15.51
263.85,0.13,1.81,9.00,22.08,94.0,21.3,17.61,39.62,-20.27,-20.49
263.89,0.27,1.32,8.97,22.08,94.0,21.3,17.73,39.90,-16.52,-21.74
263.93,0.15,1.12,9.03,22.08,94.0,21.3,17.61,39.62,-14.02,-24.23
263.97,0.14,1.13,9.10,22.08,94.0,21.3,17.49,39.90,-11.52,-27.97
264.01,0.16,1.61,8.96,22.08,94.0,21.3,17.01,39.90,-7.77,-27.97
264.05,0.24,0.13,9.01,22.08,94.0,21.3,17.73,39.90,-7.77,-30.46
264.09,0.27,0.19,9.13,22.08,94.0,21.3,17.61,39.90,-5.27,-30.46
264.13,0.10,0.22,9.16,22.08,94.0,21.3,17.97,39.62,-2.77,-31.71
264.17,0.12,0.49,9.09,22.08,94.0,21.3,17.13,39.62,-1.52,-32.96
264.21,0.23,-0.38,9.15,22.08,94.0,21.3,17.73,39.90,0.98,-32.96
264.25,0.28,-0.45,9.04,22.08,94.0,21.3,17.73,39.62,2.23,-31.71
264.29,0.15,-0.67,9.18,22.08,94.0,21.3,17.85,39.62,7.23,-29.22
264.33,0.04,-0.32,9.08,22.08,94.0,21.3,17.73,39.90,7.23,-29.22
264.37,0.12,-0.99,9.23,22.08,94.0,21.3,17.61,39.62,10.98,-26.72
264.41,0.23,-1.20,9.16,22.08,94.0,21.3,17.61,39.62,14.73,-25.48
264.45,0.31,-1.60,9.22,22.08,94.0,21.3,17.85,39.90,17.23,-25.48
264.49,0.23,-1.06,9.21,22.08,94.0,21.3,17.61,39.90,20.98,-22.98
264.53,0.16,-1.32,9.21,22.08,94.0,21.3,17.73,39.62,23.48,-18.00
264.57,0.18,-1.46,9.23,22.08,94.0,21.3,17.61,39.62,27.23,-11.77
264.61,0.20,-1.44,9.17,22.08,94.0,21.3,17.85,39.90,27.23,-11.77
264.65,0.20,-1.56,9.30,22.08,94.0,21.3,17.61,39.90,29.73,-6.78
264.69,0.19,-1.19,9.19,22.08,94.0,21.3,17.61,39.62,32.23,1.94
264.73,0.15,-1.24,9.31,22.08,94.0,21.3,17.61,39.62,35.98,1.94
264.77,0.21,-1.31,9.24,22.08,94.0,21.3,17.49,39.62,37.23,5.68
264.81,0.18,-1.34,9.23,22.08,94.0,21.3,17.85,39.62,38.48,8.18
264.85,0.23,-1.04,9.22,22.08,94.0,21.3,17.73,39.62,38.48,11.92
264.89,0.20,-1.55,9.23,22.08,94.0,21.3,17.85,39.90,39.73,10.67
264.93,0.15,-1.08,9.22,22.08,94.0,21.3,17.73,39.62,40.98,10.67
264.97,0.14,-1.15,9.22,22.08,94.0,21.3,17.61,39.62,39.73,11.92
265.01,0.23,-0.87,9.18,22.08,94.0,21.3,17.73,39.62,38.48,11.92
265.05,0.16,-0.79,9.22,22.08,94.0,21.3,17.85,39.90,38.48,11.92
265.09,0.16,-0.80,9.21,22.08,94.0,21.3,17.73,39.33,37.23,11.92
265.13,0.15,-0.75,9.17,22.08,94.0,21.3,17.85,39.62,35.98,13.16
265.17,0.21,-0.58,9.15,22.08,94.0,21.3,17.61,39.62,33.48,10.67
265.21,0.20,-0.27,9.17,22.08,94.0,21.3,17.73,39.90,29.73,8.18
265.25,0.13,-0.38,9.24,22.08,94.0,21.3,17.73,39.62,28.48,8.18
265.29,0.14,-0.26,9.18,22.08,94.0,21.3,17.85,39.90,22.23,5.68
265.33,0.18,-0.17,9.08,22.08,94.0,21.3,17.73,39.62,19.73,5.68
265.37,0.17,0.12,9.08,22.08,94.0,21.3,20.32,39.90,15.98,6.93
265.41,0.19,0.42,9.12,22.08,94.0,21.3,17.73,39.62,10.98,6.93
265.45,0.14,0.43,9.20,22.08,94.0,21.3,17.73,39.90,5.98,9.42
265.49,0.13,0.58,9.09,22.08,94.0,21.3,17.61,39.62,0.98,19.39
265.53,0.16,0.73,8.99,22.08,94.0,21.3,17.61,39.62,-1.52,21.89
265.57,0.16,0.90,9.03,22.08,94.0,21.3,17.73,39.62,-2.77,29.37
265.61,0.12,1.30,9.14,22.08,94.0,21.3,17.73,39.33,-5.27,31.86
265.65,0.14,1.37,9.08,22.08,94.0,21.3,17.73,39.90,-7.77,33.11
265.69,0.22,1.62,9.02,22.08,94.0,21.3,17.73,39.33,-9.02,36.85
265.73,0.13,1.92,8.96,22.08,94.0,21.3,17.73,39.90,-12.77,36.85
