Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
92.51,0.20,0.63,9.03,50.70,85.0,24.0,17.25,26.90,-39.73,-33.22
92.55,0.14,2.09,8.90,50.70,85.0,24.0,17.25,27.26,-23.38,-29.56
92.59,0.12,2.57,9.03,50.70,85.0,24.0,17.01,27.26,-12.07,-22.23
92.63,0.15,3.65,9.07,50.70,85.0,24.0,16.77,27.26,4.27,-12.46
92.67,0.01,4.86,8.96,50.70,85.0,24.0,16.77,27.08,14.33,-10.02
92.71,0.14,4.15,9.20,50.70,85.0,24.0,17.13,27.44,25.65,0.98
92.75,0.16,5.38,9.17,50.70,85.0,24.0,17.01,26.90,29.42,7.08
92.79,0.09,5.54,9.08,50.70,85.0,24.0,17.13,27.26,38.22,18.08
92.83,0.09,4.16,9.24,50.70,85.0,24.0,17.01,27.08,40.73,22.96
92.87,0.16,4.03,9.10,50.70,85.0,24.0,16.89,27.08,45.76,33.96
92.91,0.09,3.44,9.09,50.70,85.0,24.0,17.25,27.26,45.76,37.62
92.95,0.23,3.39,8.98,50.70,85.0,24.0,16.77,27.26,44.50,42.51
92.99,0.03,2.29,9.08,50.70,85.0,24.0,16.77,27.44,43.25,43.73
93.03,0.18,0.75,9.00,50.70,85.0,24.0,16.77,27.62,41.99,44.95
93.07,0.34,0.10,8.93,50.70,85.0,24.0,16.77,27.08,41.99,42.51
93.11,0.04,-0.34,9.12,50.70,85.0,24.0,16.89,27.26,39.47,38.84
93.15,0.22,-1.24,9.05,50.70,85.0,24.0,17.37,27.08,35.70,35.18
93.19,0.27,-1.94,9.22,50.70,85.0,24.0,17.01,26.72,30.67,31.51
93.23,0.23,-2.60,9.15,50.70,85.0,24.0,17.73,27.26,21.87,20.52
93.27,0.30,-3.03,9.33,50.70,85.0,24.0,17.13,27.26,14.33,14.41
93.31,0.17,-1.86,9.15,50.70,85.0,24.0,17.01,27.26,1.76,2.20
