Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,46.25,46.375,1.1822068623242858,48.61,48.96045226130653,1.22131875093948,0.4933574369949224,0.4937522142463483,0.004332190041986409,0.4913956425639329,0.4914570060438433,0.0048508101434939456,4.559114929486186,4.557140445086142,0.0917802149630023
A,22,50.0,50.416666666666664,1.1881927581233833,53.6,53.513015075376885,1.157107135927357,0.5426917510853899,0.5437843005159757,0.0042567953991292295,0.5408627791025314,0.5409254173878765,0.004340922426339911,4.249362880886393,4.238407190929279,0.07303513765009076
A,24b,40.0,40.38316582914573,1.2943566428254831,44.87,44.54055276381909,1.2919667084477346,0.5892890816518928,0.5890166955128948,0.007020943111726369,0.5884299083089152,0.5888501403708828,0.007443174874711991,3.7169062351260926,3.7303246619393513,0.06852649978651441
A,26,56.25,57.41834170854271,2.6563346744805276,77.28,76.83447236180905,1.865956736750402,0.6395170367338682,0.6398413039030055,0.005859612564771559,0.6396344424470841,0.6400702429717193,0.005086415685062913,3.226285507071164,3.260161842385079,0.061037882455041416
A,28,56.25,56.14949748743719,1.343455798893106,69.8,69.6280904522613,1.824503079396294,0.68946497517926,0.688608919704776,0.0071092039068595516,0.6883369425907105,0.6884412723819038,0.006917034709895367,3.057567284175943,3.0447662617626596,0.0506445936382533
A,30,75.0,74.91834170854271,1.9097180403810041,76.03999999999999,76.55301507537689,1.419838500836789,0.7384506321137351,0.7376950788892791,0.006955318088965685,0.7363424678854669,0.7364392807742346,0.007210208389139881,2.514156618523965,2.4957332468042925,0.03816518331495748
A,32c,103.75,104.225,2.2401375137258897,74.78999999999999,74.52045226130653,2.5878684135287506,0.7813616230890054,0.7715386166336805,0.08697589973230038,0.7822702159718881,0.770655357752023,0.08537482972597474,2.3668453767916398,2.41638711330344,0.5953212737379043
A,34,77.5,77.65151515151516,2.2372929906843235,63.57000000000001,63.923969849246234,2.0751256062982373,0.8352424589537516,0.8260429694280341,0.08454729870907657,0.8361069357955514,0.8248036318524615,0.08410254302325666,2.1032432432432038,2.0945965965951054,0.10230291189002824
A,36,87.5,87.20477386934674,1.9541369802282436,92.24000000000001,92.14291457286433,2.6569224521818025,0.881772009029353,0.8823927211503224,0.01040353634887569,0.8782921313991422,0.8812564151343114,0.0289373976955675,1.9415298818045708,1.912077085857953,0.07509442727087755
A,38,110.0,109.90577889447236,2.4163227072584723,108.44999999999999,108.98718592964825,2.960851658908913,0.9420717867785962,0.9283101665086522,0.023713441489667645,0.934502688679781,0.9339211998939531,0.0407332826855007,1.7814657310507513,1.7730560026433848,0.06084148868248883
A,40,103.75,103.7625,8.012229581353845,100.96000000000001,101.10130653266332,6.4910226507098105,0.9777103814664485,0.9691586457277843,0.07374691629436347,0.9837718356437022,0.978746098186767,0.09000614428668775,1.6645713546283782,1.6599156702401068,0.08966006127713232
B,17,36.25,36.31909547738694,1.110924715343601,44.88,44.431758793969856,1.0395805399782978,0.4170559188575995,0.4168838760364121,0.0035546304296615945,0.41798160209494223,0.41763132269055286,0.0035060822913793696,6.175592105263189,6.18959589387183,0.15087860483630627
B,18,38.75,38.575,1.121119774037856,47.36,47.10341708542713,1.79630889278333,0.44440525199069913,0.44384581473273316,0.004786369259529099,0.4412875212384342,0.4412690585439681,0.004178427057190468,5.167228675738405,5.162885608835192,0.1117484587104328
B,19,47.5,48.1282722513089,1.1745263991631778,51.1,51.08884210526316,1.0811764738144911,0.46681272718219374,0.46732760163973114,0.003382269418421038,0.46912832929782217,0.4691350779410182,0.0036364348435301303,5.034163779261474,5.022368979567941,0.09242637362452903
B,19.5,53.75,53.8875,1.090948943805323,56.09,56.09,1.1889716293307997,0.47953350980166215,0.48015747050986585,0.003897634058923239,0.4802684874435867,0.48111394824404385,0.003906373082950761,4.790861365391033,4.795987625715903,0.09290310530731581
B,20,62.5,62.85175879396985,1.3420677631624083,66.06,66.24788944723618,1.19099931211304,0.49088909833491234,0.49157135997546514,0.0038439401303186423,0.4911205406254854,0.4911496979838483,0.005025200675406337,4.566850265640225,4.586386003503117,0.10612475031111133
B,21,75.0,74.92462311557789,1.339228156144593,74.79,74.53070351758795,1.2362114279048346,0.5152195865878022,0.5146838236292837,0.003947618273529194,0.5144574952738197,0.514525528203832,0.004165435261027234,4.422244902069883,4.442032214581868,0.08134749094274676
B,22,62.5,62.90829145728643,1.2429372573604567,69.8,69.36502512562814,1.2878303241537512,0.5396118248376851,0.5397214604657908,0.003964647165285722,0.5421754589306911,0.5417284598618679,0.004054991966857081,4.2604867644429145,4.27834820158226,0.07452129161603688
B,23,49.99,50.452600000000004,1.3804548227261693,58.58,58.3778391959799,1.3765092192125432,0.5643510715145639,0.5641918658104299,0.0047200247235717864,0.5671478830522907,0.5670112440887729,0.004516018345940977,4.024347091626215,4.002370147382717,0.060910919670921625
B,24,55.0,55.5213567839196,1.3830170022917248,56.09,56.490804020100505,1.664870958928272,0.5906567220748522,0.5899666669839508,0.0070431464230863135,0.5911961631606418,0.5906661468708158,0.0047440753780024604,3.431672811954224,3.4232171054164153,0.05985987585197672
B,25,83.75,84.07663316582915,1.6293455403951562,72.30000000000001,72.78989949748744,2.203618234445694,0.6140494514491648,0.614062927634055,0.0050829086778832275,0.6156760596732163,0.6154639530331774,0.0053996640620685085,3.5234968684760575,3.541720232630794,0.05276290061724482
B,26,78.75,79.12688442211055,2.5467682713565494,97.22999999999999,97.08035175879397,3.2956255635977256,0.6374543083492343,0.6367682842914457,0.005307061894921932,0.6378745318352061,0.6381596111900915,0.007784500812388886,3.3063346181642412,3.273256806877134,0.07441085530229692
B,27,78.75,78.3856783919598,1.5208345718834066,73.53999999999999,73.15195979899497,1.4826350683328875,0.6629892860931393,0.6629631665202882,0.006230636807491607,0.6617360840794174,0.6617341666646109,0.005570422624244936,3.2505768754641373,3.2318352576328016,0.06010127801008301
B,28,77.5,77.44346733668341,2.414237554045182,90.99000000000001,90.90386934673367,2.0059388096589688,0.6864683361576593,0.6864571385772789,0.006438705284789817,0.6866785601665741,0.6864729118755318,0.006991479750706487,3.0603270462018624,3.0629262746717134,0.03943191420266038
B,29b,96.25,96.17948717948718,1.9045766214026545,132.75,130.72863636363635,12.126325084706858,0.7098441182316448,0.70996792697944,0.010017103958241524,0.7076997834107781,0.7380629974382792,0.13615071728768113,2.60997496732458,22.79941581637972,39.024565308201986
B,30,103.75,103.51130653266331,2.642324562280693,105.94,105.57768844221106,2.3524823947466666,0.7407349349672809,0.7322444458674091,0.014211315398945193,0.7349813349540094,0.7362573027258321,0.02445529591511571,2.910255804323838,2.906904344338637,0.07112032660304296
