Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,46.25,46.39520202020202,1.1691094747955864,48.61,48.96222222222222,1.2241587232905016,0.5,0.4980434287156977,0.0052703813749029,0.5,0.5031532613045218,0.0504157338395296,4.624999999999962,4.601515043410694,0.10221415384301413
A,22,50.0,50.416666666666664,1.1881927581233833,53.6,53.506262626262625,1.1561028407512324,0.5434782608695726,0.5483631670804042,0.006187253047026233,0.5434782608695726,0.5543642951251647,0.0591147950910975,4.255000000000033,4.270992709705753,0.07497559425399394
A,24b,40.0,40.38510101010101,1.2973490111570762,44.87,44.549796954314715,1.2952467889465669,0.5952380952380928,0.6049020203657185,0.06573778393672468,0.5952380952380928,0.6070470494413638,0.0879853650332718,3.7296000000000156,3.7559620668896314,0.17148802437831764
A,26,56.25,57.41834170854271,2.6563346744805276,77.28,76.84479797979797,1.8649782485621993,0.6410256410256401,0.6479419703103915,0.008338580810116472,0.6410256410256401,0.6581983805668009,0.10220381880643602,3.24461538461546,3.2796395213675287,0.06340030055280577
A,28,56.25,56.15530303030303,1.344356377655514,69.8,69.65162436548223,1.8186231619325586,0.6944444444444455,0.7091806091806092,0.10919188783329872,0.6944444444444455,0.7080836247502915,0.09767841546814389,3.073846153846089,3.052109128205123,0.09858378669009767
A,30,75.0,74.91834170854271,1.9097180403810041,76.03999999999999,76.55565656565656,1.4229472964090044,0.7575757575757288,0.7479946524064169,0.011086672280664362,0.7575757575757615,0.7582760376878039,0.10436765179455844,2.5160000000000493,2.50000562847609,0.03853854185816826
A,32c,103.75,104.225,2.2401375137258897,74.78999999999999,74.50020202020201,2.5785731622138046,0.8064516129032199,0.7852876219144709,0.08926502605645437,0.8064516129032199,0.7960188172042978,0.14369524169076295,2.3680000000000705,2.4203052147728834,0.6084462695007176
A,34,77.5,77.65151515151516,2.2372929906843235,63.57000000000001,63.923969849246234,2.0751256062982373,0.8620689655172228,0.8476104435156161,0.015858264560716605,0.8620689655172228,0.8519048943270301,0.04305321795923049,2.145999999999965,2.128405594405595,0.08111285418125579
A,36,87.5,87.20477386934674,1.9541369802282436,92.24000000000001,92.14291457286433,2.6569224521818025,0.8928571428571392,0.8972016967706623,0.012875266031114887,0.8928571428571392,0.8970888028257328,0.03073636790089194,1.9425000000000063,1.9355730336019044,0.07827552306349077
A,38,110.0,109.93055555555556,2.396971057014863,108.44999999999999,108.9899494949495,2.968099683884777,0.9615384615384426,0.9570736670736667,0.09993150627039273,0.9615384615384426,0.9549297783414544,0.06684081836428538,1.8037499999999849,1.7927511966016,0.06610277844140505
A,40,103.75,103.79396984924622,8.020035757690978,100.965,101.1209090909091,6.501568587134679,1.0,0.997903354696833,0.10152345912686471,1.0,1.0196867046707234,0.27405032732734963,1.6818181818181908,1.6831606368289782,0.10673360978376062
B,17,36.25,36.31944444444444,1.1137298173412478,44.875,44.42323232323233,1.0352162806787737,0.4237288135593196,0.42167732261244834,0.004228689424204299,0.4237288135593196,0.4273872531641931,0.05798343441179264,6.23714285714308,6.317948555962914,0.16162011316405728
B,18,38.75,38.575,1.121119774037856,47.36,47.10341708542713,1.79630889278333,0.4464285714285696,0.4469749719916981,0.005505873905746236,0.4464285714285696,0.4470388944240416,0.004800983646030535,5.180000000000131,5.211879521739136,0.12084363997073941
B,19,47.5,48.1282722513089,1.1745263991631778,51.1,51.08884210526316,1.0811764738144911,0.4716981132075462,0.4725660287767206,0.003921857842033719,0.4716981132075462,0.4784122100602053,0.05823241710648029,5.115652173912967,5.094633255105407,0.09970835128620549
B,19.5,53.75,53.88257575757576,1.09354911959764,56.09,56.09,1.1919855039489224,0.48076923076923445,0.48496634290196994,0.005080337274023539,0.48076923076923445,0.4909860312522815,0.060409136365398346,4.810000000000066,4.852329819938516,0.09868340221798007
B,20,62.5,62.84090909090909,1.336691567648848,66.06,66.24984771573604,1.190274568374775,0.5,0.5029401626871486,0.05921328322706032,0.5,0.5029779453418476,0.05954779133977979,4.625000000000099,4.617703980237162,0.26648242221018426
B,21,75.0,74.93055555555556,1.3399989372086263,74.79,74.5217766497462,1.237707884358422,0.520833333333329,0.5273483127350349,0.06299961784824391,0.520833333333329,0.5269206757062402,0.05704495525023369,4.486736842105221,4.476723449446825,0.24687801113425617
B,22,62.5,62.9040404040404,1.2446367534768608,69.8,69.36060913705583,1.293630642534352,0.5434782608695684,0.552967563837129,0.06460823351911099,0.5434782608695726,0.5525168239265735,0.059510908625864,4.343478260869518,4.308774308300398,0.22731777568663383
B,23,49.99,50.44464646464647,1.379413406654988,58.58,58.37676767676768,1.3799152687022556,0.5681818181818211,0.5720583803740957,0.0063161588775463105,0.5681818181818211,0.5795372195463996,0.0747931155730464,4.069999999999957,4.047015151515156,0.06053240131110398
B,24,55.0,55.5213567839196,1.3830170022917248,56.09,56.48656565656566,1.6680145111397904,0.5952380952380928,0.5966392512762337,0.00860710533928513,0.5952380952380928,0.6046399085253312,0.07938874337598227,3.453333333333308,3.444462820512824,0.0638014414427695
B,25,83.75,84.07663316582915,1.6293455403951562,72.30000000000001,72.78611111111111,2.2085543260109994,0.6249999999999911,0.6208841463414635,0.006801768953330434,0.6249999999999911,0.6304194027517201,0.09441474406099483,3.5520000000000507,3.5653199999999994,0.05512025303953101
B,26,78.75,79.12688442211055,2.5467682713565494,97.22999999999999,97.11111111111111,3.275216546919613,0.6410256410256401,0.6455887314439946,0.007876894209448685,0.6410256410256401,0.6558802476565636,0.10251602580856736,3.3299999999999397,3.295016382685418,0.07782554960590367
B,27,78.75,78.3856783919598,1.5208345718834066,73.53999999999999,73.16257575757575,1.4787914985764947,0.6756756756756673,0.6712403192666352,0.008168202987501252,0.6756756756756673,0.6793573759518029,0.08028474379936706,3.2855999999999144,3.2503219230769225,0.06163627864324741
B,28,77.5,77.44346733668341,2.414237554045182,90.99000000000001,90.89712121212122,2.008757803760089,0.6944444444444455,0.6968468468468467,0.0075470533929481365,0.6944444444444455,0.7077595452595452,0.10914528695111325,3.0738461538461497,3.080654153846152,0.041120780970227346
B,29b,96.25,96.17948717948718,1.9045766214026545,132.13,130.69624365482233,12.148628926651448,0.7142857142857258,0.7203749823610268,0.012473787263694027,0.7142857142857258,0.7649176384127575,0.20822813087865377,2.60275862068963,16.585549172229648,28.17253747027353
B,30,103.75,103.51130653266331,2.642324562280693,105.94,105.58838383838383,2.3535900678007127,0.7575757575757288,0.7474524658348186,0.01501324580115305,0.7575757575757288,0.7542997954583197,0.062433602521529255,2.9303999999999855,2.9257521762452114,0.0735538459601684
B,31,103.75,103.73125,1.645753157303327,92.24000000000001,93.11409090909092,2.3443419155648537,0.7694128787878718,0.7718130067276177,0.023208055865051327,0.781249999999982,0.7795546411927773,0.08316799578089253,2.457857142857151,2.4768694671327918,0.0678229532985798
B,32,148.75,148.76262626262627,2.9697873194145576,105.94999999999999,105.58045685279188,7.331087447136859,0.7938508064516183,0.8007620447027185,0.053279070080198464,0.8064516129032199,0.8062551461943015,0.10363138277592508,2.6311111111109557,2.5840553395646415,0.12498283315225894
B,33,96.25,96.51785714285714,1.796988221070652,78.52,78.10944162436547,2.670461664759942,0.8333333333333017,0.812963209449041,0.08394969228948072,0.8333333333333413,0.8509544307476348,0.2789786125011889,2.2965517241379687,3.046288216084219,6.679758159811417
B,34,111.25,111.1625,2.356130408638826,88.5,88.95934343434344,3.3632690577101596,0.8333333333333413,0.8485442515140544,0.02644638731828878,0.8333333333333413,0.858767220196074,0.12641845749642283,2.0767741935484136,1.707135663885415,0.4645164660641882
