Crank position,Motor Frequency (Hz),Motor Temperature Median (°C),Motor Temperature Average (°C),Motor Temperature Standard deviation (°C),Water Temperature Median (°C),Water Temperature Average (°C),Water Temperature Standard deviation (°C)
A,20b,33.07,33.16027508410845,0.36667388279179197,17.61,17.593904611122106,0.46825491788385376
A,22,34.21,34.19922455220621,0.48133055790847257,17.61,17.600567933595457,0.46667005008119083
A,24b,36.14,36.06707183634633,0.37408907894774135,17.61,17.618066127497624,0.4800274972342612
A,26,36.9,36.9542565296095,0.4140033747336205,17.61,17.64423584173778,0.4894484836861355
A,28,36.65,36.681396772398436,0.42417335502691694,17.61,17.62665553700612,0.4660775356246168
A,30,36.65,36.55944692239072,0.3962857480094664,17.61,17.64171870353851,0.46444338899375276
A,32c,36.39,36.31915251442703,0.40605642579241746,17.61,17.662072547403135,0.4645969537612269
A,34,36.39,36.45096565793947,0.42273572582681807,17.73,17.662376742604557,0.47529109767717936
A,36,36.9,36.831581395348834,0.4320633236537337,17.73,17.69095885509839,0.45271964110392354
A,38,35.89,35.995554298642524,0.44791316239717816,17.73,17.685920060331824,0.42432523626164786
A,40,29.91,29.899552780016116,0.28060298517372095,17.49,17.500902497985496,0.2568709141982496
B,17,30.31,30.40972361809045,0.4880536745837304,17.13,17.14191959798995,0.4588049441593866
B,18,31.55,31.63090085287846,0.4674682169729505,17.13,17.133784648187632,0.4506038330064606
B,19,32.85,32.915456322063704,0.44524281976629976,17.13,17.136836036740277,0.45368374220285645
B,19.5,34.44,34.38437055544878,0.4878608701580657,17.13,17.149277339996157,0.41536473758768544
B,20,33.29,33.34255445544555,0.4366350737499953,17.13,17.126251485148515,0.49457591406681134
B,21,34.21,34.11869682506744,0.4490266192162435,17.13,17.135009338036937,0.41919112877593984
B,22,35.16,35.22676842564326,0.3954901423511218,17.13,17.141593981683386,0.4276081939721128
B,23,35.4,35.43315180394826,0.4171068847022028,17.13,17.14741320626276,0.4086408178687656
B,24,35.65,35.60842005226894,0.45010866757609763,17.13,17.16989546210501,0.4417210648919052
B,25,35.89,35.812401876079974,0.43652600923430207,17.13,17.15339916070106,0.42223590925011123
B,26,35.65,35.718119041484144,0.4263138350534242,17.13,17.15249420252512,0.4470199231323907
B,27,34.21,34.291608241905266,0.3727363161500101,17.13,17.1708830612791,0.40745379373869145
B,28,27.62,27.556775623268695,0.3405396028705417,17.13,17.164783933518006,0.26581317323633125
B,29b,31.34,31.320175644028097,0.23373400495912897,17.25,17.186296838407493,0.27544622887546283
B,30,33.29,33.33310242747188,0.41448809496105554,17.25,17.310574304322085,0.45000765924986763
B,31,31.55,31.629944970956895,0.40392668716151403,17.25,17.274582696423114,0.42533789160650076
B,32,33.98,34.05889139542378,0.31688277181512764,17.25,17.30268772155978,0.4069538889623762
B,33,37.96,37.863007222587,0.4775323875603708,17.37,17.32709455022981,0.43842199978047186
B,34,26.9,26.87645442359249,0.3570058536749499,17.13,17.102406166219836,0.478636539459408
C,15,39.33,39.446023686158405,0.4793045165364087,17.73,17.695009622501853,0.4814259098170339
C,16,39.9,39.922484187223276,0.4732269537441379,17.73,17.707832068311195,0.44925882064571676
C,17,39.62,39.544711732973695,0.5173174698801376,17.73,17.69923634524612,0.44996565401331784
C,18,39.62,39.47379156238827,0.47052251152401414,17.73,17.699883804075796,0.4812248673790949
C,19,39.33,39.29425216084179,0.4546107009740183,17.73,17.69846862081924,0.49136898916563304
C,20,39.05,39.085168117088614,0.47158571736774585,17.73,17.700395569620255,0.4723411194059201
C,21,38.77,38.8940447575632,0.4438009372788925,17.73,17.703785743887277,0.4762053292813591
C,22,38.5,38.59646394230769,0.5183931081382429,17.73,17.71347596153846,0.48325870440550883
C,23,33.07,33.06038391640163,0.4238828895336116,17.73,17.713450704225355,0.4451262867231545
C,24,33.52,33.56507747318236,0.4359952788180857,17.73,17.70272705601907,0.4585684316985319
C,25,34.68,34.75302745486025,0.4300870908912532,17.73,17.711496413554293,0.4579701870569683
C,26b,35.89,36.01733094262294,0.4548221223928801,17.73,17.709485143442624,0.46751261958572393
D,14,39.9,39.942522305622425,0.4277328106161162,17.73,17.703697776518908,0.38739214497929264
D,15,39.05,39.08040359854738,0.5352836637957183,17.73,17.711479861340376,0.3836855776410934
D,18,39.05,38.96853097345133,0.4077441951599829,17.73,17.694998230088494,0.3298639166939763
D,20,39.05,39.038692141028164,0.38434402568539017,17.73,17.705802639353948,0.3861945607745406
D,22,38.5,38.49000216684723,0.37985293954803,17.73,17.707505958829906,0.37979072574240424
D,25,37.96,37.85424704724409,0.3952808156483537,17.73,17.69445127952756,0.36782592287081195
E,15,39.9,39.975238373793495,0.426005917156422,17.73,17.696485814565662,0.3719246823046325
E,18,39.05,38.94243859339105,0.390586970084859,17.73,17.700689167697476,0.3459276916962675
E,19,39.33,39.28984265566535,0.421228807577356,17.73,17.69223448143529,0.34901828560793935
E,20,38.23,38.30707460348541,0.37810744864520407,17.73,17.689913843743884,0.3664490889786003
E,23,37.96,37.89562907945082,0.37630365093221524,17.73,17.702655863155524,0.3819218435479443
