Crank position,Motor Frequency (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,4.717499999999943,4.695814782608694,0.09021409710427587
A,22,4.255000000000033,4.314594861660084,0.08277752068046695
A,24b,3.818399999999998,3.788792451505009,0.06516201880989714
A,26,3.3299999999999397,3.3152986666666724,0.04714992026730973
A,28,3.0738461538461728,3.097387008547004,0.04960932030704233
A,30,2.5160000000000493,2.5344794215795345,0.036314919822175724
A,32c,2.3680000000000843,2.537049579946096,1.0555014817953567
A,34,2.1483870967741576,2.1242410530980913,0.08211044349793768
A,36,1.9509090909090956,1.9422432488068548,0.07336798188020544
A,38,1.7629411764706184,1.7805559405929192,0.05937829165224667
A,40,1.6491428571428934,1.654184810953069,0.08995889002899121
B,17,6.342857142857202,6.390346883116876,0.1408909963626344
B,18,5.27250000000005,5.2988874347826105,0.10843110019406932
B,19,5.115652173912967,5.091616950757581,0.09900626856254625
B,19.5,4.810000000000066,4.880637826086959,0.09250515163904807
B,20,4.717499999999906,4.66112633201581,0.1043996895583503
B,21,4.532499999999912,4.537378145084915,0.06918241446327537
B,22,4.347500000000082,4.369046869565221,0.0809453346307223
B,23,4.070000000000012,4.076865913043483,0.05146197268664804
B,24,3.500769230769194,3.504390170940172,0.05749539277700252
B,25,3.64079999999997,3.6248387692307658,0.049373118330952315
B,26,3.3299999999999397,3.3489897424868986,0.07856277545080978
B,27,3.2855999999999144,3.287077153846152,0.06335182091418354
B,28,3.0738461538462567,3.1163158290598267,0.04716660132746858
B,29b,2.5900000000000354,10.164032578240707,28.05117492897593
B,30,2.9884615384615527,2.96238823931624,0.07294418338026647
B,31,2.5262068965516566,2.5159315032575855,0.06867446242647159
B,32,2.6469230769228997,2.64150425003157,0.14455363111548397
B,33,2.373103448275836,3.1298541568582445,6.896721063714769
B,34,2.0812499999999816,1.7175158703949003,0.46754992091928693
C,15,7.241428571428566,7.3006353998633005,0.1684637541983877
C,16,6.65999999999985,6.670143766233746,0.46887884531230406
C,17,5.95363636363643,5.9705318464144606,0.1427590768723194
C,18,5.4052173913042765,5.612140537311651,1.2732709676620984
C,19,4.994999999999951,4.99147373913042,0.09475643117358434
C,20,4.717499999999869,4.688979434782601,0.11632273674637796
C,21,4.633043478260828,4.648194466403172,0.2960193879146516
C,22,4.440000000000137,4.502552261747887,0.10406243882742176
C,23,4.070000000000066,4.104518708827422,0.0674244391920801
C,24,3.4092857142858,3.4202610256410257,0.06471525437953383
C,25,3.834545454545501,3.870979369074044,0.649593722133825
C,26b,3.3299999999999397,3.3218763509059683,0.25570457220223175
D,14,7.611428571427542,7.832833898956228,3.1213583614114793
D,15,7.188571428571902,-10.386732322896831,176.96463394646008
D,18,5.272500000000083,5.035087813316993,1.0901708621802342
D,20,4.826086956521656,4.8397958995582515,0.16135366729246228
D,22,4.637430830039407,4.627252173913056,0.43969795619653246
D,25,3.5519999999999876,3.527016514572382,0.1895358242195406
E,15,7.188571428571229,8.304323214143402,2.4644194668431734
E,18,3.3541304347825847,2.6044205130538822,12.636620851622197
E,19,4.70640000000001,4.713028038222645,0.21332095888116967
E,20,4.810000000000066,4.849802786561279,0.1476875527794882
E,23,3.8423076923077297,3.8213723592712805,0.34979949072018507
